Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
HAGN,1,15.244824528694153,0.29789113998413086,0.0142,0.0186,0.0317,0.0142,0.0191,0.0242,0.0274,0.0069,0.0061,0.067,0.1145
HAGN,2,15.205454051494598,0.2958691120147705,0.0094,0.0119,0.0226,0.0094,0.0131,0.0163,0.0186,0.0041,0.0038,0.0405,0.0745
HAGN,3,15.08023476600647,0.2934122085571289,0.0049,0.0072,0.0129,0.0049,0.0071,0.0084,0.01,0.0026,0.0025,0.0255,0.0495
HAGN,4,14.816644191741943,0.292269229888916,0.003,0.0037,0.0094,0.003,0.0051,0.0057,0.0072,0.0016,0.0019,0.0155,0.038
HAGN,5,14.46950113773346,0.2928304672241211,0.0042,0.0063,0.0108,0.0042,0.0059,0.0069,0.0081,0.0025,0.0021,0.024,0.0415
HAGN,6,14.079905927181244,0.29386067390441895,0.0045,0.0061,0.0121,0.0045,0.0069,0.0081,0.0098,0.0023,0.0025,0.0225,0.048
HAGN,7,13.629568994045258,0.29260993003845215,0.0076,0.0111,0.0161,0.0076,0.0096,0.0114,0.0129,0.0039,0.0031,0.039,0.0615
HAGN,8,13.15126359462738,0.2918062210083008,0.0099,0.0138,0.0215,0.0099,0.0129,0.0164,0.0184,0.0051,0.0042,0.051,0.0805
HAGN,9,12.6098153591156,0.29433655738830566,0.012,0.0161,0.0284,0.012,0.0165,0.0209,0.0238,0.0062,0.0054,0.0605,0.103
HAGN,10,12.020479202270508,0.29290080070495605,0.0148,0.0205,0.0343,0.0148,0.0199,0.0255,0.0289,0.0075,0.0065,0.0715,0.122
HAGN,11,11.419798791408539,0.2964298725128174,0.0168,0.0226,0.0398,0.0168,0.0231,0.0292,0.0333,0.0084,0.0075,0.081,0.1405
HAGN,12,10.82356196641922,0.301222562789917,0.0185,0.0257,0.0423,0.0185,0.0248,0.0315,0.0356,0.0093,0.008,0.09,0.1505
HAGN,13,10.257055014371872,0.2970106601715088,0.0204,0.0271,0.0441,0.0204,0.0269,0.0354,0.0394,0.01,0.0085,0.0975,0.1575
HAGN,14,9.701519429683685,0.29518604278564453,0.0213,0.0284,0.0466,0.0213,0.0282,0.0367,0.0412,0.0106,0.0091,0.103,0.169
HAGN,15,9.17827707529068,0.3867943286895752,0.0226,0.0297,0.0479,0.0226,0.0296,0.0392,0.0437,0.0111,0.0094,0.108,0.173
HAGN,16,8.686580538749695,0.29541563987731934,0.0231,0.0308,0.0495,0.0231,0.0302,0.0399,0.0445,0.0113,0.0095,0.1095,0.1775
HAGN,17,8.221025586128235,0.2969217300415039,0.0247,0.0329,0.0512,0.0247,0.0316,0.0424,0.0469,0.0121,0.0099,0.1175,0.184
HAGN,18,7.82370001077652,0.29651784896850586,0.0255,0.034,0.0543,0.0255,0.0331,0.0441,0.0488,0.0125,0.0104,0.1215,0.1915
HAGN,19,7.430940210819244,0.2970113754272461,0.0262,0.0338,0.055,0.0262,0.0343,0.0463,0.0516,0.0124,0.0106,0.12,0.197
HAGN,20,7.0659549832344055,0.2962319850921631,0.0268,0.0345,0.0556,0.0268,0.0348,0.0472,0.0526,0.0125,0.0107,0.1205,0.1985
HAGN,21,6.71743044257164,0.29556822776794434,0.0273,0.0349,0.0575,0.0273,0.0357,0.0482,0.0533,0.0131,0.011,0.1265,0.2025
HAGN,22,6.399989455938339,0.2955141067504883,0.0274,0.0356,0.0582,0.0274,0.0358,0.0478,0.0531,0.0132,0.0112,0.1285,0.2065
HAGN,23,6.119042754173279,0.29532504081726074,0.0284,0.0365,0.0575,0.0284,0.0363,0.0493,0.0546,0.0134,0.0111,0.128,0.2045
HAGN,24,5.837075442075729,0.2991464138031006,0.0278,0.0359,0.0575,0.0278,0.0361,0.0487,0.0544,0.0132,0.0112,0.126,0.2065
HAGN,25,5.552392303943634,0.2952299118041992,0.0285,0.0368,0.0595,0.0285,0.0369,0.0495,0.0549,0.0136,0.0113,0.13,0.2095
HAGN,26,5.34695802628994,0.29666733741760254,0.0288,0.0371,0.0583,0.0288,0.0367,0.0502,0.0554,0.0137,0.0111,0.1315,0.205
HAGN,27,5.113018661737442,0.2961843013763428,0.0293,0.0384,0.0596,0.0293,0.0373,0.0507,0.0558,0.0139,0.0113,0.1335,0.2095
HAGN,28,4.921556577086449,0.29538941383361816,0.0293,0.0377,0.0579,0.0293,0.0369,0.0508,0.0558,0.014,0.011,0.134,0.205
HAGN,29,4.717041492462158,0.29627180099487305,0.0299,0.0393,0.0592,0.0299,0.0373,0.0514,0.0562,0.0144,0.0112,0.1375,0.208
HAGN,30,4.587325751781464,0.2952127456665039,0.0302,0.039,0.0595,0.0302,0.0378,0.0521,0.0571,0.0143,0.0114,0.137,0.2115
HAGN,31,4.389996096491814,0.29572200775146484,0.0301,0.0387,0.0585,0.0301,0.0377,0.0522,0.0572,0.014,0.0112,0.1345,0.208
HAGN,32,4.235782667994499,0.2948341369628906,0.0303,0.0387,0.058,0.0303,0.0376,0.0529,0.0577,0.0142,0.0111,0.1365,0.206
HAGN,33,4.074668422341347,0.2957882881164551,0.0303,0.0387,0.0581,0.0303,0.0376,0.0533,0.058,0.0142,0.0111,0.1365,0.206
HAGN,34,3.9319783449172974,0.2947237491607666,0.03,0.039,0.0577,0.03,0.0371,0.0518,0.0563,0.0143,0.0111,0.138,0.206
HAGN,35,3.801680311560631,0.29383158683776855,0.0305,0.0399,0.0588,0.0305,0.0375,0.0522,0.0567,0.0146,0.0112,0.14,0.2075
