Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
LightGCN,1,15.245140731334686,0.3603224754333496,0.0222,0.0296,0.0439,0.0222,0.0275,0.0365,0.0401,0.0109,0.0084,0.1025,0.1575
LightGCN,2,15.207202136516571,0.25547194480895996,0.029,0.0359,0.056,0.029,0.0365,0.0514,0.0561,0.0133,0.0107,0.126,0.196
LightGCN,3,15.106610596179962,0.2621338367462158,0.0292,0.0373,0.0609,0.0292,0.0377,0.0491,0.0538,0.0134,0.0111,0.1275,0.198
LightGCN,4,14.90109097957611,0.2565188407897949,0.0276,0.0372,0.0593,0.0276,0.0357,0.0451,0.05,0.0133,0.0108,0.1245,0.196
LightGCN,5,14.565077543258667,0.2557690143585205,0.0253,0.0336,0.0553,0.0253,0.0333,0.0427,0.0476,0.0118,0.01,0.112,0.184
LightGCN,6,14.098318219184875,0.25496792793273926,0.024,0.0319,0.0544,0.024,0.0323,0.0411,0.0462,0.0112,0.0098,0.107,0.182
LightGCN,7,13.524768888950348,0.2559700012207031,0.0235,0.0312,0.0513,0.0235,0.031,0.0402,0.0449,0.0112,0.0094,0.107,0.1735
LightGCN,8,12.877880930900574,0.24352502822875977,0.0239,0.0309,0.0536,0.0239,0.0321,0.0412,0.0462,0.0112,0.0098,0.107,0.182
LightGCN,9,12.185182690620422,0.2427661418914795,0.0242,0.0315,0.0549,0.0242,0.0328,0.0412,0.0465,0.0113,0.01,0.1085,0.1855
LightGCN,10,11.508117914199829,0.24265527725219727,0.0255,0.0339,0.057,0.0255,0.0338,0.0432,0.048,0.0123,0.0103,0.1175,0.189
LightGCN,11,10.832276731729507,0.242814302444458,0.0265,0.0347,0.0599,0.0265,0.0355,0.045,0.0502,0.0124,0.0107,0.1185,0.197
LightGCN,12,10.17857825756073,0.24299907684326172,0.0281,0.0366,0.0625,0.0281,0.0376,0.048,0.0536,0.0128,0.0113,0.1215,0.205
LightGCN,13,9.580736309289932,0.24349594116210938,0.0285,0.0379,0.0637,0.0285,0.0381,0.0478,0.0537,0.0131,0.0116,0.1235,0.2105
LightGCN,14,9.032555997371674,0.24286484718322754,0.0294,0.0377,0.0656,0.0294,0.0395,0.0506,0.0567,0.0136,0.012,0.129,0.218
LightGCN,15,8.56206688284874,0.2441558837890625,0.0304,0.0407,0.0671,0.0304,0.0401,0.0506,0.0565,0.0143,0.0123,0.1355,0.2235
LightGCN,16,8.11821123957634,0.2495899200439453,0.0311,0.0411,0.0679,0.0311,0.041,0.0519,0.058,0.0148,0.0127,0.1395,0.229
LightGCN,17,7.696788161993027,0.2504580020904541,0.0323,0.0424,0.0681,0.0323,0.0419,0.0543,0.0602,0.0151,0.0127,0.143,0.2285
LightGCN,18,7.342877179384232,0.2574770450592041,0.0333,0.0433,0.0696,0.0333,0.0429,0.0565,0.0624,0.0156,0.0129,0.1475,0.233
LightGCN,19,7.062541037797928,0.267655611038208,0.0337,0.0444,0.0705,0.0337,0.0434,0.0569,0.0626,0.0159,0.0131,0.1515,0.234
LightGCN,20,6.780607730150223,0.27190566062927246,0.0341,0.0447,0.0744,0.0341,0.0447,0.0577,0.0636,0.0164,0.0136,0.1555,0.243
LightGCN,21,6.524657368659973,0.25456666946411133,0.0346,0.0459,0.0739,0.0346,0.0447,0.0579,0.0639,0.0165,0.0136,0.157,0.2455
LightGCN,22,6.307111948728561,0.26320481300354004,0.0346,0.0457,0.0724,0.0346,0.0444,0.0584,0.0643,0.0166,0.0134,0.157,0.242
LightGCN,23,6.1241830587387085,0.25379395484924316,0.0349,0.0463,0.0722,0.0349,0.0445,0.0593,0.0651,0.0166,0.0134,0.1585,0.241
LightGCN,24,5.9712188839912415,0.26340317726135254,0.0354,0.0466,0.0721,0.0354,0.0448,0.0604,0.0662,0.0168,0.0134,0.159,0.2415
LightGCN,25,5.807999491691589,0.2606377601623535,0.0361,0.0465,0.0724,0.0361,0.0456,0.0626,0.0682,0.0168,0.0134,0.16,0.2415
