Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
ASLGCN,1,15.244759678840637,0.3052232265472412,0.0197,0.0261,0.043,0.0197,0.0258,0.0323,0.0361,0.0089,0.0076,0.0865,0.142
ASLGCN,2,15.212123930454254,0.31206536293029785,0.0193,0.0253,0.0397,0.0193,0.0247,0.0316,0.0349,0.0083,0.007,0.0815,0.1325
ASLGCN,3,15.121508657932281,0.3029000759124756,0.0128,0.0187,0.033,0.0128,0.0178,0.0198,0.0227,0.006,0.0054,0.059,0.102
ASLGCN,4,14.929225862026215,0.3041658401489258,0.0091,0.0121,0.0226,0.0091,0.0128,0.015,0.0173,0.0045,0.0041,0.0445,0.0785
ASLGCN,5,14.609947741031647,0.30278515815734863,0.0083,0.0111,0.0178,0.0083,0.0108,0.014,0.0157,0.0039,0.0033,0.039,0.064
ASLGCN,6,14.171752870082855,0.30332446098327637,0.0083,0.0109,0.0186,0.0083,0.0111,0.0141,0.0159,0.0039,0.0035,0.0395,0.0665
ASLGCN,7,13.645910024642944,0.30294346809387207,0.0092,0.0129,0.0212,0.0092,0.0122,0.0148,0.0168,0.0044,0.0037,0.044,0.0715
ASLGCN,8,13.02866917848587,0.3028836250305176,0.0117,0.0161,0.0253,0.0117,0.0151,0.0185,0.0209,0.005,0.0043,0.0495,0.084
ASLGCN,9,12.326673805713654,0.30370211601257324,0.0148,0.02,0.0308,0.0148,0.0187,0.0236,0.026,0.0065,0.0053,0.0625,0.0995
ASLGCN,10,11.510588109493256,0.3063805103302002,0.0172,0.0233,0.0362,0.0172,0.0219,0.0276,0.0306,0.0076,0.0064,0.072,0.1185
ASLGCN,11,10.633207261562347,0.30449485778808594,0.0208,0.0288,0.0451,0.0208,0.0267,0.0332,0.0369,0.0093,0.0076,0.0885,0.1435
ASLGCN,12,9.711678862571716,0.3061962127685547,0.0241,0.0333,0.052,0.0241,0.031,0.0382,0.0425,0.0106,0.0089,0.1005,0.1635
ASLGCN,13,8.760545074939728,0.3068397045135498,0.0273,0.0374,0.0566,0.0273,0.0344,0.0436,0.048,0.0121,0.0097,0.1135,0.179
ASLGCN,14,7.850251495838165,0.308652400970459,0.0303,0.0413,0.0595,0.0303,0.037,0.0485,0.0527,0.0137,0.0104,0.1295,0.192
ASLGCN,15,7.0038474798202515,0.30577588081359863,0.0315,0.0413,0.0637,0.0315,0.0398,0.0526,0.0578,0.014,0.0114,0.133,0.208
ASLGCN,16,6.222992688417435,0.3056066036224365,0.032,0.0431,0.0667,0.032,0.0407,0.0524,0.058,0.0148,0.012,0.137,0.2195
ASLGCN,17,5.545009627938271,0.3062903881072998,0.0329,0.045,0.0695,0.0329,0.0422,0.053,0.0591,0.015,0.0125,0.14,0.2275
ASLGCN,18,4.994947820901871,0.31223607063293457,0.0342,0.0453,0.0708,0.0342,0.044,0.0563,0.0627,0.0154,0.013,0.1435,0.2345
ASLGCN,19,4.474151626229286,0.3055391311645508,0.0352,0.0473,0.0718,0.0352,0.0443,0.0575,0.0631,0.0163,0.0131,0.154,0.2375
ASLGCN,20,4.059136226773262,0.3066864013671875,0.0357,0.0472,0.0731,0.0357,0.0453,0.0581,0.0641,0.0162,0.0134,0.152,0.241
ASLGCN,21,3.699879616498947,0.3075120449066162,0.0362,0.0478,0.0728,0.0362,0.0456,0.0596,0.0657,0.0167,0.0135,0.1565,0.245
ASLGCN,22,3.3737873435020447,0.31518006324768066,0.0365,0.0479,0.073,0.0365,0.0459,0.06,0.0661,0.0169,0.0135,0.158,0.2445
ASLGCN,23,3.113352209329605,0.3087637424468994,0.0372,0.0488,0.0745,0.0372,0.0466,0.0605,0.0665,0.0173,0.0138,0.1615,0.249
ASLGCN,24,2.8198748528957367,0.3027794361114502,0.037,0.0487,0.0738,0.037,0.0464,0.0602,0.0661,0.0172,0.0137,0.162,0.2475
ASLGCN,25,2.66028144210577,0.30106496810913086,0.0366,0.0487,0.0744,0.0366,0.0462,0.0592,0.0655,0.017,0.0138,0.159,0.2495
ASLGCN,26,2.4652848094701767,0.30086851119995117,0.0363,0.0485,0.0743,0.0363,0.046,0.0588,0.0651,0.0171,0.0139,0.16,0.2495
ASLGCN,27,2.3288878947496414,0.3052387237548828,0.0367,0.0488,0.0729,0.0367,0.0459,0.0599,0.0659,0.0173,0.0138,0.162,0.2475
ASLGCN,28,2.162966415286064,0.3010990619659424,0.0369,0.0491,0.0737,0.0369,0.0462,0.0602,0.066,0.0173,0.0138,0.1625,0.2475
ASLGCN,29,2.040557309985161,0.3010084629058838,0.0365,0.0489,0.0743,0.0365,0.046,0.0594,0.0654,0.0173,0.0139,0.162,0.2505
ASLGCN,30,1.8967665508389473,0.30125951766967773,0.0364,0.0483,0.0755,0.0364,0.0465,0.0595,0.0658,0.017,0.0141,0.159,0.2525
ASLGCN,31,1.7864343151450157,0.30157947540283203,0.0361,0.0477,0.075,0.0361,0.0462,0.0588,0.0651,0.0169,0.0138,0.1585,0.249
ASLGCN,32,1.7149594724178314,0.306243896484375,0.0364,0.0481,0.0738,0.0364,0.0459,0.0597,0.0656,0.017,0.0136,0.1595,0.2445
ASLGCN,33,1.649863377213478,0.30527400970458984,0.0361,0.0478,0.0734,0.0361,0.0455,0.0586,0.0645,0.0171,0.0137,0.1615,0.247
ASLGCN,34,1.5729443430900574,0.3102421760559082,0.0362,0.0486,0.0739,0.0362,0.0458,0.0583,0.0645,0.017,0.0139,0.159,0.25
