Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
DiffNet,1,15.243880569934845,0.2403264045715332,0.0021,0.0023,0.0057,0.0021,0.0035,0.0038,0.0048,0.0011,0.0013,0.01,0.0255
DiffNet,2,15.208800554275513,0.23763585090637207,0.0027,0.0029,0.006,0.0027,0.0038,0.0052,0.0059,0.0015,0.0014,0.015,0.0265
DiffNet,3,15.171299934387207,0.24180197715759277,0.0028,0.0035,0.0058,0.0028,0.0037,0.0051,0.0058,0.0015,0.0012,0.0145,0.024
DiffNet,4,15.121212005615234,0.23632502555847168,0.0029,0.0043,0.0067,0.0029,0.0039,0.0051,0.0059,0.0017,0.0014,0.017,0.0285
DiffNet,5,15.053565382957458,0.23665475845336914,0.0026,0.0037,0.0081,0.0026,0.0042,0.0049,0.006,0.0017,0.0017,0.0165,0.0335
DiffNet,6,14.957221269607544,0.23653030395507812,0.003,0.0048,0.0087,0.003,0.0045,0.005,0.0061,0.0017,0.0017,0.017,0.0345
DiffNet,7,14.83215183019638,0.23628592491149902,0.003,0.0048,0.0094,0.003,0.0048,0.0046,0.0059,0.0017,0.0018,0.017,0.0365
DiffNet,8,14.672221779823303,0.23664188385009766,0.0035,0.0051,0.0094,0.0035,0.0052,0.0054,0.0067,0.0018,0.0018,0.018,0.037
DiffNet,9,14.473184525966644,0.23632097244262695,0.0032,0.0052,0.0096,0.0032,0.005,0.0051,0.0064,0.0019,0.0019,0.019,0.039
DiffNet,10,14.230620205402374,0.23699355125427246,0.0034,0.005,0.0094,0.0034,0.0051,0.0056,0.007,0.0018,0.0019,0.0175,0.038
DiffNet,11,13.954513132572174,0.23594164848327637,0.0033,0.0051,0.0094,0.0033,0.005,0.0057,0.007,0.0019,0.0019,0.019,0.038
DiffNet,12,13.640860795974731,0.23618030548095703,0.0035,0.0053,0.0089,0.0035,0.0048,0.0062,0.0072,0.0021,0.0018,0.0205,0.036
DiffNet,13,13.295577645301819,0.23650836944580078,0.0034,0.0051,0.0093,0.0034,0.005,0.0062,0.0073,0.002,0.0019,0.0195,0.0375
DiffNet,14,12.92706710100174,0.24468779563903809,0.0038,0.0058,0.0093,0.0038,0.0051,0.007,0.008,0.002,0.0018,0.02,0.0355
DiffNet,15,12.529575169086456,0.23840737342834473,0.0036,0.0054,0.0093,0.0036,0.0051,0.0068,0.0079,0.002,0.0018,0.0195,0.036
DiffNet,16,12.118095993995667,0.23715519905090332,0.0036,0.0055,0.0087,0.0036,0.0049,0.0067,0.0077,0.002,0.0017,0.02,0.0345
DiffNet,17,11.69562941789627,0.23686671257019043,0.0036,0.0054,0.0093,0.0036,0.005,0.0064,0.0075,0.002,0.0018,0.02,0.0365
DiffNet,18,11.27684336900711,0.23639249801635742,0.0035,0.0052,0.0094,0.0035,0.0051,0.0064,0.0076,0.0019,0.0018,0.019,0.037
DiffNet,19,10.850254267454147,0.2365894317626953,0.0034,0.0052,0.01,0.0034,0.0052,0.006,0.0074,0.0019,0.002,0.019,0.04
DiffNet,20,10.430569112300873,0.23705410957336426,0.0034,0.0053,0.0098,0.0034,0.0051,0.0059,0.0072,0.002,0.0019,0.0195,0.039
DiffNet,21,10.034414440393448,0.23588347434997559,0.0032,0.0051,0.0101,0.0032,0.0052,0.0057,0.0071,0.0019,0.002,0.0185,0.041
DiffNet,22,9.637347042560577,0.23588848114013672,0.0034,0.0055,0.0102,0.0034,0.0053,0.0058,0.0073,0.0019,0.0021,0.0185,0.0415
DiffNet,23,9.27460190653801,0.23567700386047363,0.0035,0.0058,0.01,0.0035,0.0052,0.0058,0.0072,0.002,0.002,0.02,0.041
DiffNet,24,8.897570699453354,0.24175071716308594,0.0034,0.0056,0.0106,0.0034,0.0053,0.0056,0.0071,0.002,0.002,0.0195,0.041
DiffNet,25,8.554973930120468,0.23593497276306152,0.0034,0.0052,0.0103,0.0034,0.0052,0.006,0.0072,0.0021,0.002,0.0205,0.0395
