Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
ASLGCN,1,38.806484043598175,0.897228479385376,0.0093,0.0132,0.0234,0.0093,0.0131,0.0158,0.0184,0.0048,0.0045,0.0468,0.0864
ASLGCN,2,38.67788606882095,0.8909347057342529,0.0088,0.0115,0.0217,0.0088,0.0126,0.0155,0.0182,0.0047,0.0044,0.046,0.085
ASLGCN,3,38.22131526470184,0.8938744068145752,0.0078,0.0108,0.0188,0.0078,0.0108,0.0131,0.0153,0.0042,0.0038,0.0404,0.0726
ASLGCN,4,37.230269730091095,1.014314889907837,0.0076,0.0101,0.017,0.0076,0.0102,0.0132,0.0152,0.0039,0.0035,0.038,0.0684
ASLGCN,5,35.64327251911163,0.8950622081756592,0.0088,0.0117,0.0203,0.0088,0.012,0.0157,0.0181,0.0046,0.0041,0.0442,0.0794
ASLGCN,6,33.396582186222076,0.8960115909576416,0.0102,0.0139,0.0244,0.0102,0.0142,0.0178,0.0207,0.0053,0.0049,0.0514,0.0942
ASLGCN,7,30.58437043428421,0.8971788883209229,0.0111,0.0148,0.0267,0.0111,0.0156,0.0197,0.0227,0.0061,0.0055,0.06,0.1042
ASLGCN,8,27.46157893538475,0.9169731140136719,0.0127,0.017,0.0285,0.0127,0.017,0.0224,0.0254,0.0069,0.0059,0.0666,0.1102
ASLGCN,9,24.375290006399155,0.8956596851348877,0.0133,0.0178,0.0302,0.0133,0.0179,0.0237,0.0267,0.0074,0.0062,0.0714,0.1162
ASLGCN,10,21.538955003023148,1.0010769367218018,0.0137,0.0181,0.0314,0.0137,0.0187,0.0244,0.0278,0.0073,0.0064,0.0704,0.121
ASLGCN,11,19.24525475502014,0.8869462013244629,0.0144,0.019,0.0325,0.0144,0.0193,0.0258,0.029,0.0077,0.0066,0.075,0.1236
ASLGCN,12,17.310798317193985,0.8939101696014404,0.0143,0.019,0.0324,0.0143,0.0193,0.0258,0.029,0.0078,0.0066,0.076,0.1238
ASLGCN,13,15.675833195447922,0.8949644565582275,0.0143,0.0191,0.0326,0.0143,0.0191,0.0252,0.0284,0.0078,0.0065,0.076,0.123
ASLGCN,14,14.357405602931976,0.9011280536651611,0.0142,0.019,0.0318,0.0142,0.0188,0.0249,0.028,0.0078,0.0064,0.076,0.122
ASLGCN,15,13.327283918857574,0.8981337547302246,0.0141,0.0188,0.0323,0.0141,0.019,0.0247,0.028,0.0077,0.0065,0.0742,0.1226
ASLGCN,16,12.372014462947845,0.8953142166137695,0.0138,0.0183,0.0325,0.0138,0.019,0.0247,0.028,0.0075,0.0064,0.0734,0.1226
ASLGCN,17,11.572212249040604,0.8982148170471191,0.0138,0.0186,0.0328,0.0138,0.0188,0.0243,0.0276,0.0075,0.0064,0.0734,0.122
ASLGCN,18,10.959280595183372,1.009491205215454,0.0137,0.0182,0.0321,0.0137,0.0187,0.0245,0.0278,0.0073,0.0063,0.0712,0.1194
ASLGCN,19,10.360105767846107,0.8945374488830566,0.0139,0.0184,0.0316,0.0139,0.0186,0.0248,0.0278,0.0074,0.0062,0.0728,0.118
ASLGCN,20,9.901989236474037,0.8951506614685059,0.0137,0.0185,0.031,0.0137,0.0182,0.0241,0.0271,0.0074,0.0062,0.072,0.1166
ASLGCN,21,9.415257930755615,0.8947315216064453,0.0131,0.0179,0.03,0.0131,0.0176,0.023,0.026,0.007,0.006,0.0688,0.1128
ASLGCN,22,9.051599144935608,0.8979473114013672,0.0135,0.0183,0.03,0.0135,0.0177,0.0237,0.0265,0.0072,0.006,0.0704,0.113
