Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
ASLGCN,1,30.493340373039246,0.6513099670410156,0.0075,0.0071,0.0136,0.0075,0.0101,0.0196,0.023,0.0061,0.0058,0.06,0.1095
ASLGCN,2,30.42593264579773,0.6446113586425781,0.0051,0.0048,0.0093,0.0051,0.007,0.0138,0.0164,0.0042,0.004,0.0415,0.079
ASLGCN,3,30.19126981496811,0.6375808715820312,0.0045,0.004,0.0078,0.0045,0.006,0.0126,0.0149,0.0037,0.0036,0.0365,0.0705
ASLGCN,4,29.735610842704773,0.6379761695861816,0.0039,0.0031,0.0071,0.0039,0.0055,0.0115,0.0138,0.0035,0.0035,0.035,0.069
ASLGCN,5,29.113297641277313,0.6815388202667236,0.0047,0.0041,0.0075,0.0047,0.0061,0.0136,0.0157,0.0037,0.0036,0.0365,0.068
ASLGCN,6,28.28487342596054,0.6408834457397461,0.0066,0.006,0.0105,0.0066,0.0083,0.0173,0.0202,0.0055,0.0051,0.0535,0.0965
ASLGCN,7,27.147603929042816,0.6419994831085205,0.008,0.0072,0.0137,0.008,0.0104,0.0209,0.0244,0.0067,0.0063,0.065,0.117
ASLGCN,8,25.72076141834259,0.6439304351806641,0.01,0.0096,0.0166,0.01,0.0125,0.0237,0.0273,0.0086,0.0074,0.082,0.137
ASLGCN,9,24.041164875030518,0.6502077579498291,0.0111,0.0108,0.0194,0.0111,0.0145,0.0261,0.0307,0.0096,0.0087,0.091,0.159
ASLGCN,10,22.203908503055573,0.6471419334411621,0.0124,0.0123,0.021,0.0124,0.0158,0.0292,0.0339,0.0108,0.0095,0.103,0.173
ASLGCN,11,20.35801312327385,0.6506962776184082,0.0133,0.0128,0.0217,0.0133,0.0167,0.0326,0.0373,0.0113,0.0098,0.1075,0.1765
ASLGCN,12,18.624043852090836,0.6496305465698242,0.0134,0.0129,0.0224,0.0134,0.017,0.0328,0.0376,0.0115,0.01,0.11,0.1805
ASLGCN,13,17.106081038713455,0.6477019786834717,0.0136,0.0127,0.0235,0.0136,0.0177,0.0339,0.0393,0.0116,0.0106,0.1105,0.1895
ASLGCN,14,15.703644871711731,0.6500992774963379,0.0141,0.0129,0.0233,0.0141,0.018,0.0358,0.041,0.0119,0.0105,0.1135,0.189
ASLGCN,15,14.589419603347778,0.6432394981384277,0.0145,0.0136,0.0232,0.0145,0.018,0.0361,0.041,0.0123,0.0106,0.116,0.188
ASLGCN,16,13.517154157161713,0.6402180194854736,0.0144,0.0132,0.0233,0.0144,0.0181,0.0363,0.0413,0.0122,0.0106,0.116,0.1895
ASLGCN,17,12.655063033103943,0.6373417377471924,0.0143,0.0132,0.0233,0.0143,0.018,0.0361,0.041,0.0122,0.0105,0.1155,0.1885
ASLGCN,18,11.885825455188751,0.6372613906860352,0.0139,0.013,0.0223,0.0139,0.0173,0.0342,0.0391,0.0121,0.0103,0.114,0.185
ASLGCN,19,11.21599355340004,0.6384737491607666,0.0136,0.0126,0.0224,0.0136,0.0174,0.034,0.0392,0.0116,0.0104,0.1095,0.1875
ASLGCN,20,10.644457548856735,0.6393299102783203,0.0139,0.0125,0.0224,0.0139,0.0177,0.0359,0.0412,0.0115,0.0105,0.1085,0.189
ASLGCN,21,10.10715363919735,0.6350421905517578,0.0141,0.0126,0.0222,0.0141,0.0176,0.0366,0.0416,0.0115,0.0102,0.109,0.1845
ASLGCN,22,9.686069160699844,0.6468462944030762,0.0134,0.0119,0.0217,0.0134,0.0172,0.0348,0.0402,0.011,0.0101,0.1035,0.1825
ASLGCN,23,9.278957888484001,0.6493752002716064,0.0128,0.0113,0.0209,0.0128,0.0166,0.0335,0.0389,0.0104,0.0099,0.0985,0.1775
ASLGCN,24,8.977554485201836,0.6537408828735352,0.0132,0.0117,0.0209,0.0132,0.0166,0.0342,0.039,0.0109,0.0097,0.104,0.176
ASLGCN,25,8.583846613764763,0.6495413780212402,0.0129,0.0117,0.0214,0.0129,0.0165,0.033,0.0379,0.0107,0.0096,0.1025,0.1755
ASLGCN,26,8.290236502885818,0.8444111347198486,0.013,0.0117,0.0205,0.013,0.0163,0.0335,0.0382,0.0108,0.0095,0.1025,0.173
