Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
LightGCN,1,12.475293636322021,0.2141098976135254,0.0176,0.0277,0.0487,0.0176,0.0248,0.0236,0.0277,0.009,0.0079,0.086,0.1455
LightGCN,2,12.459020912647247,0.2107532024383545,0.0231,0.035,0.0594,0.0231,0.0316,0.0331,0.0378,0.011,0.0094,0.1045,0.174
LightGCN,3,12.424280941486359,0.209214448928833,0.0258,0.0392,0.0629,0.0258,0.0343,0.0381,0.0429,0.0116,0.0098,0.111,0.182
LightGCN,4,12.35499393939972,0.20868921279907227,0.0251,0.0357,0.0623,0.0251,0.0344,0.039,0.0442,0.0109,0.0097,0.101,0.1785
LightGCN,5,12.23708826303482,0.2103123664855957,0.0237,0.0345,0.0616,0.0237,0.033,0.0367,0.0414,0.0109,0.0096,0.1055,0.1755
LightGCN,6,12.066904485225677,0.2104799747467041,0.0222,0.0317,0.0574,0.0222,0.0312,0.0343,0.0392,0.01,0.0091,0.0955,0.1665
LightGCN,7,11.83839726448059,0.20889878273010254,0.0225,0.032,0.0556,0.0225,0.0308,0.0346,0.0393,0.0102,0.009,0.097,0.1665
LightGCN,8,11.5642791390419,0.20962214469909668,0.0226,0.0317,0.0549,0.0226,0.0308,0.0345,0.039,0.0104,0.009,0.0995,0.166
LightGCN,9,11.25364774465561,0.21004271507263184,0.0226,0.0324,0.0573,0.0226,0.0314,0.0346,0.0395,0.0105,0.0094,0.1005,0.1735
LightGCN,10,10.90913075208664,0.2142336368560791,0.0237,0.0337,0.0585,0.0237,0.0325,0.0366,0.0416,0.0111,0.0098,0.105,0.179
LightGCN,11,10.561374962329865,0.2092130184173584,0.0253,0.0365,0.0607,0.0253,0.034,0.0385,0.0436,0.0119,0.0102,0.1125,0.1865
LightGCN,12,10.195892572402954,0.30570554733276367,0.0265,0.0381,0.0643,0.0265,0.0359,0.0409,0.0463,0.0122,0.0107,0.1155,0.196
LightGCN,13,9.83993113040924,0.20952343940734863,0.0278,0.0401,0.0671,0.0278,0.0375,0.0429,0.0487,0.0128,0.0111,0.12,0.205
LightGCN,14,9.47310209274292,0.2099769115447998,0.0285,0.0416,0.07,0.0285,0.0387,0.0432,0.0491,0.0134,0.0116,0.125,0.2125
LightGCN,15,9.142721593379974,0.20946574211120605,0.0302,0.0437,0.0702,0.0302,0.0399,0.0466,0.0521,0.0141,0.0117,0.132,0.214
LightGCN,16,8.794676542282104,0.20985937118530273,0.0311,0.0449,0.0736,0.0311,0.0412,0.0474,0.0527,0.0151,0.0123,0.142,0.222
LightGCN,17,8.497001826763153,0.20940446853637695,0.0321,0.0467,0.0742,0.0321,0.0419,0.0487,0.0539,0.0155,0.0125,0.147,0.2255
LightGCN,18,8.19844377040863,0.2124624252319336,0.0328,0.0471,0.0754,0.0328,0.0429,0.0502,0.0556,0.0155,0.0126,0.1475,0.228
LightGCN,19,7.922313928604126,0.211289644241333,0.0328,0.0476,0.0758,0.0328,0.0428,0.0501,0.0555,0.0158,0.0127,0.15,0.2285
LightGCN,20,7.684664487838745,0.20964407920837402,0.0334,0.0484,0.0782,0.0334,0.0438,0.0509,0.0563,0.0162,0.0129,0.1535,0.2335
LightGCN,21,7.465950965881348,0.20963120460510254,0.0338,0.0489,0.0773,0.0338,0.0439,0.0512,0.0566,0.0164,0.013,0.1545,0.2345
LightGCN,22,7.2382021844387054,0.2096562385559082,0.0337,0.0487,0.0769,0.0337,0.0439,0.0514,0.0569,0.0162,0.013,0.153,0.2335
LightGCN,23,7.052192956209183,0.20945310592651367,0.0339,0.0493,0.078,0.0339,0.0443,0.0517,0.0572,0.0164,0.0132,0.1545,0.236
LightGCN,24,6.873012483119965,0.20905828475952148,0.0344,0.0499,0.0791,0.0344,0.0447,0.0524,0.0578,0.0164,0.0132,0.1555,0.237
LightGCN,25,6.714546352624893,0.20853376388549805,0.0344,0.0495,0.0795,0.0344,0.0451,0.0531,0.0588,0.0163,0.0132,0.1535,0.2385
LightGCN,26,6.556281596422195,0.20880484580993652,0.0349,0.0501,0.0788,0.0349,0.0452,0.0542,0.0597,0.0165,0.0132,0.156,0.2375
LightGCN,27,6.414151430130005,0.21297574043273926,0.0349,0.05,0.0779,0.0349,0.045,0.0544,0.06,0.0164,0.0131,0.155,0.236
LightGCN,28,6.263043999671936,0.21524977684020996,0.0359,0.0512,0.0779,0.0359,0.0455,0.0565,0.0615,0.0169,0.0131,0.161,0.236
LightGCN,29,6.187893927097321,0.21029114723205566,0.0366,0.0521,0.0784,0.0366,0.0462,0.0576,0.0627,0.0169,0.0132,0.1615,0.2375
LightGCN,30,6.071940302848816,0.2088301181793213,0.0372,0.0522,0.0786,0.0372,0.0467,0.0588,0.064,0.0173,0.0133,0.163,0.239
LightGCN,31,5.95715719461441,0.20991992950439453,0.0368,0.0524,0.0789,0.0368,0.0464,0.0582,0.0635,0.0174,0.0134,0.1635,0.2405
LightGCN,32,5.877622425556183,0.20843100547790527,0.037,0.0526,0.0796,0.037,0.0468,0.0584,0.0638,0.0174,0.0134,0.1635,0.243
