Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
MHCN,1,7.745492577552795,0.6118144989013672,0.2048,0.2308,0.2995,0.2048,0.2312,0.3319,0.3408,0.0822,0.0555,0.6005,0.7275
MHCN,2,6.544810384511948,0.6154334545135498,0.2106,0.2376,0.3059,0.2106,0.2374,0.3422,0.3507,0.0848,0.0575,0.623,0.745
MHCN,3,6.225108176469803,0.613499641418457,0.2137,0.2399,0.3145,0.2137,0.2424,0.3431,0.3524,0.0867,0.0594,0.6205,0.7545
MHCN,4,5.973886802792549,0.6122052669525146,0.22,0.2491,0.3151,0.22,0.2454,0.3542,0.3619,0.0905,0.0598,0.6465,0.758
MHCN,5,5.8027258813381195,0.614006757736206,0.2192,0.2445,0.3167,0.2192,0.2473,0.36,0.3685,0.0887,0.0604,0.6395,0.7615
MHCN,6,5.687816351652145,0.6112143993377686,0.2218,0.2485,0.3182,0.2218,0.249,0.3614,0.3696,0.0909,0.0609,0.6475,0.765
MHCN,7,5.5126021802425385,0.6157917976379395,0.2234,0.2505,0.3221,0.2234,0.2515,0.3642,0.3728,0.092,0.0624,0.655,0.7795
MHCN,8,5.3940785229206085,0.6150729656219482,0.2209,0.2475,0.3198,0.2209,0.2492,0.359,0.3674,0.0914,0.062,0.6525,0.776
MHCN,9,5.279561877250671,0.6126382350921631,0.2242,0.2503,0.3231,0.2242,0.2524,0.3681,0.3762,0.093,0.0626,0.659,0.776
MHCN,10,5.186461001634598,0.6115319728851318,0.2253,0.2519,0.3227,0.2253,0.253,0.3688,0.3767,0.0939,0.0632,0.665,0.7785
MHCN,11,5.084263578057289,0.6105973720550537,0.2253,0.2519,0.326,0.2253,0.2545,0.3712,0.3802,0.0933,0.0638,0.665,0.7915
MHCN,12,4.9254700392484665,0.6226615905761719,0.2264,0.2527,0.3284,0.2264,0.2561,0.3724,0.3808,0.0948,0.0646,0.672,0.7905
MHCN,13,4.999936744570732,0.6188688278198242,0.2251,0.2511,0.3276,0.2251,0.2549,0.371,0.3798,0.0941,0.0644,0.6655,0.79
MHCN,14,4.949231281876564,0.6123447418212891,0.2217,0.2477,0.324,0.2217,0.2511,0.3677,0.3761,0.0935,0.0636,0.664,0.7835
MHCN,15,4.847304180264473,0.610720157623291,0.23,0.2559,0.3304,0.23,0.259,0.3765,0.3846,0.0965,0.0653,0.6755,0.792
MHCN,16,4.754892989993095,0.7061877250671387,0.2227,0.2493,0.3241,0.2227,0.2515,0.3677,0.3761,0.0941,0.0638,0.665,0.786
MHCN,17,4.6626249849796295,0.6134910583496094,0.2278,0.2539,0.3267,0.2278,0.2562,0.3788,0.3871,0.0958,0.0647,0.6755,0.7955
MHCN,18,4.672375977039337,0.6097395420074463,0.2216,0.2506,0.3279,0.2216,0.2519,0.3628,0.3716,0.0946,0.065,0.665,0.7905
MHCN,19,4.577745512127876,0.6105875968933105,0.2249,0.2497,0.3255,0.2249,0.2543,0.3754,0.3834,0.0954,0.0644,0.6785,0.7925
MHCN,20,4.4672141671180725,0.6265785694122314,0.2257,0.25,0.3288,0.2257,0.2564,0.3767,0.3854,0.0959,0.0658,0.6785,0.801
MHCN,21,4.354385808110237,0.6308221817016602,0.2253,0.2507,0.3254,0.2253,0.2544,0.3745,0.3829,0.0952,0.0647,0.678,0.7975
MHCN,22,4.329793885350227,0.6390566825866699,0.2284,0.2527,0.327,0.2284,0.2575,0.3846,0.3924,0.0968,0.0656,0.686,0.797
MHCN,23,4.337231814861298,0.6298918724060059,0.2268,0.2541,0.3281,0.2268,0.2554,0.3758,0.3833,0.0974,0.0653,0.6865,0.793
MHCN,24,4.331293627619743,0.6330626010894775,0.2289,0.2548,0.3308,0.2289,0.2583,0.3824,0.3905,0.0976,0.0661,0.6865,0.802
MHCN,25,4.370089530944824,0.6269259452819824,0.2277,0.2511,0.3278,0.2277,0.2573,0.3833,0.3912,0.0969,0.0657,0.69,0.803
MHCN,26,4.198051944375038,0.6240901947021484,0.2258,0.2522,0.3326,0.2258,0.257,0.3759,0.3845,0.097,0.0667,0.6835,0.807
