Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
BPR,1,15.942360579967499,0.21463298797607422,0.0019,0.0027,0.0051,0.0019,0.0029,0.0035,0.0044,0.0015,0.0014,0.015,0.0275
BPR,2,15.932961344718933,0.21256756782531738,0.0012,0.0014,0.0036,0.0012,0.0021,0.0028,0.0035,0.0009,0.001,0.0085,0.02
BPR,3,15.93464970588684,0.2115001678466797,0.001,0.0015,0.0037,0.001,0.0019,0.002,0.0028,0.001,0.001,0.01,0.0205
BPR,4,15.9378142952919,0.21139979362487793,0.0016,0.0021,0.0047,0.0016,0.0027,0.003,0.0038,0.0011,0.0012,0.0105,0.0235
BPR,5,15.939987778663635,0.21134233474731445,0.0017,0.0025,0.0048,0.0017,0.0025,0.0029,0.0035,0.0012,0.0011,0.012,0.0215
BPR,6,15.941197276115417,0.21253275871276855,0.0021,0.0028,0.0051,0.0021,0.0029,0.0041,0.0048,0.0014,0.0012,0.014,0.024
BPR,7,15.941811382770538,0.21296072006225586,0.0016,0.0023,0.0044,0.0016,0.0024,0.0031,0.0038,0.0013,0.0012,0.013,0.023
BPR,8,15.942111074924469,0.2116682529449463,0.0009,0.001,0.0034,0.0009,0.0019,0.0023,0.0031,0.0007,0.001,0.007,0.019
BPR,9,15.942255139350891,0.2114555835723877,0.002,0.0028,0.0043,0.002,0.0027,0.0038,0.0044,0.0014,0.0012,0.0135,0.0225
BPR,10,15.942324221134186,0.2118968963623047,0.0014,0.0016,0.0035,0.0014,0.002,0.0028,0.0033,0.0009,0.0008,0.009,0.0165
BPR,11,15.942356705665588,0.21141743659973145,0.0005,0.0008,0.002,0.0005,0.001,0.0007,0.0011,0.0004,0.0006,0.0045,0.011
BPR,12,15.942372024059296,0.21302008628845215,0.0014,0.0015,0.0035,0.0014,0.0023,0.0033,0.0041,0.001,0.0011,0.01,0.0215
BPR,13,15.94237893819809,0.21684980392456055,0.0014,0.0019,0.0043,0.0014,0.0024,0.003,0.0037,0.0011,0.0011,0.011,0.022
BPR,14,15.942382335662842,0.22127246856689453,0.0015,0.002,0.0042,0.0015,0.0024,0.0028,0.0037,0.0009,0.0011,0.009,0.0225
BPR,15,15.942384660243988,0.21268200874328613,0.0013,0.0015,0.0033,0.0013,0.002,0.0027,0.0033,0.0009,0.0009,0.009,0.018
BPR,16,15.942385196685791,0.2122204303741455,0.0024,0.0029,0.0046,0.0024,0.0032,0.0051,0.0058,0.0014,0.0012,0.0135,0.0235
BPR,17,15.942385196685791,0.21357154846191406,0.0014,0.0021,0.004,0.0014,0.0022,0.0028,0.0035,0.0011,0.0011,0.011,0.021
BPR,18,15.942385196685791,0.2121431827545166,0.0019,0.0021,0.0041,0.0019,0.0027,0.0045,0.0051,0.0012,0.0011,0.011,0.021
BPR,19,15.942385196685791,0.21137547492980957,0.0014,0.0017,0.0033,0.0014,0.0021,0.0031,0.0036,0.0009,0.0009,0.009,0.018
BPR,20,15.942385196685791,0.2121880054473877,0.0013,0.0018,0.0039,0.0013,0.0022,0.0025,0.0032,0.0011,0.0011,0.0105,0.0205
BPR,21,15.942385196685791,0.21147394180297852,0.0025,0.003,0.0044,0.0025,0.0031,0.0051,0.0057,0.0014,0.0011,0.0135,0.0225
BPR,22,15.942385196685791,0.2121574878692627,0.0012,0.0017,0.0039,0.0012,0.002,0.0019,0.0025,0.0009,0.0009,0.009,0.018
BPR,23,15.942385196685791,0.2117443084716797,0.0016,0.0023,0.0042,0.0016,0.0024,0.0025,0.0032,0.0011,0.0011,0.0105,0.0215
BPR,24,15.942385196685791,0.2118237018585205,0.0014,0.0018,0.004,0.0014,0.0023,0.0025,0.0032,0.001,0.0011,0.0095,0.021
BPR,25,15.942385196685791,0.2119922637939453,0.0017,0.0025,0.0053,0.0017,0.0029,0.0034,0.0044,0.0012,0.0013,0.0115,0.026
BPR,26,15.942385196685791,0.21876883506774902,0.0022,0.0027,0.0044,0.0022,0.003,0.005,0.0058,0.0016,0.0013,0.0155,0.027
BPR,27,15.942385196685791,0.21895432472229004,0.0027,0.0029,0.0048,0.0027,0.0035,0.0062,0.0068,0.0015,0.0012,0.015,0.0235
BPR,28,15.942385196685791,0.21498823165893555,0.0019,0.0022,0.0036,0.0019,0.0025,0.0041,0.0046,0.0012,0.001,0.012,0.019
BPR,29,15.942385196685791,0.21462512016296387,0.0017,0.0018,0.0045,0.0017,0.0028,0.0037,0.0046,0.0009,0.0011,0.009,0.022
BPR,30,15.942385196685791,0.21177387237548828,0.0019,0.0022,0.0055,0.0019,0.0032,0.0039,0.005,0.0013,0.0015,0.013,0.0295
BPR,31,15.942385196685791,0.21248197555541992,0.0014,0.0015,0.003,0.0014,0.0021,0.0032,0.0038,0.0009,0.001,0.009,0.0185
BPR,32,15.942385196685791,0.2123122215270996,0.0011,0.0014,0.0037,0.0011,0.002,0.0025,0.0032,0.0009,0.001,0.0085,0.019
BPR,33,15.942385196685791,0.21252822875976562,0.0014,0.0017,0.003,0.0014,0.002,0.0033,0.0038,0.001,0.0008,0.0095,0.0165
BPR,34,15.942385196685791,0.21171140670776367,0.0013,0.0022,0.0038,0.0013,0.002,0.0019,0.0025,0.001,0.001,0.01,0.019
