Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
MHCN,1,8.536999613046646,0.6045999526977539,0.1923,0.2236,0.2903,0.1923,0.2184,0.3062,0.3149,0.0779,0.0538,0.589,0.7115
MHCN,2,6.6223777532577515,0.6027042865753174,0.2011,0.2304,0.3004,0.2011,0.2285,0.3221,0.3307,0.0815,0.0561,0.6045,0.7265
MHCN,3,6.250111609697342,0.6053292751312256,0.2049,0.2382,0.3107,0.2049,0.2334,0.3279,0.3356,0.0852,0.0587,0.63,0.7405
MHCN,4,6.0217259377241135,0.7010140419006348,0.2053,0.2375,0.3136,0.2053,0.2353,0.3282,0.3371,0.0855,0.0598,0.6245,0.749
MHCN,5,5.785756856203079,0.6159071922302246,0.2088,0.2408,0.313,0.2088,0.2372,0.3354,0.3435,0.0871,0.0597,0.636,0.7525
MHCN,6,5.648139670491219,0.6033957004547119,0.2047,0.2375,0.3125,0.2047,0.2342,0.3282,0.3363,0.0858,0.0599,0.6305,0.7485
MHCN,7,5.524872750043869,0.6031818389892578,0.2069,0.237,0.3102,0.2069,0.2355,0.3343,0.3422,0.0868,0.0596,0.635,0.7485
MHCN,8,5.446320995688438,0.6024267673492432,0.2092,0.2383,0.3173,0.2092,0.2404,0.3408,0.3491,0.0877,0.0618,0.6405,0.7595
MHCN,9,5.287257090210915,0.6056361198425293,0.2118,0.2407,0.3185,0.2118,0.2423,0.3458,0.3544,0.0893,0.0621,0.6425,0.764
MHCN,10,5.18563012778759,0.6056270599365234,0.2086,0.241,0.3165,0.2086,0.2381,0.3336,0.3413,0.0895,0.0618,0.648,0.7585
MHCN,11,5.078332245349884,0.6010558605194092,0.2121,0.2437,0.3203,0.2121,0.2424,0.3419,0.3514,0.0905,0.0627,0.6435,0.778
MHCN,12,5.046844840049744,0.6028597354888916,0.2111,0.2416,0.3212,0.2111,0.2422,0.3407,0.3493,0.0906,0.0629,0.6475,0.767
MHCN,13,4.919772803783417,0.602557897567749,0.2127,0.2416,0.3206,0.2127,0.2441,0.3483,0.3578,0.09,0.0632,0.643,0.778
MHCN,14,4.735502243041992,0.6025974750518799,0.214,0.2444,0.3211,0.214,0.2441,0.3462,0.3551,0.0922,0.0632,0.654,0.7785
MHCN,15,4.7636004239320755,0.6087830066680908,0.2094,0.2386,0.3165,0.2094,0.2404,0.3439,0.3531,0.0891,0.0624,0.6405,0.769
MHCN,16,4.702174052596092,0.6022217273712158,0.2143,0.2448,0.3206,0.2143,0.244,0.3474,0.3559,0.0928,0.0634,0.6515,0.771
MHCN,17,4.616606444120407,0.6043422222137451,0.2117,0.2403,0.3224,0.2117,0.2441,0.3463,0.3556,0.091,0.064,0.6475,0.78
MHCN,18,4.568748116493225,0.6038222312927246,0.2148,0.2412,0.3179,0.2148,0.2449,0.3554,0.3643,0.0916,0.0631,0.6465,0.775
MHCN,19,4.542180821299553,0.6036787033081055,0.2152,0.244,0.3201,0.2152,0.2451,0.3551,0.3639,0.0925,0.0637,0.654,0.784
MHCN,20,4.515485852956772,0.6079542636871338,0.2132,0.2404,0.3132,0.2132,0.2418,0.3531,0.3616,0.0909,0.0622,0.648,0.772
MHCN,21,4.553135901689529,0.608245849609375,0.2126,0.242,0.3139,0.2126,0.2413,0.3493,0.3573,0.0914,0.0626,0.652,0.765
MHCN,22,4.423068270087242,0.607274055480957,0.2182,0.2442,0.3243,0.2182,0.2496,0.3622,0.3707,0.0938,0.0647,0.6635,0.781
MHCN,23,4.396718844771385,0.6031093597412109,0.2147,0.241,0.3203,0.2147,0.2459,0.3553,0.3648,0.0917,0.0642,0.6455,0.781
MHCN,24,4.265849933028221,0.602506160736084,0.2159,0.2404,0.3226,0.2159,0.2478,0.3624,0.371,0.0933,0.0648,0.6605,0.783
MHCN,25,4.203734591603279,0.602959156036377,0.2144,0.2408,0.3227,0.2144,0.2467,0.3563,0.3658,0.0927,0.0651,0.6545,0.7915
MHCN,26,4.103642374277115,0.6035494804382324,0.2134,0.2396,0.3194,0.2134,0.2449,0.356,0.3656,0.0923,0.0643,0.652,0.787
MHCN,27,4.096146777272224,0.6014144420623779,0.2143,0.2415,0.3209,0.2143,0.2455,0.3548,0.3636,0.0934,0.0649,0.6585,0.7855
MHCN,28,4.145299926400185,0.6021246910095215,0.2105,0.2398,0.3174,0.2105,0.2411,0.3484,0.3572,0.0916,0.0638,0.649,0.7755
MHCN,29,4.088484227657318,0.6033079624176025,0.2136,0.2406,0.3198,0.2136,0.2452,0.3556,0.3643,0.0924,0.0647,0.6565,0.781
MHCN,30,4.006379708647728,0.6952834129333496,0.2157,0.2423,0.3219,0.2157,0.2466,0.3581,0.367,0.094,0.0647,0.658,0.783
MHCN,31,3.9040411710739136,0.6087863445281982,0.2151,0.2413,0.3208,0.2151,0.2463,0.3592,0.3684,0.0937,0.0651,0.6585,0.7925
MHCN,32,3.8999801576137543,0.6019070148468018,0.2127,0.2374,0.3183,0.2127,0.2444,0.3575,0.3672,0.0919,0.0642,0.6475,0.7885
MHCN,33,4.014992669224739,0.6037249565124512,0.2134,0.2418,0.3181,0.2134,0.2435,0.3556,0.3636,0.0936,0.0644,0.659,0.774
