Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
LightGCN,1,6.926772475242615,0.1314547061920166,0.047,0.077,0.1157,0.047,0.0578,0.0464,0.0503,0.0114,0.0088,0.113,0.171
LightGCN,2,6.909003853797913,0.13005495071411133,0.0687,0.1098,0.1603,0.0687,0.0829,0.0679,0.073,0.0159,0.012,0.1565,0.232
LightGCN,3,6.874765515327454,0.1328573226928711,0.0784,0.121,0.1815,0.0784,0.0953,0.0784,0.0843,0.0179,0.0135,0.176,0.2625
LightGCN,4,6.826776146888733,0.13152551651000977,0.0846,0.1345,0.1926,0.0846,0.1008,0.0836,0.0891,0.02,0.0146,0.1985,0.282
LightGCN,5,6.755046367645264,0.1294114589691162,0.0882,0.1422,0.1992,0.0882,0.1042,0.0868,0.0924,0.021,0.015,0.2075,0.29
LightGCN,6,6.645052075386047,0.1289973258972168,0.0875,0.1406,0.2066,0.0875,0.1061,0.0872,0.0936,0.0208,0.0155,0.206,0.299
LightGCN,7,6.521852791309357,0.12889623641967773,0.0889,0.1435,0.2097,0.0889,0.1076,0.0884,0.095,0.0211,0.0158,0.2085,0.3045
LightGCN,8,6.391239821910858,0.12926292419433594,0.0899,0.1437,0.206,0.0899,0.1075,0.0898,0.096,0.021,0.0153,0.207,0.2965
LightGCN,9,6.186669588088989,0.12965822219848633,0.0883,0.1425,0.2092,0.0883,0.107,0.0879,0.0943,0.021,0.0156,0.205,0.299
LightGCN,10,5.989935517311096,0.12930965423583984,0.0865,0.1404,0.2021,0.0865,0.1037,0.0851,0.091,0.0207,0.015,0.203,0.288
LightGCN,11,5.754978537559509,0.12860417366027832,0.086,0.14,0.1991,0.086,0.1027,0.0845,0.0903,0.0207,0.0149,0.2035,0.2885
LightGCN,12,5.581459701061249,0.12894892692565918,0.0861,0.1394,0.201,0.0861,0.1035,0.085,0.0912,0.0205,0.0152,0.2015,0.2935
LightGCN,13,5.320798337459564,0.12907624244689941,0.087,0.1427,0.2014,0.087,0.1034,0.0848,0.0906,0.021,0.015,0.206,0.291
LightGCN,14,5.060229957103729,0.12972807884216309,0.0864,0.1416,0.2034,0.0864,0.1041,0.0845,0.0909,0.0206,0.0153,0.2025,0.295
LightGCN,15,4.8432310819625854,0.12975239753723145,0.0869,0.1429,0.2068,0.0869,0.1051,0.0851,0.0917,0.0207,0.0156,0.2025,0.298
LightGCN,16,4.641320735216141,0.12926411628723145,0.0864,0.1398,0.202,0.0864,0.1043,0.0852,0.0916,0.0206,0.0153,0.201,0.2925
LightGCN,17,4.405208855867386,0.12935209274291992,0.0871,0.1426,0.2023,0.0871,0.1043,0.086,0.0922,0.021,0.0154,0.205,0.2955
LightGCN,18,4.191943466663361,0.13050317764282227,0.087,0.142,0.204,0.087,0.1048,0.0858,0.0921,0.021,0.0156,0.2055,0.2965
LightGCN,19,3.978428602218628,0.13015317916870117,0.0876,0.1442,0.2024,0.0876,0.1043,0.0861,0.0921,0.0213,0.0154,0.2075,0.2945
