Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
MHCN,1,1.3566675707697868,0.25585031509399414,0.4937,0.6244,0.6874,0.4937,0.5127,0.5145,0.5189,0.0897,0.0509,0.7679,0.8299
MHCN,2,0.861900806427002,0.25530147552490234,0.4991,0.6264,0.6922,0.4991,0.5191,0.5205,0.5246,0.0916,0.0522,0.7759,0.8349
MHCN,3,0.6877355575561523,0.35674214363098145,0.5047,0.6287,0.6982,0.5047,0.5255,0.5285,0.5326,0.0928,0.0529,0.7789,0.8369
MHCN,4,0.5892293564975262,0.26290249824523926,0.5114,0.6363,0.7022,0.5114,0.5315,0.5363,0.54,0.0945,0.0537,0.7839,0.8369
MHCN,5,0.5110238566994667,0.26540589332580566,0.5138,0.6443,0.7059,0.5138,0.5328,0.5377,0.5413,0.0959,0.0542,0.7919,0.8429
MHCN,6,0.46575918421149254,0.26294851303100586,0.5116,0.6448,0.7094,0.5116,0.5313,0.5328,0.5367,0.0964,0.0546,0.7914,0.8479
MHCN,7,0.4339425452053547,0.26720499992370605,0.5098,0.6412,0.7107,0.5098,0.531,0.5322,0.5367,0.0958,0.0547,0.7869,0.8509
MHCN,8,0.4195380099117756,0.25919651985168457,0.5099,0.6415,0.7108,0.5099,0.5311,0.5328,0.5371,0.0961,0.0549,0.7879,0.8484
MHCN,9,0.3777119442820549,0.25930213928222656,0.5098,0.6437,0.7107,0.5098,0.53,0.5325,0.5363,0.0967,0.0548,0.7904,0.8454
MHCN,10,0.3812955766916275,0.25881004333496094,0.5088,0.6447,0.7107,0.5088,0.5289,0.5312,0.535,0.0968,0.0549,0.7904,0.8459
MHCN,11,0.35197536274790764,0.25959014892578125,0.5096,0.6465,0.7116,0.5096,0.5293,0.5318,0.5355,0.0973,0.0549,0.7914,0.8429
MHCN,12,0.3389483764767647,0.2623405456542969,0.5106,0.6447,0.709,0.5106,0.5302,0.5334,0.5373,0.0971,0.0548,0.7874,0.8409
MHCN,13,0.3331873379647732,0.2614924907684326,0.5076,0.6391,0.7125,0.5076,0.5299,0.5314,0.5362,0.0961,0.0551,0.7804,0.8474
MHCN,14,0.33588705211877823,0.26097893714904785,0.5078,0.6382,0.7081,0.5078,0.5291,0.5328,0.5372,0.0959,0.0546,0.7814,0.8429
MHCN,15,0.3173760585486889,0.26004719734191895,0.5074,0.6388,0.7086,0.5074,0.5283,0.5309,0.5352,0.0963,0.0546,0.7829,0.8439
MHCN,16,0.31258467957377434,0.2606649398803711,0.5057,0.6377,0.7112,0.5057,0.5275,0.5274,0.5316,0.0961,0.0549,0.7834,0.8454
