Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
MHCN,1,9.05723288655281,0.6111409664154053,0.1912,0.2178,0.2813,0.1912,0.2157,0.3093,0.3185,0.0746,0.051,0.564,0.6935
MHCN,2,6.872873842716217,0.6114246845245361,0.2054,0.2324,0.2996,0.2054,0.2316,0.3345,0.343,0.082,0.0559,0.6055,0.727
MHCN,3,6.42997133731842,0.6203207969665527,0.2117,0.2373,0.3072,0.2117,0.2388,0.347,0.3556,0.0854,0.0579,0.622,0.744
MHCN,4,6.165596306324005,0.61411452293396,0.2173,0.2461,0.3126,0.2173,0.2432,0.3529,0.3605,0.0895,0.0594,0.6425,0.7515
MHCN,5,5.963294014334679,0.6120345592498779,0.2168,0.2439,0.308,0.2168,0.242,0.3544,0.3626,0.0888,0.0589,0.636,0.7525
MHCN,6,5.7919918447732925,0.6103568077087402,0.2187,0.2474,0.3138,0.2187,0.2448,0.3559,0.3638,0.091,0.0606,0.6525,0.763
MHCN,7,5.568233251571655,0.6121163368225098,0.2186,0.2452,0.3173,0.2186,0.2469,0.3576,0.3663,0.0903,0.0615,0.642,0.7645
MHCN,8,5.520897299051285,0.619727373123169,0.2174,0.2462,0.3153,0.2174,0.2448,0.3546,0.3625,0.0908,0.0613,0.655,0.7685
MHCN,9,5.409592464566231,0.6178600788116455,0.2211,0.2514,0.3184,0.2211,0.2475,0.359,0.3666,0.0933,0.0621,0.6645,0.7715
MHCN,10,5.299208477139473,0.6099698543548584,0.2216,0.2501,0.3177,0.2216,0.2483,0.3637,0.3716,0.093,0.0623,0.6635,0.7765
MHCN,11,5.176356479525566,0.6248764991760254,0.2187,0.2478,0.3198,0.2187,0.2469,0.3592,0.3675,0.0922,0.0627,0.6625,0.7805
MHCN,12,5.113691791892052,0.6109592914581299,0.2234,0.2516,0.3199,0.2234,0.2499,0.3669,0.3748,0.0945,0.0628,0.6705,0.7845
MHCN,13,4.999914333224297,0.6108865737915039,0.2229,0.2504,0.3194,0.2229,0.2499,0.3683,0.3765,0.0939,0.0629,0.666,0.7805
MHCN,14,4.924630731344223,0.6110668182373047,0.221,0.2501,0.3213,0.221,0.2487,0.3619,0.3701,0.0943,0.0633,0.671,0.7865
MHCN,15,4.7897839397192,0.6151731014251709,0.2223,0.2503,0.3201,0.2223,0.2495,0.3677,0.3764,0.0942,0.063,0.6675,0.7905
MHCN,16,4.755799785256386,0.6157846450805664,0.2244,0.2524,0.3218,0.2244,0.2514,0.3702,0.3783,0.0954,0.0635,0.6725,0.7875
MHCN,17,4.784599557518959,0.6150798797607422,0.2218,0.2475,0.3195,0.2218,0.25,0.369,0.3771,0.0933,0.0633,0.6685,0.7845
MHCN,18,4.680258393287659,0.6107354164123535,0.22,0.2478,0.3185,0.22,0.2479,0.3643,0.3723,0.093,0.063,0.667,0.78
MHCN,19,4.624458819627762,0.6162018775939941,0.2237,0.2513,0.3188,0.2237,0.2499,0.3708,0.3786,0.0953,0.0632,0.6685,0.78
MHCN,20,4.517414227128029,0.7235977649688721,0.2219,0.2487,0.3209,0.2219,0.2499,0.3695,0.3782,0.0951,0.0639,0.668,0.7935
MHCN,21,4.413809895515442,0.618751049041748,0.2218,0.2497,0.3192,0.2218,0.2487,0.3679,0.3758,0.0955,0.0636,0.6735,0.787
MHCN,22,4.403270900249481,0.6142663955688477,0.2215,0.2492,0.3216,0.2215,0.2496,0.3684,0.3761,0.0953,0.0642,0.678,0.786
MHCN,23,4.364040777087212,0.6150712966918945,0.2212,0.2502,0.3193,0.2212,0.2484,0.3669,0.3741,0.0958,0.0641,0.6825,0.786
MHCN,24,4.308731749653816,0.616793155670166,0.2217,0.2499,0.3193,0.2217,0.2486,0.368,0.3753,0.096,0.0641,0.677,0.783
MHCN,25,4.365704536437988,0.6129612922668457,0.2171,0.246,0.3167,0.2171,0.2448,0.3596,0.3671,0.0936,0.0633,0.672,0.78
MHCN,26,4.416126787662506,0.6103355884552002,0.2181,0.2448,0.3114,0.2181,0.2445,0.3651,0.3727,0.0937,0.0626,0.6715,0.7775
MHCN,27,4.224960193037987,0.6100115776062012,0.2202,0.2457,0.3172,0.2202,0.248,0.368,0.3756,0.0949,0.0636,0.669,0.7775
