Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
HAGN,1,6.231857240200043,0.14043855667114258,0.199,0.2862,0.3561,0.199,0.2186,0.1908,0.1973,0.0368,0.0238,0.3557,0.4502
HAGN,2,6.20568323135376,0.1403186321258545,0.2413,0.3378,0.4203,0.2413,0.2646,0.2357,0.243,0.044,0.0285,0.4222,0.5293
HAGN,3,6.154572784900665,0.14016127586364746,0.2562,0.3554,0.4409,0.2562,0.2806,0.2521,0.2598,0.0468,0.0303,0.4432,0.5553
HAGN,4,6.072305083274841,0.13861870765686035,0.2599,0.3643,0.4416,0.2599,0.2819,0.2539,0.2606,0.0485,0.0304,0.4547,0.5528
HAGN,5,5.948399484157562,0.1386418342590332,0.2557,0.3609,0.4463,0.2557,0.2798,0.2496,0.2568,0.0483,0.0308,0.4497,0.5538
HAGN,6,5.7757925391197205,0.2732362747192383,0.2496,0.3526,0.4419,0.2496,0.2749,0.2432,0.251,0.0471,0.0306,0.4387,0.5523
HAGN,7,5.5572221875190735,0.1475832462310791,0.2449,0.3483,0.4384,0.2449,0.2706,0.2384,0.2463,0.0463,0.0304,0.4352,0.5493
HAGN,8,5.308203816413879,0.14262032508850098,0.2391,0.3452,0.4404,0.2391,0.2664,0.2315,0.2396,0.0458,0.0306,0.4332,0.5513
HAGN,9,5.024789273738861,0.1417524814605713,0.2363,0.3428,0.4404,0.2363,0.2639,0.2283,0.2364,0.0455,0.0303,0.4312,0.5508
HAGN,10,4.707348644733429,0.14426040649414062,0.2352,0.3392,0.4405,0.2352,0.2637,0.2278,0.2364,0.0449,0.0303,0.4262,0.5513
HAGN,11,4.411816328763962,0.14464926719665527,0.2375,0.3412,0.4354,0.2375,0.2643,0.2307,0.239,0.0451,0.03,0.4257,0.5478
HAGN,12,4.09559553861618,0.1434929370880127,0.2371,0.3433,0.4367,0.2371,0.2634,0.2286,0.2368,0.0454,0.0301,0.4277,0.5498
HAGN,13,3.8121918439865112,0.1433877944946289,0.2395,0.3475,0.435,0.2395,0.2642,0.2311,0.2385,0.0459,0.03,0.4347,0.5468
HAGN,14,3.51672300696373,0.14449810981750488,0.2385,0.3432,0.4346,0.2385,0.2646,0.2304,0.2385,0.0453,0.0301,0.4272,0.5463
HAGN,15,3.24032261967659,0.1446540355682373,0.2397,0.3463,0.4363,0.2397,0.2654,0.231,0.2391,0.0456,0.0302,0.4297,0.5488
