Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
CSGCN,1,8.311714708805084,0.16996216773986816,0.0849,0.1315,0.186,0.0849,0.1009,0.0902,0.0965,0.0219,0.0159,0.2095,0.301
CSGCN,2,8.28245198726654,0.1748192310333252,0.1131,0.1726,0.2326,0.1131,0.1315,0.1213,0.1285,0.0281,0.0203,0.269,0.3725
CSGCN,3,8.21906167268753,0.17164969444274902,0.1265,0.1934,0.2493,0.1265,0.1434,0.137,0.1434,0.0318,0.0215,0.301,0.395
CSGCN,4,8.10243034362793,0.17212152481079102,0.1292,0.1965,0.2612,0.1292,0.1486,0.1392,0.1462,0.0325,0.0225,0.3055,0.407
CSGCN,5,7.920881271362305,0.17035269737243652,0.1314,0.2,0.2621,0.1314,0.1502,0.1409,0.1476,0.033,0.0227,0.312,0.4085
CSGCN,6,7.665415823459625,0.17185688018798828,0.1286,0.1928,0.2627,0.1286,0.1494,0.1398,0.1473,0.0326,0.0229,0.3025,0.4095
CSGCN,7,7.332886278629303,0.17169904708862305,0.1269,0.191,0.2576,0.1269,0.1469,0.1372,0.1446,0.0321,0.0225,0.2955,0.4025
CSGCN,8,6.937483727931976,0.17108535766601562,0.1265,0.1901,0.253,0.1265,0.1454,0.137,0.1439,0.0319,0.0221,0.2965,0.3975
CSGCN,9,6.486372947692871,0.17014575004577637,0.1249,0.1856,0.248,0.1249,0.1436,0.1352,0.1422,0.0311,0.0218,0.2895,0.3925
CSGCN,10,6.010322272777557,0.16958999633789062,0.1246,0.1865,0.2551,0.1246,0.1449,0.1342,0.1415,0.0313,0.0222,0.2925,0.4
CSGCN,11,5.511235475540161,0.17152047157287598,0.1241,0.1872,0.2535,0.1241,0.144,0.1331,0.1405,0.0316,0.0223,0.2935,0.4015
CSGCN,12,5.020330011844635,0.17180824279785156,0.1228,0.1855,0.2576,0.1228,0.1443,0.1321,0.1397,0.0314,0.0227,0.2935,0.405
CSGCN,13,4.542588770389557,0.1716611385345459,0.1225,0.183,0.2585,0.1225,0.1451,0.1332,0.1414,0.0308,0.0229,0.289,0.409
CSGCN,14,4.107603222131729,0.1709277629852295,0.1232,0.1823,0.2539,0.1232,0.1445,0.1349,0.1425,0.0311,0.0223,0.2915,0.4015
CSGCN,15,3.690435826778412,0.1696321964263916,0.1246,0.1866,0.2537,0.1246,0.1445,0.1346,0.1417,0.0318,0.0224,0.298,0.404
CSGCN,16,3.3345946073532104,0.25896310806274414,0.1217,0.183,0.2545,0.1217,0.1431,0.1315,0.1392,0.031,0.0226,0.2915,0.4025
