Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
BPR,1,15.942220449447632,0.2149655818939209,0.0023,0.0027,0.0052,0.0023,0.0033,0.0046,0.0054,0.0014,0.0013,0.014,0.025
BPR,2,15.941546022891998,0.30650997161865234,0.0017,0.0021,0.0034,0.0017,0.0023,0.0036,0.0041,0.001,0.0009,0.01,0.017
BPR,3,15.942067563533783,0.21103262901306152,0.0018,0.0024,0.0048,0.0018,0.0028,0.0035,0.0044,0.0012,0.0013,0.012,0.0255
BPR,4,15.942277014255524,0.21047258377075195,0.0011,0.0015,0.0032,0.0011,0.0017,0.0019,0.0024,0.0008,0.0007,0.0075,0.014
BPR,5,15.942345321178436,0.21092939376831055,0.0018,0.0023,0.0034,0.0018,0.0023,0.0035,0.0039,0.0013,0.001,0.0125,0.019
BPR,6,15.942366480827332,0.2096405029296875,0.0015,0.0014,0.0038,0.0015,0.0024,0.0038,0.0045,0.0009,0.001,0.0085,0.019
BPR,7,15.942375779151917,0.20994186401367188,0.0025,0.0033,0.0048,0.0025,0.003,0.0054,0.0058,0.0016,0.0012,0.0155,0.0235
BPR,8,15.942379176616669,0.21242117881774902,0.0017,0.0025,0.0052,0.0017,0.0027,0.0029,0.0036,0.0014,0.0012,0.0135,0.0245
BPR,9,15.942380785942078,0.21058225631713867,0.0012,0.0019,0.0035,0.0012,0.0019,0.002,0.0025,0.0009,0.0008,0.0085,0.016
BPR,10,15.942381739616394,0.21038293838500977,0.0019,0.0026,0.0054,0.0019,0.003,0.0035,0.0045,0.0013,0.0014,0.0125,0.0265
BPR,11,15.942382335662842,0.2116100788116455,0.001,0.0014,0.0034,0.001,0.0019,0.0023,0.0029,0.0008,0.0009,0.0075,0.0175
BPR,12,15.942382633686066,0.20992755889892578,0.0017,0.0022,0.0043,0.0017,0.0026,0.0032,0.0041,0.0011,0.0012,0.011,0.023
BPR,13,15.942382037639618,0.21220850944519043,0.0017,0.0023,0.0037,0.0017,0.0023,0.0032,0.0037,0.0012,0.001,0.0115,0.0195
BPR,14,15.942381799221039,0.21053194999694824,0.0018,0.002,0.0045,0.0018,0.0028,0.0042,0.005,0.0013,0.0013,0.013,0.026
BPR,15,15.942380428314209,0.21867609024047852,0.0019,0.0022,0.0047,0.0019,0.0029,0.004,0.0049,0.0013,0.0013,0.0125,0.0255
BPR,16,15.94237893819809,0.21123576164245605,0.0012,0.0018,0.0038,0.0012,0.002,0.0021,0.0028,0.001,0.001,0.0095,0.0195
BPR,17,15.942375481128693,0.21157574653625488,0.0018,0.0022,0.0038,0.0018,0.0024,0.0035,0.004,0.0012,0.001,0.012,0.02
BPR,18,15.942364692687988,0.21171236038208008,0.0012,0.0016,0.0035,0.0012,0.002,0.0023,0.003,0.0009,0.001,0.009,0.019
