Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
ASLGCN,1,15.938114166259766,0.3329741954803467,0.0186,0.0238,0.0366,0.0186,0.0235,0.0331,0.0365,0.0092,0.0074,0.09,0.1395
ASLGCN,2,15.904344260692596,0.32903337478637695,0.0154,0.0188,0.032,0.0154,0.02,0.0275,0.0305,0.0073,0.006,0.0705,0.1145
ASLGCN,3,15.806786894798279,0.3252232074737549,0.0097,0.0131,0.0197,0.0097,0.0121,0.0178,0.0196,0.0046,0.0037,0.046,0.074
ASLGCN,4,15.596524894237518,0.41623973846435547,0.0078,0.0097,0.0158,0.0078,0.0101,0.0152,0.0169,0.0037,0.0032,0.0375,0.062
ASLGCN,5,15.270390033721924,0.32920360565185547,0.0056,0.0081,0.0132,0.0056,0.0075,0.0102,0.0118,0.0031,0.0028,0.0305,0.054
ASLGCN,6,14.885602116584778,0.324312686920166,0.0057,0.0078,0.0127,0.0057,0.0075,0.0098,0.0112,0.0033,0.0027,0.032,0.053
ASLGCN,7,14.44821435213089,0.3271799087524414,0.0063,0.0086,0.0159,0.0063,0.009,0.0111,0.0131,0.0037,0.0034,0.0365,0.0655
ASLGCN,8,13.925515949726105,0.3261737823486328,0.0093,0.0132,0.0192,0.0093,0.0116,0.0161,0.018,0.0051,0.004,0.0495,0.0775
ASLGCN,9,13.347641348838806,0.3261373043060303,0.0114,0.0153,0.0237,0.0114,0.0145,0.0201,0.0222,0.0061,0.0048,0.06,0.0925
ASLGCN,10,12.68153828382492,0.32554054260253906,0.0144,0.0189,0.0312,0.0144,0.019,0.026,0.0291,0.0073,0.0062,0.0725,0.1185
ASLGCN,11,11.955228745937347,0.3257434368133545,0.0168,0.0208,0.0374,0.0168,0.0231,0.0314,0.0356,0.0082,0.0076,0.0815,0.143
ASLGCN,12,11.158954977989197,0.32598423957824707,0.0207,0.0265,0.0459,0.0207,0.028,0.0381,0.0427,0.0105,0.0092,0.1025,0.17
ASLGCN,13,10.333304792642593,0.33051586151123047,0.0244,0.0323,0.0503,0.0244,0.0312,0.0431,0.0478,0.0123,0.0101,0.1185,0.188
ASLGCN,14,9.508347928524017,0.3258330821990967,0.0271,0.0359,0.0553,0.0271,0.0343,0.0477,0.0525,0.0137,0.0108,0.1315,0.2005
ASLGCN,15,8.667467027902603,0.32747864723205566,0.0288,0.038,0.0592,0.0288,0.0369,0.0508,0.056,0.0144,0.0118,0.1395,0.216
ASLGCN,16,7.930979162454605,0.3272683620452881,0.0312,0.0411,0.0604,0.0312,0.0387,0.0548,0.0598,0.0154,0.0122,0.1475,0.2205
ASLGCN,17,7.223898679018021,0.32793188095092773,0.0323,0.0425,0.0618,0.0323,0.0397,0.0569,0.0619,0.0162,0.0124,0.1535,0.2265
ASLGCN,18,6.575487941503525,0.327420711517334,0.0338,0.0441,0.0638,0.0338,0.0413,0.0607,0.0657,0.0168,0.0127,0.159,0.232
ASLGCN,19,6.014071702957153,0.32785654067993164,0.0347,0.0442,0.066,0.0347,0.0429,0.0624,0.0678,0.0171,0.0132,0.1615,0.2405
ASLGCN,20,5.479774907231331,0.32952880859375,0.0356,0.0461,0.0674,0.0356,0.0436,0.0634,0.0687,0.0176,0.0134,0.167,0.246
ASLGCN,21,5.04971981048584,0.3301548957824707,0.0367,0.0469,0.0693,0.0367,0.0451,0.0656,0.071,0.0182,0.0138,0.173,0.2525
ASLGCN,22,4.651745513081551,0.3294832706451416,0.0377,0.0473,0.0695,0.0377,0.046,0.0678,0.0732,0.0185,0.0139,0.176,0.256
ASLGCN,23,4.312132328748703,0.3298220634460449,0.0387,0.048,0.0702,0.0387,0.0472,0.0708,0.0765,0.0184,0.0142,0.1755,0.259
ASLGCN,24,4.006584599614143,0.3296947479248047,0.0392,0.0485,0.0721,0.0392,0.0482,0.0719,0.078,0.0185,0.0146,0.176,0.2655
ASLGCN,25,3.718969240784645,0.3274869918823242,0.0392,0.0485,0.0723,0.0392,0.0483,0.0721,0.0784,0.0184,0.0145,0.1745,0.266
ASLGCN,26,3.4559015333652496,0.32717394828796387,0.0395,0.0489,0.0717,0.0395,0.0482,0.0731,0.0789,0.0187,0.0144,0.1775,0.2625
ASLGCN,27,3.2649021446704865,0.330003023147583,0.0407,0.0504,0.0725,0.0407,0.049,0.0744,0.08,0.0192,0.0145,0.181,0.264
ASLGCN,28,3.064844101667404,0.32984495162963867,0.0408,0.0502,0.0722,0.0408,0.0491,0.0754,0.081,0.0192,0.0145,0.1815,0.2635
ASLGCN,29,2.888979583978653,0.32984113693237305,0.0408,0.0496,0.0719,0.0408,0.0492,0.0765,0.0819,0.0191,0.0144,0.181,0.2605
ASLGCN,30,2.7090249061584473,0.4195137023925781,0.0406,0.0499,0.0712,0.0406,0.0488,0.0754,0.0809,0.0189,0.0143,0.179,0.258
ASLGCN,31,2.566600039601326,0.3325190544128418,0.0402,0.0493,0.0717,0.0402,0.0488,0.075,0.0807,0.0185,0.0143,0.177,0.26
ASLGCN,32,2.4595850333571434,0.32500338554382324,0.0402,0.049,0.073,0.0402,0.0492,0.0751,0.081,0.0186,0.0145,0.1775,0.264
ASLGCN,33,2.32189878821373,0.32371091842651367,0.0395,0.0477,0.0727,0.0395,0.0489,0.0738,0.0798,0.0185,0.0146,0.1765,0.2635
ASLGCN,34,2.2174346819519997,0.32360363006591797,0.0392,0.0478,0.0725,0.0392,0.0485,0.073,0.079,0.0185,0.0146,0.176,0.2645
ASLGCN,35,2.106684871017933,0.3257932662963867,0.0386,0.047,0.0723,0.0386,0.0482,0.0719,0.0781,0.018,0.0145,0.172,0.2625
ASLGCN,36,2.011569917201996,0.32561612129211426,0.0384,0.0461,0.0739,0.0384,0.0488,0.0727,0.0791,0.0178,0.0146,0.171,0.2635
ASLGCN,37,1.9425299689173698,0.3251469135284424,0.0384,0.0465,0.074,0.0384,0.0486,0.072,0.0783,0.0179,0.0146,0.1715,0.265
ASLGCN,38,1.8852132707834244,0.32540178298950195,0.0382,0.0468,0.0735,0.0382,0.048,0.0709,0.077,0.0181,0.0144,0.172,0.261
ASLGCN,39,1.7758875414729118,0.3252589702606201,0.0381,0.0461,0.0715,0.0381,0.0475,0.0711,0.077,0.0178,0.0141,0.169,0.2555
ASLGCN,40,1.7269769683480263,0.32559871673583984,0.038,0.0458,0.0723,0.038,0.0478,0.0712,0.0775,0.0176,0.0142,0.1675,0.259
