Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
MHCN,1,67.45681661367416,9.072730779647827,0.0471,0.0204,0.0342,0.0471,0.0449,0.1351,0.1467,0.0429,0.0368,0.356,0.5275
MHCN,2,63.8398243188858,9.07311749458313,0.0547,0.0234,0.0386,0.0547,0.0515,0.1567,0.1685,0.0488,0.0411,0.3935,0.567
MHCN,3,61.86061120033264,9.056586027145386,0.0565,0.0253,0.0416,0.0565,0.0543,0.1548,0.1678,0.0524,0.0448,0.4175,0.6065
MHCN,4,60.58888864517212,9.0551016330719,0.0618,0.0269,0.045,0.0618,0.0594,0.1719,0.1854,0.0557,0.048,0.4385,0.634
MHCN,5,59.623582541942596,9.04136037826538,0.0628,0.0277,0.048,0.0628,0.0618,0.1716,0.1867,0.057,0.0507,0.4395,0.654
MHCN,6,58.97363352775574,9.02668571472168,0.0653,0.0287,0.0476,0.0653,0.0625,0.1796,0.193,0.0593,0.0506,0.4595,0.65
MHCN,7,58.63929545879364,9.02501630783081,0.0678,0.0303,0.0494,0.0678,0.0645,0.1836,0.1963,0.0626,0.0528,0.481,0.666
MHCN,8,58.19215154647827,9.025240421295166,0.0681,0.0302,0.0493,0.0681,0.0645,0.1849,0.1982,0.062,0.0518,0.474,0.6655
MHCN,9,57.86765617132187,9.02677845954895,0.0708,0.0303,0.05,0.0708,0.067,0.1953,0.2085,0.063,0.0533,0.479,0.6695
MHCN,10,57.28415083885193,9.024905681610107,0.07,0.0303,0.0505,0.07,0.067,0.1939,0.2076,0.0623,0.0536,0.4785,0.676
MHCN,11,57.05111384391785,9.03046441078186,0.0703,0.0306,0.0507,0.0703,0.067,0.1921,0.2054,0.0633,0.0539,0.4865,0.68
MHCN,12,57.04331707954407,9.043816328048706,0.0721,0.0319,0.0523,0.0721,0.0691,0.1978,0.2114,0.0649,0.0556,0.492,0.6905
MHCN,13,56.628347873687744,9.043865442276001,0.0696,0.0303,0.051,0.0696,0.0671,0.1913,0.2048,0.0625,0.0542,0.4795,0.675
MHCN,14,56.379918932914734,9.051491737365723,0.072,0.0315,0.052,0.072,0.0687,0.1977,0.2102,0.0654,0.0557,0.501,0.6815
MHCN,15,56.33398520946503,9.07513952255249,0.0726,0.0312,0.052,0.0726,0.0687,0.1989,0.2127,0.0655,0.0555,0.496,0.6965
MHCN,16,55.97442102432251,9.059322118759155,0.0736,0.0312,0.0514,0.0736,0.069,0.204,0.2171,0.0657,0.055,0.4925,0.682
MHCN,17,55.75225496292114,9.05422854423523,0.0712,0.0307,0.0511,0.0712,0.0678,0.1959,0.2103,0.0641,0.0547,0.486,0.6905
