Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
CSGCN,1,13.167608916759491,0.260345458984375,0.0182,0.027,0.0459,0.0182,0.0248,0.0277,0.0316,0.0086,0.0076,0.0825,0.1415
CSGCN,2,13.15349930524826,0.2603771686553955,0.0235,0.035,0.0559,0.0235,0.0308,0.036,0.0402,0.0109,0.009,0.1055,0.1695
CSGCN,3,13.123881578445435,0.2603878974914551,0.019,0.0276,0.048,0.019,0.0262,0.0307,0.035,0.0091,0.008,0.0875,0.1505
CSGCN,4,13.067623734474182,0.25980639457702637,0.0167,0.0244,0.0455,0.0167,0.0241,0.0272,0.0314,0.0082,0.0076,0.079,0.1405
CSGCN,5,12.974948763847351,0.25959014892578125,0.0145,0.0197,0.0394,0.0145,0.0215,0.0249,0.0288,0.0071,0.0069,0.069,0.127
CSGCN,6,12.841225683689117,0.2590031623840332,0.0139,0.0197,0.0361,0.0139,0.0197,0.0224,0.0258,0.0068,0.0062,0.0655,0.1175
CSGCN,7,12.666490912437439,0.26082658767700195,0.0124,0.0181,0.0323,0.0124,0.0176,0.0198,0.023,0.006,0.0057,0.0585,0.107
CSGCN,8,12.459312558174133,0.25975608825683594,0.0125,0.0185,0.0334,0.0125,0.0177,0.0193,0.0222,0.0062,0.0056,0.0605,0.104
CSGCN,9,12.222091913223267,0.2584803104400635,0.0123,0.0186,0.0368,0.0123,0.0185,0.0186,0.022,0.0063,0.0059,0.0605,0.1105
CSGCN,10,11.967190563678741,0.2594490051269531,0.0138,0.0207,0.0391,0.0138,0.0201,0.0207,0.0243,0.0068,0.0063,0.0665,0.118
CSGCN,11,11.683621168136597,0.25908732414245605,0.0158,0.0229,0.0424,0.0158,0.0226,0.024,0.0279,0.0077,0.007,0.0735,0.1315
CSGCN,12,11.373097479343414,0.259523868560791,0.0179,0.0266,0.0465,0.0179,0.0248,0.0266,0.0303,0.0086,0.0075,0.084,0.141
CSGCN,13,11.074827075004578,0.2582361698150635,0.0188,0.0272,0.0496,0.0188,0.0267,0.0282,0.0328,0.0088,0.0081,0.0835,0.1505
