Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
ASLGCN,1,15.244872331619263,0.3368222713470459,0.0197,0.0258,0.0419,0.0197,0.0258,0.0334,0.0376,0.0103,0.0087,0.098,0.1615
ASLGCN,2,15.213261365890503,0.33597683906555176,0.0213,0.0284,0.0468,0.0213,0.0281,0.0361,0.0406,0.0105,0.0089,0.0995,0.167
ASLGCN,3,15.127488672733307,0.3364241123199463,0.0144,0.0199,0.0365,0.0144,0.0206,0.0241,0.0279,0.0072,0.0068,0.0705,0.1275
ASLGCN,4,14.948303818702698,0.3355436325073242,0.0108,0.0163,0.0283,0.0108,0.0153,0.0176,0.0207,0.0056,0.0052,0.0555,0.101
ASLGCN,5,14.652888774871826,0.3358180522918701,0.0082,0.0128,0.0225,0.0082,0.012,0.0134,0.0159,0.0044,0.0042,0.043,0.0805
ASLGCN,6,14.253354847431183,0.3361685276031494,0.0083,0.0113,0.022,0.0083,0.0123,0.0144,0.0171,0.0042,0.0043,0.0415,0.0815
ASLGCN,7,13.771634340286255,0.3370959758758545,0.0091,0.0121,0.023,0.0091,0.013,0.016,0.0184,0.0047,0.0043,0.046,0.082
ASLGCN,8,13.217718541622162,0.3368563652038574,0.0102,0.0142,0.0248,0.0102,0.0142,0.0176,0.0201,0.0052,0.0047,0.0505,0.0885
ASLGCN,9,12.592429041862488,0.336747407913208,0.0119,0.0169,0.03,0.0119,0.0169,0.0207,0.024,0.0063,0.0058,0.061,0.108
ASLGCN,10,11.900544047355652,0.33607053756713867,0.015,0.0216,0.0348,0.015,0.0201,0.0249,0.0283,0.008,0.0068,0.0775,0.1275
ASLGCN,11,11.142565429210663,0.336777925491333,0.0187,0.0252,0.0406,0.0187,0.0245,0.0319,0.0356,0.0098,0.0081,0.0945,0.1495
ASLGCN,12,10.363820642232895,0.33650994300842285,0.0207,0.0284,0.043,0.0207,0.0263,0.0355,0.0394,0.0108,0.0086,0.1025,0.159
ASLGCN,13,9.576093673706055,0.33588504791259766,0.0225,0.0298,0.048,0.0225,0.0294,0.0394,0.0439,0.0116,0.0096,0.1085,0.175
ASLGCN,14,8.772774368524551,0.43230462074279785,0.0249,0.0319,0.0505,0.0249,0.0319,0.0446,0.0492,0.0125,0.0103,0.1175,0.1855
ASLGCN,15,7.985606282949448,0.33821868896484375,0.0261,0.0335,0.0541,0.0261,0.0339,0.0472,0.0521,0.0134,0.0112,0.1275,0.201
ASLGCN,16,7.27427276968956,0.33833813667297363,0.0284,0.0353,0.0563,0.0284,0.0362,0.0515,0.0564,0.0143,0.0117,0.135,0.2085
ASLGCN,17,6.608385056257248,0.3376193046569824,0.0291,0.0367,0.0597,0.0291,0.0374,0.0527,0.0577,0.015,0.0121,0.142,0.2165
ASLGCN,18,6.016807705163956,0.33729124069213867,0.0297,0.0372,0.0625,0.0297,0.039,0.0537,0.0595,0.015,0.0127,0.143,0.2275
ASLGCN,19,5.499959573149681,0.3387875556945801,0.0303,0.0381,0.0648,0.0303,0.0403,0.0551,0.0613,0.0153,0.0133,0.146,0.237
ASLGCN,20,5.041792929172516,0.3390641212463379,0.0309,0.0393,0.0644,0.0309,0.0405,0.0558,0.062,0.0157,0.0133,0.15,0.238
ASLGCN,21,4.616872847080231,0.3387868404388428,0.0319,0.0405,0.0644,0.0319,0.0411,0.0577,0.0637,0.0161,0.0133,0.1535,0.238
ASLGCN,22,4.2516089379787445,0.33766865730285645,0.0325,0.0418,0.0674,0.0325,0.0421,0.058,0.0641,0.0167,0.0139,0.1595,0.2475
ASLGCN,23,3.928131103515625,0.33731937408447266,0.0324,0.0419,0.0683,0.0324,0.0424,0.0575,0.0639,0.0166,0.014,0.158,0.2495
ASLGCN,24,3.627899795770645,0.3368954658508301,0.0322,0.0419,0.0695,0.0322,0.0428,0.0575,0.0644,0.0166,0.0142,0.1575,0.2545
ASLGCN,25,3.379238799214363,0.33771443367004395,0.0321,0.0408,0.07,0.0321,0.0433,0.0585,0.0657,0.0162,0.0144,0.155,0.2575
ASLGCN,26,3.162325441837311,0.349367618560791,0.032,0.0407,0.0709,0.032,0.0435,0.0582,0.0656,0.0162,0.0145,0.1545,0.2615
ASLGCN,27,2.958077549934387,0.3494093418121338,0.0325,0.0409,0.0712,0.0325,0.0439,0.0598,0.0671,0.0163,0.0145,0.1545,0.261
ASLGCN,28,2.7800900638103485,0.3365049362182617,0.0328,0.0413,0.072,0.0328,0.0443,0.0601,0.0673,0.0165,0.0146,0.156,0.2615
ASLGCN,29,2.6009066998958588,0.33695054054260254,0.0324,0.0406,0.0725,0.0324,0.0443,0.0591,0.0668,0.0163,0.0146,0.1535,0.2645
ASLGCN,30,2.467692941427231,0.33687543869018555,0.0326,0.0415,0.073,0.0326,0.0444,0.0587,0.0664,0.0164,0.0148,0.155,0.266
ASLGCN,31,2.311817742884159,0.3365809917449951,0.033,0.0424,0.0714,0.033,0.044,0.0594,0.0667,0.0166,0.0146,0.1575,0.2645
ASLGCN,32,2.2201958671212196,0.3365767002105713,0.0334,0.0422,0.0725,0.0334,0.0447,0.0609,0.0679,0.0168,0.0147,0.161,0.2645
ASLGCN,33,2.077173002064228,0.3366522789001465,0.0326,0.0412,0.0723,0.0326,0.0445,0.0595,0.0671,0.0162,0.0147,0.154,0.2645
ASLGCN,34,2.0015565752983093,0.3373081684112549,0.0325,0.041,0.0722,0.0325,0.0443,0.0596,0.0672,0.0162,0.0146,0.155,0.2645
ASLGCN,35,1.9031809121370316,0.33635568618774414,0.0327,0.0419,0.074,0.0327,0.0447,0.0594,0.067,0.0164,0.0149,0.1575,0.269
ASLGCN,36,1.819804236292839,0.33708834648132324,0.033,0.0432,0.0729,0.033,0.0442,0.0591,0.0663,0.0168,0.0146,0.1595,0.2635
ASLGCN,37,1.737846665084362,0.3368721008300781,0.0327,0.0425,0.0719,0.0327,0.0437,0.0587,0.0658,0.0166,0.0144,0.1575,0.2605
