Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
LightGCN,1,38.81457829475403,0.7300505638122559,0.0043,0.0057,0.0103,0.0043,0.0061,0.0083,0.0097,0.0027,0.0024,0.0266,0.0462
LightGCN,2,38.81166589260101,0.7254738807678223,0.0049,0.0065,0.0126,0.0049,0.0073,0.0092,0.0111,0.003,0.0029,0.0292,0.0562
LightGCN,3,38.80780607461929,0.7236766815185547,0.0059,0.0081,0.0139,0.0059,0.0081,0.0109,0.0126,0.0034,0.003,0.0336,0.058
LightGCN,4,38.80206960439682,0.7311546802520752,0.0069,0.0093,0.0152,0.0069,0.0092,0.0129,0.0147,0.0039,0.0034,0.0382,0.065
LightGCN,5,38.79382365942001,0.7334344387054443,0.007,0.009,0.0177,0.007,0.0103,0.0134,0.0158,0.004,0.0039,0.0386,0.0742
LightGCN,6,38.782257199287415,0.8490986824035645,0.0076,0.0101,0.0194,0.0076,0.0111,0.014,0.0164,0.0044,0.0042,0.0428,0.08
LightGCN,7,38.76634192466736,0.7192301750183105,0.0086,0.0118,0.0216,0.0086,0.0124,0.0154,0.0181,0.0049,0.0046,0.048,0.0884
LightGCN,8,38.74565839767456,0.725074052810669,0.0094,0.0124,0.0227,0.0094,0.0133,0.0174,0.0202,0.0052,0.0048,0.0498,0.0918
LightGCN,9,38.71973443031311,0.7291922569274902,0.0096,0.0127,0.0238,0.0096,0.0137,0.0174,0.0203,0.0054,0.0049,0.052,0.0938
LightGCN,10,38.68737071752548,0.719001293182373,0.0101,0.0136,0.0251,0.0101,0.0143,0.0182,0.021,0.0057,0.0052,0.0552,0.0984
LightGCN,11,38.648888647556305,0.7203221321105957,0.0107,0.0144,0.0252,0.0107,0.0147,0.0193,0.0221,0.0059,0.0052,0.0578,0.0992
LightGCN,12,38.60397756099701,0.7224512100219727,0.0106,0.0142,0.0254,0.0106,0.0147,0.019,0.0219,0.0061,0.0054,0.0594,0.102
LightGCN,13,38.552892327308655,0.8420636653900146,0.0108,0.0143,0.0259,0.0108,0.0151,0.0195,0.0225,0.006,0.0054,0.0592,0.104
