Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
BPR,1,15.2488534450531,0.20517992973327637,0.0014,0.0015,0.0038,0.0014,0.0022,0.0035,0.0042,0.0011,0.0011,0.011,0.022
BPR,2,15.105666935443878,0.3011000156402588,0.0016,0.0021,0.0032,0.0016,0.002,0.0032,0.0036,0.001,0.0009,0.0095,0.016
BPR,3,14.84613847732544,0.20725131034851074,0.0014,0.0015,0.0034,0.0014,0.0021,0.0033,0.0038,0.0011,0.001,0.011,0.019
BPR,4,14.343782603740692,0.20354008674621582,0.0018,0.0025,0.0043,0.0018,0.0026,0.0036,0.0043,0.0014,0.0012,0.0135,0.0245
BPR,5,13.534846127033234,0.20598173141479492,0.0023,0.0033,0.0052,0.0023,0.003,0.0044,0.0049,0.0016,0.0012,0.0155,0.024
BPR,6,12.471263229846954,0.20728826522827148,0.0017,0.002,0.0048,0.0017,0.0027,0.004,0.0048,0.0014,0.0013,0.013,0.025
BPR,7,11.27817153930664,0.2043147087097168,0.0018,0.0021,0.0043,0.0018,0.0026,0.0043,0.005,0.0014,0.0013,0.013,0.025
BPR,8,10.075806468725204,0.20409297943115234,0.0016,0.0018,0.0036,0.0016,0.0023,0.0038,0.0044,0.0012,0.0011,0.0115,0.021
BPR,9,8.968245208263397,0.20333337783813477,0.0016,0.0017,0.0037,0.0016,0.0024,0.0041,0.0048,0.0012,0.0011,0.0115,0.022
BPR,10,8.036448687314987,0.20400309562683105,0.0019,0.0022,0.0043,0.0019,0.0027,0.0045,0.0053,0.0014,0.0012,0.0135,0.0245
BPR,11,7.247390508651733,0.2035984992980957,0.002,0.0022,0.0051,0.002,0.0031,0.0048,0.0057,0.0014,0.0014,0.0135,0.0275
BPR,12,6.604733616113663,0.20372772216796875,0.0023,0.0024,0.0048,0.0023,0.0031,0.0055,0.0062,0.0015,0.0013,0.0145,0.025
BPR,13,6.055900722742081,0.21204805374145508,0.0024,0.0026,0.005,0.0024,0.0033,0.0055,0.0063,0.0016,0.0014,0.015,0.027
BPR,14,5.627163082361221,0.20803213119506836,0.0023,0.0025,0.0044,0.0023,0.0031,0.0056,0.0062,0.0015,0.0012,0.0145,0.0245
BPR,15,5.269807413220406,0.20438265800476074,0.0025,0.0027,0.0044,0.0025,0.0032,0.006,0.0066,0.0016,0.0012,0.015,0.024
BPR,16,5.001866906881332,0.20624446868896484,0.0024,0.0025,0.0045,0.0024,0.0032,0.0058,0.0064,0.0014,0.0012,0.0135,0.0235
BPR,17,4.731845781207085,0.20384764671325684,0.0024,0.0025,0.0043,0.0024,0.0031,0.0055,0.0062,0.0015,0.0012,0.0135,0.0225
