Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
CSGCN,1,15.245301902294159,0.2974872589111328,0.02,0.0268,0.0453,0.02,0.0268,0.0331,0.0376,0.0097,0.0085,0.095,0.163
CSGCN,2,15.215339541435242,0.29622411727905273,0.0202,0.0267,0.0416,0.0202,0.0259,0.034,0.0377,0.0103,0.0083,0.0975,0.1515
CSGCN,3,15.133987486362457,0.2962024211883545,0.0138,0.0174,0.0306,0.0138,0.0186,0.0241,0.027,0.0069,0.0059,0.067,0.1105
CSGCN,4,14.962429881095886,0.2980947494506836,0.0097,0.0126,0.0211,0.0097,0.0129,0.0163,0.0185,0.0051,0.0043,0.05,0.083
CSGCN,5,14.687252879142761,0.2953341007232666,0.0077,0.0104,0.0176,0.0077,0.0105,0.0133,0.0154,0.0041,0.0036,0.04,0.07
CSGCN,6,14.322256207466125,0.2957735061645508,0.0078,0.0101,0.0179,0.0078,0.0107,0.0138,0.0158,0.0043,0.0037,0.0425,0.0715
CSGCN,7,13.896096408367157,0.39077281951904297,0.0081,0.0108,0.0187,0.0081,0.011,0.0141,0.0162,0.0045,0.0039,0.0445,0.0755
CSGCN,8,13.414902091026306,0.295485258102417,0.0096,0.0127,0.0234,0.0096,0.0136,0.0169,0.0198,0.0051,0.0048,0.0505,0.0925
CSGCN,9,12.933114349842072,0.2951490879058838,0.0119,0.0153,0.0263,0.0119,0.016,0.0214,0.0242,0.006,0.0053,0.059,0.1025
CSGCN,10,12.373434841632843,0.29535365104675293,0.0149,0.019,0.0315,0.0149,0.0197,0.0269,0.0303,0.0071,0.0063,0.071,0.1205
CSGCN,11,11.811191082000732,0.2951619625091553,0.0181,0.0225,0.0358,0.0181,0.0232,0.033,0.0366,0.0082,0.007,0.081,0.1335
CSGCN,12,11.240347057580948,0.2952408790588379,0.0208,0.0263,0.0408,0.0208,0.0262,0.0372,0.0408,0.0096,0.0079,0.093,0.145
CSGCN,13,10.639148473739624,0.2965831756591797,0.0224,0.0284,0.0459,0.0224,0.0289,0.0393,0.0433,0.0106,0.0088,0.1015,0.1595
CSGCN,14,10.051093995571136,0.29539942741394043,0.0238,0.0306,0.0503,0.0238,0.0315,0.041,0.0458,0.0112,0.0099,0.107,0.1775
CSGCN,15,9.483434289693832,0.2985389232635498,0.0256,0.0329,0.0533,0.0256,0.0334,0.0442,0.0492,0.0123,0.0106,0.1165,0.189
CSGCN,16,8.945389866828918,0.29529285430908203,0.027,0.0333,0.0556,0.027,0.0355,0.0474,0.053,0.0126,0.0111,0.118,0.199
CSGCN,17,8.419046223163605,0.2955129146575928,0.0286,0.0354,0.0575,0.0286,0.0369,0.0504,0.0558,0.0136,0.0115,0.1275,0.2065
CSGCN,18,7.9480332136154175,0.29786038398742676,0.0293,0.0354,0.0594,0.0293,0.0384,0.0526,0.0586,0.0137,0.0119,0.1275,0.2145
CSGCN,19,7.490089237689972,0.29666900634765625,0.0306,0.0377,0.0622,0.0306,0.0399,0.0549,0.0609,0.0145,0.0125,0.1355,0.223
CSGCN,20,7.0456874668598175,0.2968769073486328,0.032,0.039,0.0634,0.032,0.041,0.0576,0.0634,0.0152,0.0126,0.141,0.2265
CSGCN,21,6.682529300451279,0.29718494415283203,0.0326,0.0397,0.0667,0.0326,0.0427,0.0587,0.0652,0.0154,0.0133,0.143,0.2375
CSGCN,22,6.307950437068939,0.2962021827697754,0.0335,0.0414,0.068,0.0335,0.0434,0.06,0.0662,0.0162,0.0136,0.149,0.2405
CSGCN,23,5.9813739359378815,0.29572224617004395,0.0342,0.0416,0.0692,0.0342,0.0445,0.0617,0.068,0.0163,0.0139,0.1505,0.243
CSGCN,24,5.669812053442001,0.2959465980529785,0.0345,0.0423,0.0708,0.0345,0.0452,0.062,0.0686,0.0163,0.0141,0.15,0.247
CSGCN,25,5.393940091133118,0.29675793647766113,0.0354,0.0437,0.0725,0.0354,0.0462,0.0636,0.0701,0.017,0.0145,0.1565,0.2535
CSGCN,26,5.138009026646614,0.2963593006134033,0.0354,0.0443,0.072,0.0354,0.0458,0.0629,0.0693,0.0172,0.0144,0.158,0.2515
CSGCN,27,4.874660015106201,0.2955758571624756,0.0361,0.0454,0.0724,0.0361,0.0463,0.0639,0.0699,0.0175,0.0145,0.1625,0.251
CSGCN,28,4.649169936776161,0.29665565490722656,0.0366,0.046,0.0724,0.0366,0.0466,0.0649,0.0709,0.0179,0.0145,0.1645,0.252
CSGCN,29,4.446453049778938,0.39106130599975586,0.0373,0.0473,0.0741,0.0373,0.0472,0.0658,0.0717,0.0183,0.0146,0.167,0.2545
CSGCN,30,4.259120509028435,0.29608964920043945,0.0373,0.047,0.0749,0.0373,0.0477,0.0661,0.0724,0.0182,0.0148,0.1655,0.2585
CSGCN,31,4.0719287395477295,0.2958488464355469,0.0371,0.046,0.0761,0.0371,0.0483,0.0666,0.0734,0.0177,0.015,0.161,0.2605
CSGCN,32,3.9093820601701736,0.29630064964294434,0.0376,0.0472,0.0755,0.0376,0.0482,0.0662,0.0725,0.0183,0.015,0.167,0.2595
CSGCN,33,3.7481649518013,0.29578733444213867,0.0376,0.0475,0.0762,0.0376,0.0483,0.0659,0.0722,0.0184,0.015,0.167,0.26
CSGCN,34,3.60403773188591,0.29526758193969727,0.0373,0.0473,0.0766,0.0373,0.048,0.0651,0.0713,0.0185,0.015,0.1685,0.2585
CSGCN,35,3.4657256454229355,0.29537487030029297,0.0372,0.0473,0.0769,0.0372,0.048,0.0649,0.0712,0.0185,0.0151,0.169,0.2605
CSGCN,36,3.3383849263191223,0.29506897926330566,0.0375,0.0484,0.0757,0.0375,0.0477,0.0654,0.0713,0.0187,0.0149,0.1715,0.258
CSGCN,37,3.229067102074623,0.2957601547241211,0.0373,0.0482,0.0763,0.0373,0.0478,0.0649,0.071,0.0186,0.015,0.1715,0.261
CSGCN,38,3.1097152084112167,0.2949955463409424,0.0373,0.0483,0.0769,0.0373,0.0479,0.0645,0.0708,0.0186,0.015,0.17,0.261
CSGCN,39,3.0148925483226776,0.2955446243286133,0.0367,0.047,0.0775,0.0367,0.048,0.0641,0.0708,0.0182,0.0151,0.166,0.2625
CSGCN,40,2.90533547103405,0.2946603298187256,0.0365,0.0466,0.0771,0.0365,0.0477,0.0633,0.0701,0.0182,0.0151,0.1655,0.2645
CSGCN,41,2.838895082473755,0.29555201530456543,0.0366,0.0465,0.0765,0.0366,0.0477,0.0639,0.0707,0.0182,0.0151,0.165,0.2655
CSGCN,42,2.741722747683525,0.29463815689086914,0.0371,0.0469,0.0758,0.0371,0.0479,0.0652,0.0721,0.0182,0.015,0.1645,0.265
CSGCN,43,2.6550931110978127,0.2958714962005615,0.037,0.0471,0.0758,0.037,0.0478,0.065,0.0715,0.0181,0.015,0.1665,0.263
CSGCN,44,2.5721574649214745,0.30086493492126465,0.0365,0.0464,0.0761,0.0365,0.0476,0.0637,0.0706,0.0178,0.0151,0.164,0.266
