Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
DiffNet,1,15.2329660654068,0.2401292324066162,0.0035,0.0043,0.0077,0.0035,0.0048,0.0073,0.0085,0.0019,0.0018,0.018,0.0345
DiffNet,2,14.908755838871002,0.25842952728271484,0.0044,0.0054,0.009,0.0044,0.0058,0.0086,0.0098,0.0026,0.0022,0.0255,0.0425
DiffNet,3,14.16007286310196,0.2573974132537842,0.0042,0.0055,0.0091,0.0042,0.0057,0.0079,0.0091,0.0025,0.0022,0.0245,0.043
DiffNet,4,12.765803635120392,0.24871087074279785,0.0037,0.0044,0.0087,0.0037,0.0054,0.0074,0.0087,0.0022,0.0021,0.0215,0.0415
DiffNet,5,10.943221241235733,0.2426900863647461,0.003,0.0034,0.0097,0.003,0.0055,0.0064,0.0083,0.0017,0.0022,0.0165,0.0445
DiffNet,6,9.099785476922989,0.2448875904083252,0.0034,0.0048,0.0094,0.0034,0.0053,0.0064,0.0079,0.0022,0.0022,0.0215,0.0435
DiffNet,7,7.561288833618164,0.2585124969482422,0.0032,0.0039,0.009,0.0032,0.0053,0.0065,0.0082,0.0019,0.0022,0.0185,0.044
DiffNet,8,6.370754987001419,0.2649216651916504,0.0034,0.0041,0.0085,0.0034,0.0052,0.0072,0.0086,0.002,0.0021,0.02,0.0415
DiffNet,9,5.478575959801674,0.267606258392334,0.0033,0.0042,0.0089,0.0033,0.0052,0.0069,0.0083,0.002,0.0021,0.02,0.041
DiffNet,10,4.786979913711548,0.2577242851257324,0.0033,0.0041,0.0085,0.0033,0.005,0.0067,0.0081,0.002,0.002,0.0195,0.0395
DiffNet,11,4.240866795182228,0.25396299362182617,0.003,0.0037,0.0087,0.003,0.0048,0.0058,0.0072,0.0018,0.0019,0.018,0.039
DiffNet,12,3.798944130539894,0.2502007484436035,0.0027,0.0036,0.0081,0.0027,0.0044,0.0051,0.0064,0.0017,0.0018,0.017,0.0345
DiffNet,13,3.4817394018173218,0.24116134643554688,0.0027,0.0037,0.0083,0.0027,0.0044,0.005,0.0063,0.0019,0.0019,0.0185,0.0375
