Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
CSGCN,1,4.152489542961121,0.07118701934814453,0.2056,0.2214,0.2983,0.2056,0.2351,0.3607,0.3694,0.0876,0.0607,0.636,0.76
CSGCN,2,4.13575941324234,0.07079672813415527,0.2344,0.2492,0.3199,0.2344,0.263,0.4175,0.4237,0.1,0.0675,0.698,0.78
CSGCN,3,4.108861029148102,0.0704643726348877,0.2452,0.254,0.3416,0.2452,0.2803,0.4374,0.4447,0.106,0.0745,0.71,0.812
CSGCN,4,4.067662000656128,0.07063484191894531,0.25,0.2641,0.3506,0.25,0.2835,0.4364,0.443,0.113,0.0767,0.732,0.826
CSGCN,5,4.010951399803162,0.07357573509216309,0.2472,0.2613,0.3566,0.2472,0.2837,0.4338,0.4416,0.1122,0.078,0.724,0.834
CSGCN,6,3.9344784021377563,0.06937122344970703,0.2442,0.2589,0.3492,0.2442,0.2797,0.4255,0.4331,0.1112,0.0774,0.716,0.828
CSGCN,7,3.8366990089416504,0.06987261772155762,0.245,0.2637,0.3432,0.245,0.276,0.4195,0.4265,0.1132,0.0762,0.708,0.806
CSGCN,8,3.718126654624939,0.07037186622619629,0.2399,0.2568,0.3372,0.2399,0.2721,0.4115,0.42,0.1106,0.0757,0.69,0.808
CSGCN,9,3.5790430903434753,0.06990313529968262,0.2379,0.2578,0.332,0.2379,0.2678,0.4071,0.4143,0.1112,0.0749,0.7,0.802
CSGCN,10,3.4225258827209473,0.06963539123535156,0.2345,0.2548,0.3314,0.2345,0.2652,0.4006,0.4081,0.1092,0.0744,0.692,0.798
CSGCN,11,3.2450530529022217,0.06956148147583008,0.2251,0.2472,0.3274,0.2251,0.2573,0.3806,0.3882,0.106,0.0737,0.682,0.79
CSGCN,12,3.058459311723709,0.0701591968536377,0.221,0.245,0.3194,0.221,0.2512,0.3715,0.3786,0.1044,0.0719,0.672,0.772
CSGCN,13,2.8596869707107544,0.07043075561523438,0.2166,0.2388,0.3105,0.2166,0.2461,0.3696,0.3761,0.1016,0.0701,0.67,0.762
CSGCN,14,2.66072279214859,0.06967639923095703,0.2134,0.2395,0.3086,0.2134,0.2414,0.3586,0.3648,0.102,0.0692,0.668,0.754
CSGCN,15,2.4655113518238068,0.06966233253479004,0.2104,0.2379,0.3097,0.2104,0.2388,0.3509,0.3576,0.1006,0.0683,0.664,0.756
