Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
LightGCN,1,4.15586394071579,0.06371355056762695,0.1353,0.1556,0.2129,0.1353,0.1571,0.2347,0.2441,0.0566,0.0404,0.466,0.6
LightGCN,2,4.154990613460541,0.061730384826660156,0.1481,0.1674,0.232,0.1481,0.1728,0.2593,0.2684,0.0616,0.0445,0.498,0.628
LightGCN,3,4.154100477695465,0.06406831741333008,0.1581,0.1754,0.2467,0.1581,0.1854,0.2803,0.2897,0.0658,0.048,0.522,0.66
LightGCN,4,4.153160572052002,0.06052255630493164,0.1708,0.1897,0.2594,0.1708,0.1977,0.2996,0.3092,0.072,0.0513,0.554,0.696
LightGCN,5,4.15216863155365,0.06056976318359375,0.1814,0.1989,0.2714,0.1814,0.2095,0.3187,0.3283,0.077,0.0542,0.578,0.716
LightGCN,6,4.15096914768219,0.06513118743896484,0.1905,0.2058,0.28,0.1905,0.2195,0.3364,0.3457,0.0798,0.0565,0.596,0.728
LightGCN,7,4.1497355699539185,0.06133747100830078,0.2004,0.217,0.2879,0.2004,0.2281,0.3519,0.3605,0.0854,0.0586,0.628,0.752
LightGCN,8,4.148316562175751,0.0614323616027832,0.2094,0.227,0.2978,0.2094,0.2374,0.366,0.3737,0.09,0.0615,0.654,0.764
LightGCN,9,4.146795690059662,0.061562538146972656,0.2186,0.2382,0.3057,0.2186,0.2448,0.3783,0.3842,0.0958,0.0632,0.684,0.768
LightGCN,10,4.145091772079468,0.06136798858642578,0.2243,0.2456,0.3158,0.2243,0.2515,0.3877,0.3936,0.0984,0.0652,0.69,0.774
LightGCN,11,4.1433005928993225,0.06142902374267578,0.2288,0.2488,0.3227,0.2288,0.2578,0.3961,0.4025,0.1,0.067,0.692,0.778
LightGCN,12,4.141274631023407,0.061737775802612305,0.2356,0.2575,0.3287,0.2356,0.2637,0.4044,0.4104,0.1036,0.0689,0.702,0.786
