Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
HAGN,1,15.937205255031586,0.3599281311035156,0.0108,0.0169,0.0249,0.0108,0.014,0.0165,0.019,0.0056,0.0047,0.0555,0.0915
HAGN,2,15.892668187618256,0.35888195037841797,0.0039,0.0052,0.0089,0.0039,0.0053,0.0068,0.0079,0.0021,0.0019,0.0205,0.0375
HAGN,3,15.749223053455353,0.34982824325561523,0.0033,0.0045,0.0082,0.0033,0.0046,0.0063,0.0072,0.0019,0.0016,0.0185,0.032
HAGN,4,15.486455023288727,0.3680906295776367,0.0024,0.0034,0.0066,0.0024,0.0036,0.0047,0.0056,0.0015,0.0014,0.0145,0.0275
HAGN,5,15.244979918003082,0.3609583377838135,0.0021,0.0027,0.0066,0.0021,0.0035,0.0051,0.0062,0.0014,0.0014,0.0135,0.0285
HAGN,6,14.96649020910263,0.35663366317749023,0.003,0.0045,0.0106,0.003,0.0051,0.0055,0.0069,0.0019,0.002,0.0185,0.0395
HAGN,7,14.68488198518753,0.359375,0.005,0.008,0.0144,0.005,0.0073,0.0086,0.0102,0.003,0.0028,0.03,0.0545
HAGN,8,14.293206512928009,0.35668301582336426,0.0061,0.0082,0.0145,0.0061,0.0085,0.0109,0.0128,0.0031,0.003,0.0305,0.0585
HAGN,9,13.882279932498932,0.3570561408996582,0.0073,0.0089,0.015,0.0073,0.0097,0.0147,0.0164,0.0035,0.0032,0.0355,0.0615
HAGN,10,13.44189441204071,0.35974812507629395,0.0087,0.0105,0.0195,0.0087,0.0119,0.0174,0.0194,0.0044,0.0039,0.0445,0.075
HAGN,11,12.980506837368011,0.3593776226043701,0.0111,0.0144,0.0235,0.0111,0.0146,0.0208,0.0231,0.0059,0.0049,0.058,0.0925
HAGN,12,12.465862035751343,0.35579729080200195,0.0114,0.0149,0.0272,0.0114,0.0161,0.0212,0.0245,0.0063,0.0056,0.062,0.108
HAGN,13,11.932795286178589,0.3588573932647705,0.0128,0.0174,0.0329,0.0128,0.0184,0.0239,0.0274,0.0073,0.0065,0.072,0.1235
HAGN,14,11.416949182748795,0.3576996326446533,0.0142,0.0189,0.0357,0.0142,0.0202,0.0262,0.0301,0.0081,0.0072,0.0795,0.137
HAGN,15,10.93449342250824,0.35967087745666504,0.0151,0.0211,0.038,0.0151,0.0214,0.0268,0.0311,0.0082,0.0076,0.0805,0.143
HAGN,16,10.420122563838959,0.36284732818603516,0.0169,0.0232,0.0401,0.0169,0.0232,0.0308,0.035,0.0089,0.0079,0.088,0.1495
