Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
SimGCL,1,215131.52734375,0.3323628902435303,0.1201,0.1453,0.199,0.1201,0.1403,0.1956,0.2042,0.051,0.0362,0.426,0.552
SimGCL,2,195964.99267578125,0.33487606048583984,0.1693,0.2003,0.2718,0.1693,0.1973,0.2731,0.2842,0.0688,0.0498,0.537,0.693
SimGCL,3,187168.7998046875,0.32437634468078613,0.1985,0.2333,0.304,0.1985,0.2264,0.3156,0.3249,0.0816,0.0566,0.612,0.7475
SimGCL,4,181665.87841796875,0.3240053653717041,0.2163,0.2521,0.3296,0.2163,0.2466,0.3394,0.3488,0.0888,0.0614,0.648,0.782
SimGCL,5,177876.06103515625,0.32418084144592285,0.2317,0.2713,0.3505,0.2317,0.2627,0.3577,0.3662,0.0965,0.0658,0.685,0.8075
SimGCL,6,175265.650390625,0.3281986713409424,0.2447,0.2852,0.366,0.2447,0.2767,0.3758,0.3842,0.1018,0.0691,0.7065,0.8265
SimGCL,7,172761.29150390625,0.3254063129425049,0.2565,0.2983,0.3795,0.2565,0.2885,0.3913,0.3998,0.107,0.0719,0.7225,0.844
SimGCL,8,171588.7998046875,0.32337093353271484,0.2679,0.3108,0.3912,0.2679,0.2996,0.4072,0.415,0.1121,0.0744,0.7435,0.856
SimGCL,9,170072.32861328125,0.3240385055541992,0.2752,0.3185,0.3992,0.2752,0.3071,0.4168,0.4245,0.1151,0.076,0.7535,0.8645
SimGCL,10,168145.60888671875,0.3241539001464844,0.2823,0.3255,0.4077,0.2823,0.3147,0.4265,0.4343,0.1178,0.0777,0.76,0.872
SimGCL,11,167667.49755859375,0.3241589069366455,0.2894,0.331,0.4164,0.2894,0.323,0.4378,0.4458,0.1204,0.0794,0.7675,0.881
SimGCL,12,167015.67822265625,0.4103353023529053,0.2955,0.3371,0.4231,0.2955,0.3294,0.446,0.4539,0.1228,0.0809,0.775,0.8865
SimGCL,13,165441.17041015625,0.33451128005981445,0.3011,0.3437,0.4287,0.3011,0.3349,0.4524,0.4601,0.1251,0.0822,0.7835,0.8925
SimGCL,14,165179.38525390625,0.3246581554412842,0.3054,0.3477,0.4348,0.3054,0.3401,0.4587,0.4662,0.1264,0.0835,0.7905,0.8975
SimGCL,15,163813.41259765625,0.3245201110839844,0.3104,0.3539,0.4401,0.3104,0.345,0.4643,0.4716,0.1287,0.0848,0.7975,0.9015
SimGCL,16,163732.31298828125,0.32369256019592285,0.3147,0.3579,0.4455,0.3147,0.3498,0.4701,0.4772,0.1303,0.0857,0.8025,0.903
