Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
BPR,1,15.94214004278183,0.20943355560302734,0.0016,0.0024,0.004,0.0016,0.0023,0.0025,0.0031,0.001,0.0009,0.01,0.0185
BPR,2,15.92823314666748,0.3039214611053467,0.0016,0.0024,0.0041,0.0016,0.0023,0.0023,0.0029,0.0011,0.001,0.0105,0.02
BPR,3,15.917341589927673,0.21119928359985352,0.0013,0.0018,0.0044,0.0013,0.0023,0.002,0.0028,0.0009,0.0011,0.009,0.0215
BPR,4,15.906581342220306,0.20992517471313477,0.0012,0.0019,0.0046,0.0012,0.0022,0.0017,0.0025,0.001,0.0011,0.0095,0.022
BPR,5,15.894907176494598,0.21935033798217773,0.0012,0.0018,0.0037,0.0012,0.002,0.0021,0.0026,0.001,0.0009,0.01,0.018
BPR,6,15.883463859558105,0.21959209442138672,0.001,0.0015,0.0034,0.001,0.0018,0.0017,0.0023,0.0009,0.0009,0.0085,0.017
BPR,7,15.870705008506775,0.21264076232910156,0.0013,0.0017,0.0031,0.0013,0.0018,0.0024,0.0027,0.001,0.0008,0.01,0.016
BPR,8,15.856306612491608,0.20960068702697754,0.0012,0.0016,0.0033,0.0012,0.0019,0.0024,0.0029,0.0009,0.0009,0.009,0.017
BPR,9,15.84175592660904,0.20939898490905762,0.0013,0.0017,0.0034,0.0013,0.002,0.0025,0.0031,0.001,0.0009,0.01,0.0185
BPR,10,15.823394238948822,0.20954394340515137,0.0015,0.0017,0.0035,0.0015,0.0021,0.0031,0.0037,0.0011,0.001,0.0105,0.0195
BPR,11,15.804591655731201,0.21413969993591309,0.0016,0.002,0.0033,0.0016,0.0021,0.0033,0.0038,0.0011,0.0009,0.0105,0.0185
BPR,12,15.782585144042969,0.21074962615966797,0.0017,0.0022,0.0034,0.0017,0.0022,0.0035,0.004,0.0012,0.001,0.012,0.0195
BPR,13,15.757622301578522,0.21001577377319336,0.0015,0.0018,0.0034,0.0015,0.0021,0.0032,0.0038,0.0011,0.001,0.0105,0.0195
BPR,14,15.729934394359589,0.20966291427612305,0.0016,0.002,0.0039,0.0016,0.0024,0.0033,0.0041,0.0011,0.0011,0.011,0.021
BPR,15,15.698839008808136,0.21070075035095215,0.0019,0.0022,0.0038,0.0019,0.0025,0.004,0.0046,0.0012,0.0011,0.0115,0.021
BPR,16,15.663538992404938,0.21015167236328125,0.0016,0.0021,0.0036,0.0016,0.0023,0.0034,0.004,0.0011,0.001,0.0105,0.02
BPR,17,15.625740766525269,0.20905137062072754,0.0017,0.0022,0.0037,0.0017,0.0023,0.0036,0.0041,0.0012,0.001,0.0115,0.0195
BPR,18,15.583767116069794,0.20940756797790527,0.0017,0.0019,0.0037,0.0017,0.0024,0.0035,0.0042,0.0011,0.0011,0.0105,0.02
BPR,19,15.538644552230835,0.2088305950164795,0.0015,0.0018,0.0037,0.0015,0.0023,0.003,0.0037,0.001,0.0011,0.01,0.02
BPR,20,15.487778425216675,0.2090151309967041,0.0014,0.0017,0.0035,0.0014,0.0021,0.0028,0.0033,0.001,0.001,0.01,0.0185
BPR,21,15.4344482421875,0.20875096321105957,0.0015,0.002,0.0036,0.0015,0.0021,0.0029,0.0034,0.0012,0.001,0.0115,0.019
BPR,22,15.375670373439789,0.20900177955627441,0.0013,0.0017,0.0037,0.0013,0.0021,0.0028,0.0034,0.001,0.001,0.01,0.02
BPR,23,15.313435733318329,0.20930123329162598,0.0013,0.0019,0.0039,0.0013,0.0021,0.0026,0.0032,0.0011,0.0011,0.011,0.021
BPR,24,15.246488511562347,0.20929408073425293,0.0013,0.0019,0.0035,0.0013,0.0019,0.0023,0.0029,0.0011,0.001,0.011,0.0205
BPR,25,15.177273333072662,0.2091965675354004,0.0012,0.0018,0.0039,0.0012,0.0021,0.0022,0.0029,0.0011,0.0011,0.0105,0.0215
BPR,26,15.09952598810196,0.2145366668701172,0.0011,0.0016,0.0049,0.0011,0.0024,0.0021,0.003,0.001,0.0012,0.0095,0.0235
