Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
LightGCN,1,31.1855286359787,0.5523874759674072,0.0065,0.0059,0.0116,0.0065,0.0089,0.017,0.0206,0.0056,0.0057,0.055,0.108
LightGCN,2,31.114223957061768,0.5491993427276611,0.004,0.0036,0.0071,0.004,0.0054,0.0107,0.013,0.0036,0.0037,0.0345,0.068
LightGCN,3,30.873383283615112,0.5392565727233887,0.0045,0.0044,0.0075,0.0045,0.0056,0.0105,0.0124,0.0044,0.0036,0.042,0.0695
LightGCN,4,30.453203976154327,0.5387425422668457,0.0047,0.0042,0.009,0.0047,0.0066,0.0127,0.0154,0.0042,0.0042,0.0425,0.0825
LightGCN,5,29.962286353111267,0.5485467910766602,0.0059,0.0049,0.0081,0.0059,0.007,0.0172,0.0193,0.005,0.0043,0.049,0.081
LightGCN,6,29.359495401382446,0.5427515506744385,0.0064,0.0053,0.01,0.0064,0.0081,0.0176,0.0204,0.0056,0.0051,0.053,0.095
LightGCN,7,28.629399597644806,0.5399026870727539,0.0069,0.0056,0.0107,0.0069,0.0088,0.0192,0.0225,0.0059,0.0056,0.056,0.104
LightGCN,8,27.770735442638397,0.5436916351318359,0.0078,0.0062,0.013,0.0078,0.0104,0.0211,0.0249,0.0067,0.0066,0.063,0.121
LightGCN,9,26.85638839006424,0.5404314994812012,0.0086,0.0073,0.0137,0.0086,0.011,0.0234,0.0269,0.0075,0.0069,0.072,0.1275
LightGCN,10,25.910001575946808,0.5406620502471924,0.0093,0.0077,0.0148,0.0093,0.0118,0.0254,0.0295,0.0078,0.0073,0.075,0.1355
LightGCN,11,24.869669139385223,0.5582437515258789,0.0103,0.0088,0.0164,0.0103,0.013,0.0277,0.0318,0.0088,0.0081,0.0845,0.1465
LightGCN,12,23.84758847951889,0.5468919277191162,0.0113,0.0096,0.0177,0.0113,0.0142,0.0307,0.0352,0.0095,0.0087,0.09,0.1575
LightGCN,13,22.837420374155045,0.5561656951904297,0.0117,0.0101,0.017,0.0117,0.014,0.0319,0.0359,0.01,0.0085,0.0955,0.157
LightGCN,14,21.83659663796425,0.548255205154419,0.0116,0.0099,0.0167,0.0116,0.0141,0.0312,0.0356,0.0097,0.0086,0.093,0.159
LightGCN,15,20.91509783267975,0.5567011833190918,0.0117,0.01,0.0185,0.0117,0.015,0.032,0.0369,0.0098,0.0092,0.0945,0.17
LightGCN,16,20.037242144346237,0.549375057220459,0.0121,0.0106,0.0187,0.0121,0.0152,0.0326,0.0376,0.01,0.0092,0.0975,0.1705
LightGCN,17,19.213312447071075,0.5566267967224121,0.0123,0.0111,0.0185,0.0123,0.0151,0.0323,0.0368,0.0107,0.0092,0.1035,0.17
LightGCN,18,18.413615226745605,0.5454940795898438,0.0127,0.0115,0.0195,0.0127,0.0155,0.0333,0.0379,0.011,0.0093,0.106,0.1735
LightGCN,19,17.64795672893524,0.5449156761169434,0.0133,0.012,0.0195,0.0133,0.016,0.0349,0.0397,0.0113,0.0097,0.108,0.178
LightGCN,20,16.977699279785156,0.5480608940124512,0.0136,0.0123,0.0197,0.0136,0.0163,0.036,0.0406,0.0115,0.0095,0.1095,0.1755
LightGCN,21,16.352763026952744,0.5459706783294678,0.0136,0.012,0.0208,0.0136,0.0168,0.0364,0.0415,0.0113,0.01,0.108,0.1835
LightGCN,22,15.756498664617538,0.5523450374603271,0.0137,0.0123,0.021,0.0137,0.0169,0.0366,0.0416,0.0115,0.01,0.1115,0.185
LightGCN,23,15.244774967432022,0.5545163154602051,0.0136,0.0125,0.0211,0.0136,0.0167,0.0355,0.0403,0.0117,0.0101,0.1125,0.1835
LightGCN,24,14.727011889219284,0.5477280616760254,0.0139,0.0129,0.0208,0.0139,0.0167,0.0359,0.0403,0.0121,0.0101,0.117,0.1815
LightGCN,25,14.249537408351898,0.548969030380249,0.014,0.0128,0.0212,0.014,0.0169,0.0363,0.0407,0.0121,0.0101,0.117,0.182
LightGCN,26,13.81255903840065,0.5475494861602783,0.0141,0.013,0.0214,0.0141,0.0171,0.0367,0.0411,0.0119,0.0102,0.1165,0.1835
LightGCN,27,13.373174965381622,0.5494661331176758,0.0136,0.0121,0.0211,0.0136,0.0169,0.0357,0.0404,0.0115,0.01,0.112,0.181
LightGCN,28,12.981081455945969,0.5480282306671143,0.0136,0.0125,0.0215,0.0136,0.0169,0.0348,0.0398,0.0116,0.0102,0.1115,0.1845
LightGCN,29,12.669312328100204,0.5408535003662109,0.0135,0.0124,0.0208,0.0135,0.0166,0.0346,0.0394,0.0115,0.0101,0.1105,0.183
LightGCN,30,12.346902191638947,0.5484805107116699,0.0135,0.0124,0.0215,0.0135,0.0169,0.0347,0.0398,0.0114,0.0101,0.109,0.1845
LightGCN,31,12.004574686288834,0.5506510734558105,0.0133,0.0122,0.0209,0.0133,0.0165,0.0343,0.0392,0.0113,0.0099,0.107,0.178
LightGCN,32,11.743070155382156,0.553774356842041,0.0137,0.0125,0.021,0.0137,0.0167,0.0354,0.0398,0.0116,0.0098,0.11,0.1755
LightGCN,33,11.40358880162239,0.5483832359313965,0.0132,0.0123,0.0209,0.0132,0.0164,0.0337,0.0383,0.0113,0.0098,0.1075,0.1775
LightGCN,34,11.207090750336647,0.5459625720977783,0.0132,0.0123,0.0207,0.0132,0.0164,0.0342,0.0392,0.011,0.0097,0.105,0.178
LightGCN,35,10.879780679941177,0.5455939769744873,0.0137,0.0127,0.0211,0.0137,0.0168,0.0357,0.0404,0.0115,0.0099,0.1085,0.179
LightGCN,36,10.707225367426872,0.5451271533966064,0.0134,0.0123,0.0211,0.0134,0.0167,0.035,0.04,0.0112,0.01,0.106,0.1805
LightGCN,37,10.477678462862968,0.5488204956054688,0.0132,0.0119,0.0211,0.0132,0.0165,0.0344,0.0393,0.0111,0.0098,0.106,0.181
