Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
BPR,1,15.248854756355286,0.21457958221435547,0.0014,0.0017,0.0041,0.0014,0.0024,0.0027,0.0035,0.0009,0.001,0.009,0.02
BPR,2,15.24627310037613,0.2103261947631836,0.0014,0.0019,0.0043,0.0014,0.0024,0.0026,0.0033,0.001,0.0011,0.01,0.021
BPR,3,15.244012355804443,0.2114713191986084,0.0014,0.002,0.0042,0.0014,0.0023,0.0023,0.0031,0.0011,0.0011,0.0105,0.021
BPR,4,15.24142700433731,0.2093214988708496,0.0013,0.002,0.0045,0.0013,0.0023,0.0022,0.003,0.0011,0.0011,0.0105,0.0225
BPR,5,15.239454329013824,0.2116680145263672,0.0014,0.002,0.0047,0.0014,0.0024,0.0022,0.0031,0.0011,0.0012,0.0105,0.0235
BPR,6,15.23721158504486,0.20941829681396484,0.0014,0.0021,0.0049,0.0014,0.0024,0.0022,0.0031,0.0011,0.0012,0.011,0.0235
BPR,7,15.234551966190338,0.211256742477417,0.0013,0.0019,0.0045,0.0013,0.0023,0.0021,0.0029,0.0011,0.0011,0.0105,0.022
BPR,8,15.232093632221222,0.21608638763427734,0.0013,0.0019,0.0047,0.0013,0.0024,0.0023,0.003,0.0011,0.0011,0.011,0.0225
BPR,9,15.229601681232452,0.217850923538208,0.0013,0.0019,0.0049,0.0013,0.0025,0.0023,0.0032,0.0011,0.0012,0.0105,0.024
BPR,10,15.227465033531189,0.2178211212158203,0.0014,0.002,0.0049,0.0014,0.0025,0.0023,0.0032,0.0011,0.0012,0.011,0.0245
BPR,11,15.225008428096771,0.22849678993225098,0.0014,0.002,0.005,0.0014,0.0025,0.0024,0.0033,0.0011,0.0012,0.011,0.025
BPR,12,15.222610235214233,0.21385765075683594,0.0014,0.002,0.0048,0.0014,0.0025,0.0025,0.0033,0.0011,0.0012,0.011,0.0245
BPR,13,15.220170378684998,0.21634197235107422,0.0013,0.0019,0.0047,0.0013,0.0024,0.0023,0.0032,0.001,0.0012,0.01,0.024
