Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
SimGCL,1,834819.37890625,0.3363528251647949,0.1265,0.1521,0.2121,0.1265,0.1493,0.2024,0.2122,0.052,0.0379,0.4275,0.566
SimGCL,2,757050.00390625,0.33289504051208496,0.1791,0.2134,0.2837,0.1791,0.2062,0.2795,0.2895,0.0725,0.051,0.561,0.704
SimGCL,3,723245.544921875,0.3327009677886963,0.2057,0.2433,0.3207,0.2057,0.2355,0.3196,0.329,0.0832,0.0577,0.6185,0.7545
SimGCL,4,706488.07421875,0.3368806838989258,0.2253,0.2644,0.344,0.2253,0.256,0.351,0.3592,0.091,0.0621,0.66,0.779
SimGCL,5,691278.771484375,0.32673025131225586,0.2411,0.2811,0.3589,0.2411,0.2717,0.3738,0.3825,0.097,0.0654,0.6785,0.8035
SimGCL,6,679063.5546875,0.3261220455169678,0.2511,0.291,0.3721,0.2511,0.283,0.3873,0.3964,0.101,0.0681,0.6925,0.8195
SimGCL,7,670792.47265625,0.3285024166107178,0.263,0.303,0.3868,0.263,0.2958,0.4045,0.4134,0.1056,0.0709,0.7125,0.838
SimGCL,8,663143.2734375,0.3214433193206787,0.2723,0.312,0.3986,0.2723,0.3061,0.4181,0.4267,0.1094,0.0735,0.73,0.851
SimGCL,9,657832.39453125,0.32211804389953613,0.279,0.3193,0.4085,0.279,0.314,0.426,0.4342,0.1121,0.0756,0.7405,0.8535
SimGCL,10,650779.015625,0.3261990547180176,0.2849,0.325,0.4175,0.2849,0.3212,0.434,0.4418,0.1143,0.0774,0.753,0.8615
SimGCL,11,648007.611328125,0.31917667388916016,0.2897,0.3314,0.4247,0.2897,0.3264,0.4394,0.4467,0.117,0.0789,0.7645,0.8675
SimGCL,12,643279.958984375,0.3154869079589844,0.296,0.3402,0.43,0.296,0.3315,0.446,0.4526,0.1205,0.0801,0.777,0.8705
SimGCL,13,640032.146484375,0.31456804275512695,0.3025,0.3484,0.4365,0.3025,0.3374,0.4536,0.46,0.1234,0.0813,0.7855,0.876
SimGCL,14,637208.642578125,0.314716100692749,0.3057,0.3521,0.442,0.3057,0.3415,0.4566,0.4633,0.1246,0.0825,0.7865,0.879
SimGCL,15,634384.357421875,0.31447815895080566,0.31,0.3564,0.448,0.31,0.3464,0.4629,0.4693,0.1262,0.0836,0.793,0.8835
SimGCL,16,633990.48828125,0.3146383762359619,0.3141,0.3627,0.4537,0.3141,0.3503,0.466,0.4722,0.1285,0.0846,0.7995,0.886
SimGCL,17,630433.681640625,0.3150649070739746,0.3179,0.3664,0.4584,0.3179,0.3545,0.4713,0.4771,0.1299,0.0856,0.805,0.8865
SimGCL,18,628232.69140625,0.31470465660095215,0.3217,0.3704,0.4615,0.3217,0.358,0.4763,0.4823,0.1315,0.0863,0.808,0.8925
SimGCL,19,626070.837890625,0.3149688243865967,0.3251,0.3747,0.4647,0.3251,0.3609,0.4789,0.4848,0.1334,0.0871,0.8115,0.8945
SimGCL,20,624740.810546875,0.3150191307067871,0.3289,0.379,0.4679,0.3289,0.3644,0.4836,0.4892,0.1349,0.0878,0.818,0.898
SimGCL,21,624054.640625,0.31736063957214355,0.332,0.3816,0.4716,0.332,0.368,0.4874,0.493,0.1359,0.0886,0.821,0.9
SimGCL,22,622264.91015625,0.3150620460510254,0.3351,0.3842,0.4753,0.3351,0.3714,0.4922,0.4975,0.1371,0.0893,0.8245,0.9005
SimGCL,23,619790.474609375,0.31528806686401367,0.3381,0.3878,0.479,0.3381,0.3745,0.4962,0.5014,0.1385,0.0902,0.83,0.905
SimGCL,24,619435.53515625,0.3146333694458008,0.34,0.3901,0.4802,0.34,0.3762,0.498,0.5033,0.1394,0.0905,0.8305,0.906
SimGCL,25,619356.796875,0.3149394989013672,0.3422,0.3921,0.4825,0.3422,0.3786,0.5009,0.5064,0.1401,0.0911,0.832,0.91
SimGCL,26,617302.15625,0.3161482810974121,0.3456,0.3953,0.4847,0.3456,0.3815,0.5055,0.5106,0.1415,0.0916,0.838,0.9105
SimGCL,27,615879.513671875,0.314896821975708,0.3478,0.3978,0.4872,0.3478,0.3836,0.5084,0.5135,0.1425,0.0919,0.839,0.9115
SimGCL,28,616479.416015625,0.3152308464050293,0.3498,0.3998,0.4896,0.3498,0.3858,0.5104,0.5157,0.1435,0.0925,0.8405,0.9145
SimGCL,29,612557.689453125,0.3175029754638672,0.3511,0.4005,0.4918,0.3511,0.3877,0.5116,0.517,0.1437,0.0931,0.841,0.9185
SimGCL,30,611018.724609375,0.3172779083251953,0.3523,0.4017,0.4923,0.3523,0.3887,0.5132,0.5186,0.1443,0.0931,0.8425,0.9185
SimGCL,31,611371.50390625,0.31520795822143555,0.3537,0.4043,0.4956,0.3537,0.3904,0.5147,0.5203,0.1451,0.0939,0.844,0.923
SimGCL,32,612137.125,0.31516361236572266,0.355,0.405,0.4974,0.355,0.3922,0.5164,0.5221,0.1452,0.0943,0.8445,0.924
SimGCL,33,611290.576171875,0.31519174575805664,0.3566,0.407,0.4986,0.3566,0.3935,0.5179,0.5232,0.1462,0.0945,0.848,0.923
SimGCL,34,609299.412109375,0.31665706634521484,0.358,0.4082,0.4994,0.358,0.3947,0.52,0.5253,0.1468,0.0947,0.849,0.9245
SimGCL,35,608976.990234375,0.3147852420806885,0.3587,0.409,0.5011,0.3587,0.396,0.5204,0.5259,0.147,0.0952,0.8485,0.926
SimGCL,36,607854.650390625,0.314389705657959,0.3598,0.4104,0.5031,0.3598,0.3972,0.5216,0.527,0.1476,0.0956,0.85,0.9255
SimGCL,37,607879.03515625,0.3164489269256592,0.3612,0.4122,0.5043,0.3612,0.3983,0.5228,0.528,0.1484,0.0959,0.852,0.926
SimGCL,38,607007.09375,0.31556010246276855,0.3625,0.4133,0.5034,0.3625,0.3989,0.5253,0.5303,0.1488,0.0957,0.856,0.9265
SimGCL,39,606038.248046875,0.31634044647216797,0.3634,0.4141,0.5056,0.3634,0.4003,0.526,0.531,0.1493,0.0962,0.857,0.928
SimGCL,40,606297.458984375,0.314528226852417,0.3643,0.415,0.5072,0.3643,0.4016,0.5264,0.5314,0.1496,0.0966,0.8565,0.9285
SimGCL,41,606472.876953125,0.3148949146270752,0.365,0.416,0.5078,0.365,0.4022,0.5261,0.5311,0.15,0.0968,0.857,0.928
