Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
CSGCN,1,38.806846618652344,1.0683388710021973,0.0096,0.0134,0.0229,0.0096,0.013,0.0161,0.0184,0.0053,0.0045,0.0512,0.0852
CSGCN,2,38.68536776304245,0.9319429397583008,0.0068,0.0101,0.0178,0.0068,0.0096,0.0111,0.013,0.0036,0.0033,0.0362,0.0654
CSGCN,3,38.273402750492096,0.9232556819915771,0.0061,0.0088,0.014,0.0061,0.008,0.0101,0.0115,0.0033,0.0028,0.0326,0.0538
CSGCN,4,37.480994403362274,0.9303553104400635,0.0056,0.0078,0.0149,0.0056,0.0082,0.0096,0.0112,0.003,0.0029,0.03,0.0554
CSGCN,5,36.38005393743515,0.9221947193145752,0.0062,0.009,0.0176,0.0062,0.0093,0.0101,0.0121,0.0035,0.0034,0.0344,0.0654
CSGCN,6,35.029939234256744,0.9014599323272705,0.0079,0.0108,0.0211,0.0079,0.0117,0.0137,0.0162,0.0042,0.0041,0.0418,0.0778
CSGCN,7,33.48023760318756,0.921736478805542,0.0097,0.0125,0.0244,0.0097,0.014,0.0172,0.0199,0.0049,0.0047,0.048,0.0886
CSGCN,8,31.80916678905487,1.051950216293335,0.0113,0.0151,0.0262,0.0113,0.0153,0.0198,0.0225,0.0059,0.0051,0.057,0.098
CSGCN,9,30.054678857326508,0.9234068393707275,0.0122,0.0159,0.0274,0.0122,0.0164,0.0219,0.0246,0.0063,0.0054,0.061,0.1024
CSGCN,10,28.322305262088776,0.9164326190948486,0.0132,0.0175,0.0287,0.0132,0.0173,0.0233,0.0259,0.007,0.0057,0.0664,0.1056
CSGCN,11,26.633783012628555,0.9187777042388916,0.0138,0.0181,0.0298,0.0138,0.018,0.0241,0.0269,0.0071,0.0059,0.0678,0.1104
CSGCN,12,24.996287524700165,0.9201793670654297,0.0137,0.0177,0.0303,0.0137,0.0183,0.0242,0.0275,0.007,0.006,0.0672,0.114
CSGCN,13,23.54699170589447,0.919623613357544,0.0139,0.0176,0.0308,0.0139,0.0187,0.0249,0.0282,0.007,0.0061,0.068,0.1154
CSGCN,14,22.18890717625618,0.9274210929870605,0.0139,0.0176,0.0322,0.0139,0.0191,0.0252,0.0285,0.0072,0.0063,0.0694,0.1184
CSGCN,15,20.94772633910179,1.0682294368743896,0.014,0.0181,0.0322,0.014,0.019,0.0249,0.0282,0.0074,0.0064,0.0708,0.12
CSGCN,16,19.81736794114113,0.9265170097351074,0.0137,0.0179,0.0314,0.0137,0.0187,0.0245,0.0278,0.0072,0.0062,0.0698,0.118
CSGCN,17,18.870408982038498,0.9042520523071289,0.0134,0.0173,0.0318,0.0134,0.0186,0.0244,0.0279,0.007,0.0062,0.0678,0.118
CSGCN,18,18.015805393457413,0.9301860332489014,0.0134,0.0178,0.0309,0.0134,0.0182,0.0243,0.0275,0.0071,0.0061,0.0688,0.1162
CSGCN,19,17.235697358846664,0.9164121150970459,0.0131,0.0176,0.0305,0.0131,0.0179,0.0236,0.0268,0.007,0.0061,0.0682,0.1156
CSGCN,20,16.547797203063965,0.9194371700286865,0.0129,0.0169,0.0296,0.0129,0.0174,0.0234,0.0265,0.0069,0.0059,0.0674,0.1126
CSGCN,21,15.97336745262146,0.9211583137512207,0.0123,0.0166,0.0293,0.0123,0.017,0.0224,0.0255,0.0067,0.0059,0.0658,0.1126
CSGCN,22,15.458141505718231,0.9113597869873047,0.0125,0.0172,0.0284,0.0125,0.0167,0.0225,0.0253,0.0068,0.0057,0.067,0.109
CSGCN,23,14.97632959485054,1.0615079402923584,0.0119,0.0164,0.0281,0.0119,0.0162,0.0213,0.0243,0.0066,0.0056,0.0646,0.1082
CSGCN,24,14.59160304069519,0.9081645011901855,0.0118,0.0165,0.0279,0.0118,0.016,0.021,0.0239,0.0065,0.0055,0.0634,0.106
CSGCN,25,14.221888884902,0.9356875419616699,0.0116,0.016,0.0271,0.0116,0.0157,0.0207,0.0236,0.0063,0.0054,0.0622,0.1046
CSGCN,26,13.949224054813385,0.9292635917663574,0.0116,0.0161,0.0272,0.0116,0.0157,0.0207,0.0236,0.0063,0.0054,0.0624,0.105
