Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
DiffNet,1,6.922050714492798,0.2409195899963379,0.0008,0.0014,0.0054,0.0008,0.0019,0.0008,0.0013,0.0002,0.0005,0.0025,0.009
DiffNet,2,6.762168049812317,0.13598012924194336,0.0005,0.0014,0.0036,0.0005,0.0011,0.0002,0.0005,0.0002,0.0003,0.002,0.0055
DiffNet,3,6.471306562423706,0.1347367763519287,0.0002,0.0005,0.0018,0.0002,0.0006,0.0002,0.0003,0.0002,0.0002,0.0015,0.0035
DiffNet,4,6.067901015281677,0.13382697105407715,0.0003,0.0009,0.0016,0.0003,0.0005,0.0002,0.0003,0.0002,0.0001,0.0015,0.003
DiffNet,5,5.704412341117859,0.13370466232299805,0.0004,0.0008,0.002,0.0004,0.0007,0.0003,0.0005,0.0002,0.0002,0.0015,0.005
DiffNet,6,5.28759104013443,0.13342046737670898,0.0011,0.0019,0.0037,0.0011,0.0016,0.0009,0.0011,0.0004,0.0003,0.0035,0.0065
DiffNet,7,4.821558892726898,0.13547587394714355,0.0017,0.0024,0.0028,0.0017,0.0018,0.002,0.002,0.0004,0.0002,0.004,0.005
DiffNet,8,4.312825679779053,0.13594698905944824,0.0024,0.0039,0.006,0.0024,0.003,0.0025,0.0027,0.0007,0.0006,0.0065,0.0105
DiffNet,9,3.753189980983734,0.13532590866088867,0.0023,0.0042,0.0078,0.0023,0.0033,0.0021,0.0025,0.0008,0.0007,0.007,0.013
DiffNet,10,3.2183237969875336,0.13586688041687012,0.0032,0.0063,0.0103,0.0032,0.0043,0.0027,0.0031,0.001,0.0008,0.009,0.016
DiffNet,11,2.7136953473091125,0.13632869720458984,0.0038,0.0064,0.0109,0.0038,0.0051,0.0036,0.0042,0.001,0.0009,0.0095,0.018
DiffNet,12,2.283489480614662,0.13499140739440918,0.0051,0.008,0.014,0.0051,0.0068,0.0051,0.0059,0.0012,0.0012,0.012,0.0235
DiffNet,13,1.900400072336197,0.13573741912841797,0.0052,0.0074,0.0148,0.0052,0.0073,0.0057,0.0065,0.0012,0.0012,0.0115,0.023
DiffNet,14,1.5936522334814072,0.137526273727417,0.0049,0.0075,0.0153,0.0049,0.0072,0.0054,0.0064,0.0012,0.0013,0.012,0.0255
DiffNet,15,1.332602933049202,0.13299560546875,0.005,0.0076,0.0148,0.005,0.0072,0.0056,0.0066,0.0012,0.0013,0.0115,0.0255
DiffNet,16,1.1452682241797447,0.1332075595855713,0.0062,0.0088,0.0156,0.0062,0.0082,0.007,0.008,0.0014,0.0013,0.014,0.027
DiffNet,17,0.9874648451805115,0.1322617530822754,0.0066,0.0102,0.0152,0.0066,0.0081,0.0071,0.0078,0.0018,0.0013,0.0175,0.0265
DiffNet,18,0.8498613461852074,0.14609742164611816,0.006,0.0105,0.017,0.006,0.0078,0.0062,0.0069,0.0018,0.0014,0.0175,0.028
DiffNet,19,0.7420069724321365,0.13364481925964355,0.0059,0.0101,0.0169,0.0059,0.0078,0.0062,0.007,0.0018,0.0014,0.0175,0.0275
DiffNet,20,0.6556054428219795,0.13360357284545898,0.006,0.0103,0.0174,0.006,0.0079,0.0063,0.007,0.0019,0.0014,0.0185,0.0285
DiffNet,21,0.5809527784585953,0.13312649726867676,0.0059,0.0098,0.0168,0.0059,0.0079,0.0063,0.007,0.0017,0.0014,0.017,0.027
DiffNet,22,0.5140519291162491,0.13387393951416016,0.0062,0.0108,0.0172,0.0062,0.008,0.0064,0.0071,0.0018,0.0014,0.0175,0.0275
DiffNet,23,0.4717595651745796,0.13554835319519043,0.0063,0.0118,0.0176,0.0063,0.008,0.0063,0.0069,0.0019,0.0014,0.0185,0.0285
DiffNet,24,0.4248605780303478,0.13402366638183594,0.006,0.0107,0.0174,0.006,0.0079,0.0061,0.0069,0.0017,0.0014,0.017,0.028
DiffNet,25,0.38260943815112114,0.13471245765686035,0.0059,0.0102,0.0179,0.0059,0.0081,0.0063,0.0071,0.0016,0.0014,0.016,0.0285
DiffNet,26,0.34899796172976494,0.13999700546264648,0.0055,0.0095,0.0175,0.0055,0.0078,0.0058,0.0068,0.0015,0.0014,0.015,0.0285
DiffNet,27,0.3204989694058895,0.13467121124267578,0.0057,0.0094,0.0161,0.0057,0.0077,0.0062,0.007,0.0015,0.0013,0.015,0.0265
DiffNet,28,0.29726130329072475,0.1342301368713379,0.0056,0.0089,0.0166,0.0056,0.0078,0.0062,0.0071,0.0015,0.0014,0.0145,0.027
