Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
LightGCN,1,31.19194984436035,0.6707158088684082,0.0081,0.0078,0.0134,0.0081,0.0102,0.0206,0.0234,0.0071,0.006,0.07,0.114
LightGCN,2,31.158566415309906,0.5483229160308838,0.0037,0.0035,0.0076,0.0037,0.0056,0.0102,0.0127,0.0034,0.0037,0.033,0.0705
LightGCN,3,31.03474360704422,0.5497214794158936,0.0028,0.0023,0.0049,0.0028,0.0037,0.0078,0.0096,0.0026,0.0026,0.026,0.051
LightGCN,4,30.786227643489838,0.552093505859375,0.0028,0.0031,0.0056,0.0028,0.0039,0.0062,0.0079,0.0025,0.0026,0.0245,0.051
LightGCN,5,30.490094304084778,0.5488162040710449,0.0031,0.0031,0.0065,0.0031,0.0045,0.0071,0.0092,0.0027,0.0029,0.026,0.0565
LightGCN,6,30.154341280460358,0.5487766265869141,0.004,0.004,0.0079,0.004,0.0057,0.0101,0.0126,0.0034,0.0036,0.0315,0.069
LightGCN,7,29.763105750083923,0.5530977249145508,0.0049,0.0051,0.0101,0.0049,0.007,0.0116,0.0146,0.0045,0.0046,0.044,0.088
LightGCN,8,29.289026618003845,0.54939866065979,0.0061,0.0058,0.0113,0.0061,0.0082,0.0154,0.0184,0.0054,0.0052,0.054,0.0985
LightGCN,9,28.758375227451324,0.5503466129302979,0.0075,0.0066,0.0126,0.0075,0.0097,0.0207,0.0239,0.0062,0.0059,0.062,0.11
LightGCN,10,28.190851390361786,0.5515480041503906,0.0088,0.0082,0.0146,0.0088,0.0112,0.0231,0.0267,0.0072,0.0066,0.071,0.1245
LightGCN,11,27.581368267536163,0.5528123378753662,0.0103,0.0093,0.0163,0.0103,0.0129,0.0279,0.0318,0.0082,0.0074,0.08,0.137
LightGCN,12,26.96154272556305,0.554267168045044,0.0107,0.0097,0.0173,0.0107,0.0136,0.0289,0.0333,0.0084,0.0079,0.0815,0.1475
LightGCN,13,26.321463346481323,0.5501852035522461,0.0117,0.0103,0.0177,0.0117,0.0144,0.0318,0.036,0.0091,0.0082,0.0895,0.152
LightGCN,14,25.708593130111694,0.5530941486358643,0.0126,0.0114,0.0193,0.0126,0.0155,0.0336,0.0382,0.01,0.0088,0.0945,0.1625
LightGCN,15,25.125045359134674,0.5573456287384033,0.0125,0.0116,0.0201,0.0125,0.0159,0.0328,0.0376,0.0103,0.0094,0.0985,0.171
LightGCN,16,24.579187989234924,0.552100419998169,0.0128,0.0116,0.0207,0.0128,0.0164,0.0336,0.0387,0.0104,0.0096,0.0995,0.1755
LightGCN,17,24.051063001155853,0.5528204441070557,0.0134,0.0125,0.0213,0.0134,0.0169,0.0345,0.0391,0.0113,0.01,0.109,0.1795
LightGCN,18,23.555898308753967,0.547614336013794,0.0135,0.0123,0.0216,0.0135,0.0171,0.0346,0.0396,0.0112,0.01,0.106,0.18
LightGCN,19,23.06056022644043,0.5515313148498535,0.0139,0.0125,0.0208,0.0139,0.0171,0.0362,0.0411,0.0112,0.0099,0.106,0.177
LightGCN,20,22.680452197790146,0.5566086769104004,0.014,0.0127,0.0217,0.014,0.0176,0.0363,0.0415,0.0113,0.0102,0.108,0.184
LightGCN,21,22.295290678739548,0.5501408576965332,0.014,0.0125,0.0217,0.014,0.0177,0.037,0.0422,0.0112,0.0102,0.1085,0.185
LightGCN,22,21.9325912296772,0.5512006282806396,0.0142,0.0128,0.0218,0.0142,0.0178,0.0373,0.0424,0.0116,0.0103,0.111,0.1865
LightGCN,23,21.583132326602936,0.553534984588623,0.0143,0.0125,0.0217,0.0143,0.018,0.0377,0.043,0.0112,0.0102,0.108,0.1855
LightGCN,24,21.32293590903282,0.55696702003479,0.0142,0.0126,0.0225,0.0142,0.0183,0.0375,0.0431,0.0114,0.0106,0.109,0.1905
LightGCN,25,21.052265912294388,0.5445184707641602,0.0148,0.0129,0.0226,0.0148,0.0186,0.0396,0.045,0.0117,0.0106,0.111,0.1905
LightGCN,26,20.79604396224022,0.5489010810852051,0.0151,0.0134,0.0225,0.0151,0.0187,0.0402,0.0453,0.0121,0.0107,0.1155,0.191
LightGCN,27,20.56845387816429,0.552314281463623,0.015,0.0132,0.0227,0.015,0.0187,0.0403,0.0454,0.012,0.0107,0.115,0.19
LightGCN,28,20.376071989536285,0.5511143207550049,0.0151,0.0131,0.0229,0.0151,0.019,0.0412,0.0466,0.0119,0.0108,0.1145,0.195
LightGCN,29,20.173907428979874,0.6731345653533936,0.0151,0.0128,0.0226,0.0151,0.0189,0.0417,0.0472,0.0118,0.0107,0.114,0.195
LightGCN,30,20.031999319791794,0.5575230121612549,0.0151,0.0129,0.0227,0.0151,0.0189,0.0416,0.0471,0.0118,0.0106,0.1135,0.195
LightGCN,31,19.82153034210205,0.5440704822540283,0.0153,0.0129,0.0232,0.0153,0.0192,0.0426,0.0481,0.0119,0.0107,0.115,0.1965
LightGCN,32,19.676431596279144,0.5513391494750977,0.0153,0.0128,0.0219,0.0153,0.0187,0.0425,0.0475,0.0119,0.0103,0.1155,0.1885
LightGCN,33,19.59013557434082,0.5523779392242432,0.0154,0.0127,0.0224,0.0154,0.019,0.0431,0.0481,0.012,0.0105,0.117,0.1935
LightGCN,34,19.431238114833832,0.5515451431274414,0.0152,0.0126,0.0218,0.0152,0.0188,0.0423,0.0475,0.0116,0.0102,0.112,0.1885
LightGCN,35,19.327655792236328,0.5520484447479248,0.015,0.0121,0.022,0.015,0.019,0.0425,0.0482,0.0111,0.0104,0.107,0.1895
LightGCN,36,19.200856417417526,0.5538849830627441,0.0153,0.0126,0.0213,0.0153,0.0187,0.0428,0.0479,0.0116,0.0102,0.1115,0.1865
LightGCN,37,19.114870578050613,0.551814079284668,0.0151,0.0125,0.0212,0.0151,0.0185,0.0419,0.047,0.0114,0.01,0.1085,0.1825
LightGCN,38,19.066941797733307,0.551192045211792,0.0152,0.0121,0.0213,0.0152,0.0187,0.0428,0.0479,0.0114,0.0101,0.1085,0.1835
LightGCN,39,18.922573268413544,0.5504498481750488,0.0151,0.0121,0.0217,0.0151,0.0188,0.0426,0.0476,0.0115,0.0102,0.11,0.1855
LightGCN,40,18.867834746837616,0.5571398735046387,0.0151,0.0119,0.022,0.0151,0.019,0.0428,0.0481,0.0113,0.0102,0.109,0.1875
LightGCN,41,18.791097402572632,0.5498969554901123,0.0148,0.0118,0.0221,0.0148,0.0188,0.0418,0.0471,0.0111,0.0102,0.1075,0.186
LightGCN,42,18.779854893684387,0.5500500202178955,0.015,0.012,0.0218,0.015,0.0186,0.0421,0.0472,0.0113,0.01,0.109,0.183
LightGCN,43,18.642541855573654,0.5534698963165283,0.015,0.0123,0.0217,0.015,0.0184,0.0416,0.0462,0.0115,0.0099,0.111,0.1815
LightGCN,44,18.61599972844124,0.5512783527374268,0.0145,0.0119,0.0218,0.0145,0.0183,0.0404,0.0455,0.0111,0.01,0.1075,0.182
