Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
SimGCL,1,495707.42724609375,0.8188028335571289,0.1126,0.1011,0.1426,0.1126,0.128,0.2617,0.2716,0.0744,0.0545,0.527,0.67
SimGCL,2,453196.6064453125,0.8220043182373047,0.1512,0.1364,0.1896,0.1512,0.1709,0.3312,0.3405,0.1014,0.073,0.6525,0.785
SimGCL,3,434748.06982421875,0.815488338470459,0.1739,0.157,0.2149,0.1739,0.1947,0.3742,0.3829,0.117,0.0824,0.708,0.8325
SimGCL,4,423244.1650390625,0.8167235851287842,0.1886,0.1708,0.2315,0.1886,0.2108,0.4006,0.4084,0.1267,0.0894,0.745,0.856
SimGCL,5,415823.4033203125,0.8201096057891846,0.1991,0.1802,0.2478,0.1991,0.2243,0.4174,0.425,0.1336,0.0956,0.769,0.8785
SimGCL,6,409402.0966796875,0.8167104721069336,0.2081,0.1891,0.2573,0.2081,0.2334,0.4301,0.438,0.1403,0.0993,0.7805,0.893
SimGCL,7,405324.890625,0.8154597282409668,0.2148,0.1958,0.2667,0.2148,0.2414,0.4382,0.446,0.1453,0.1031,0.7915,0.9005
SimGCL,8,400731.38623046875,0.8158273696899414,0.2215,0.2023,0.273,0.2215,0.2474,0.4483,0.4552,0.1507,0.1055,0.804,0.901
SimGCL,9,398158.79345703125,0.8150844573974609,0.226,0.2072,0.279,0.226,0.2526,0.4527,0.4598,0.1536,0.1079,0.808,0.9065
SimGCL,10,394841.8955078125,0.815913200378418,0.2298,0.211,0.284,0.2298,0.257,0.4569,0.4638,0.1565,0.1101,0.812,0.9075
SimGCL,11,392446.1923828125,0.8219714164733887,0.2346,0.2151,0.2891,0.2346,0.2621,0.466,0.4732,0.1595,0.1124,0.814,0.914
SimGCL,12,389566.97705078125,0.8149123191833496,0.2381,0.2185,0.2919,0.2381,0.2651,0.4702,0.4768,0.1621,0.1134,0.823,0.9175
SimGCL,13,387734.77294921875,0.8189346790313721,0.2405,0.2205,0.2951,0.2405,0.268,0.4724,0.4791,0.1642,0.1147,0.826,0.922
SimGCL,14,386479.67724609375,0.8149988651275635,0.2425,0.223,0.2972,0.2425,0.2698,0.4734,0.4798,0.166,0.1158,0.8325,0.9235
SimGCL,15,384396.50927734375,0.8149697780609131,0.2456,0.2256,0.3,0.2456,0.2728,0.4786,0.485,0.168,0.1167,0.833,0.9225
SimGCL,16,383717.43310546875,0.8164293766021729,0.2479,0.2277,0.3011,0.2479,0.2745,0.4814,0.4876,0.1699,0.1172,0.837,0.924
SimGCL,17,381625.099609375,0.8179490566253662,0.2494,0.229,0.3045,0.2494,0.2772,0.4832,0.4895,0.1707,0.1188,0.839,0.9265
SimGCL,18,380689.4384765625,0.8148348331451416,0.2513,0.2312,0.3067,0.2513,0.2791,0.485,0.4909,0.1723,0.1197,0.8445,0.927
SimGCL,19,378572.92724609375,0.8158688545227051,0.2531,0.2327,0.3081,0.2531,0.2807,0.4874,0.4933,0.1736,0.1203,0.846,0.9275
SimGCL,20,378746.251953125,0.8149709701538086,0.2549,0.2345,0.3095,0.2549,0.2822,0.4899,0.4955,0.175,0.1208,0.85,0.927
SimGCL,21,377673.5419921875,0.814978837966919,0.2564,0.2359,0.3107,0.2564,0.2834,0.4921,0.4974,0.1764,0.1215,0.8535,0.9275
SimGCL,22,376771.32666015625,0.8166377544403076,0.2582,0.2369,0.3131,0.2582,0.2858,0.4956,0.501,0.1773,0.1224,0.855,0.929
SimGCL,23,375860.82470703125,0.8247277736663818,0.2592,0.2377,0.3136,0.2592,0.2865,0.4964,0.5018,0.178,0.1226,0.855,0.929
SimGCL,24,375263.83935546875,0.826153039932251,0.2602,0.2385,0.3149,0.2602,0.2877,0.498,0.5032,0.1787,0.1232,0.858,0.9305
SimGCL,25,373777.93701171875,0.8199591636657715,0.2616,0.24,0.3162,0.2616,0.2888,0.4994,0.5046,0.18,0.1237,0.859,0.9305
SimGCL,26,373339.45654296875,0.8304057121276855,0.2623,0.2409,0.3176,0.2623,0.2898,0.5008,0.5056,0.1807,0.1242,0.864,0.931
SimGCL,27,373329.78955078125,0.8189163208007812,0.2634,0.2421,0.3188,0.2634,0.2905,0.5014,0.5061,0.1819,0.1246,0.8645,0.9315
SimGCL,28,372273.7958984375,0.8204770088195801,0.2639,0.2422,0.3198,0.2639,0.2916,0.5033,0.5081,0.1817,0.125,0.864,0.9315
SimGCL,29,372258.35400390625,0.8199074268341064,0.2643,0.2428,0.3206,0.2643,0.2923,0.5037,0.5087,0.182,0.1254,0.862,0.9315
SimGCL,30,370469.6875,0.8210170269012451,0.2651,0.2435,0.3215,0.2651,0.2931,0.504,0.5088,0.1826,0.1257,0.8645,0.9315
SimGCL,31,370372.705078125,0.8196663856506348,0.2657,0.2437,0.3232,0.2657,0.2944,0.5062,0.5109,0.1827,0.1264,0.8645,0.9315
SimGCL,32,369891.14990234375,0.822150707244873,0.2663,0.244,0.3234,0.2663,0.2951,0.5081,0.5129,0.1827,0.1265,0.864,0.9315
SimGCL,33,369550.04150390625,0.8248341083526611,0.2671,0.2446,0.3247,0.2671,0.2961,0.5092,0.5139,0.1834,0.1269,0.8655,0.9315
SimGCL,34,368497.51611328125,0.8197581768035889,0.2676,0.2452,0.3253,0.2676,0.2966,0.51,0.5149,0.1837,0.1271,0.8645,0.9325
SimGCL,35,367947.18115234375,0.8201727867126465,0.2679,0.2454,0.326,0.2679,0.2973,0.5101,0.5151,0.1841,0.1275,0.8645,0.9345
SimGCL,36,367430.3193359375,0.8236985206604004,0.2686,0.2463,0.3272,0.2686,0.2981,0.5106,0.5157,0.1848,0.128,0.865,0.9365
SimGCL,37,367509.30419921875,0.8329215049743652,0.2693,0.2469,0.3281,0.2693,0.299,0.5121,0.5173,0.1851,0.1285,0.864,0.9375
SimGCL,38,366922.85888671875,0.8207705020904541,0.2698,0.2471,0.3282,0.2698,0.2995,0.5129,0.5181,0.1853,0.1284,0.864,0.9365
SimGCL,39,367140.95263671875,0.8152098655700684,0.2702,0.2475,0.3292,0.2702,0.3002,0.5137,0.5191,0.1855,0.129,0.863,0.9375
SimGCL,40,365550.98388671875,0.8109428882598877,0.2711,0.2481,0.3301,0.2711,0.3011,0.5152,0.5204,0.1863,0.1293,0.8655,0.939
SimGCL,41,365640.46728515625,0.8093523979187012,0.2715,0.2486,0.3314,0.2715,0.3018,0.5156,0.5209,0.1864,0.1297,0.865,0.939
SimGCL,42,365967.47900390625,0.8082339763641357,0.2719,0.2489,0.3321,0.2719,0.3026,0.516,0.5213,0.1865,0.1301,0.8645,0.939
SimGCL,43,365347.13623046875,0.8137226104736328,0.2721,0.2494,0.333,0.2721,0.303,0.5155,0.5209,0.1868,0.1304,0.8635,0.9395
SimGCL,44,364969.216796875,0.8094992637634277,0.2729,0.2497,0.334,0.2729,0.3041,0.518,0.5233,0.1872,0.1309,0.8665,0.9405
SimGCL,45,364958.435546875,0.8126876354217529,0.2728,0.2495,0.3343,0.2728,0.3043,0.5179,0.5234,0.187,0.1309,0.864,0.941
SimGCL,46,363488.33642578125,0.9103183746337891,0.2735,0.2505,0.3348,0.2735,0.3046,0.5177,0.523,0.1879,0.1313,0.866,0.9405
SimGCL,47,363297.43896484375,0.8100473880767822,0.2736,0.2502,0.3355,0.2736,0.3053,0.5187,0.5244,0.1875,0.1316,0.8645,0.9435
SimGCL,48,363671.580078125,0.809342622756958,0.2743,0.2514,0.336,0.2743,0.3056,0.5188,0.5243,0.1884,0.1318,0.866,0.943
SimGCL,49,363490.7548828125,0.8091835975646973,0.2744,0.2515,0.3364,0.2744,0.3059,0.5188,0.5243,0.1884,0.1321,0.867,0.944
SimGCL,50,363291.71240234375,0.8089616298675537,0.275,0.2527,0.3365,0.275,0.306,0.5193,0.5245,0.1892,0.1321,0.8695,0.944
SimGCL,51,362984.43701171875,0.8097493648529053,0.2756,0.2534,0.3372,0.2756,0.3064,0.5191,0.5244,0.1899,0.1324,0.869,0.944
SimGCL,52,361700.96826171875,0.8143203258514404,0.276,0.2537,0.3381,0.276,0.3071,0.5199,0.5251,0.1903,0.1328,0.8705,0.944
SimGCL,53,362555.23193359375,0.8085947036743164,0.2763,0.2536,0.3382,0.2763,0.3074,0.52,0.5252,0.1905,0.1328,0.8705,0.945
SimGCL,54,362070.701171875,0.8094358444213867,0.2772,0.2548,0.3386,0.2772,0.3079,0.5206,0.526,0.1912,0.133,0.87,0.9445
SimGCL,55,362061.373046875,0.8096802234649658,0.2773,0.2553,0.3388,0.2773,0.3078,0.5196,0.5248,0.1918,0.1331,0.8725,0.9465
SimGCL,56,361428.00830078125,0.8098058700561523,0.2777,0.2556,0.3388,0.2777,0.308,0.5205,0.5258,0.1919,0.133,0.8705,0.9455
SimGCL,57,361468.80029296875,0.8133454322814941,0.278,0.2558,0.339,0.278,0.3084,0.5209,0.5262,0.1919,0.133,0.87,0.944
SimGCL,58,361066.19921875,0.8098139762878418,0.2783,0.2562,0.3401,0.2783,0.3089,0.5213,0.5266,0.1922,0.1335,0.873,0.9465
SimGCL,59,361054.20458984375,0.8089132308959961,0.278,0.2565,0.3405,0.278,0.309,0.5198,0.5252,0.1922,0.1338,0.8715,0.947
SimGCL,60,361060.5732421875,0.8078336715698242,0.2788,0.2571,0.3404,0.2788,0.3093,0.5217,0.5268,0.1928,0.1337,0.8745,0.947
SimGCL,61,360629.78173828125,0.8079519271850586,0.2793,0.2576,0.3407,0.2793,0.3097,0.5223,0.5275,0.1932,0.1339,0.875,0.949
SimGCL,62,360412.31982421875,0.8078863620758057,0.2793,0.2573,0.3405,0.2793,0.3099,0.5227,0.528,0.1928,0.1338,0.8735,0.9485
SimGCL,63,359965.29052734375,0.8088550567626953,0.28,0.258,0.3417,0.28,0.3107,0.5238,0.529,0.1933,0.1343,0.875,0.949
SimGCL,64,360407.89208984375,0.8093845844268799,0.2798,0.2578,0.3415,0.2798,0.3107,0.5231,0.5283,0.1931,0.1343,0.875,0.9495
SimGCL,65,359800.7529296875,0.8096909523010254,0.2802,0.2582,0.3421,0.2802,0.3111,0.5241,0.5293,0.1934,0.1345,0.875,0.9495
SimGCL,66,359937.32373046875,0.8103725910186768,0.2806,0.2587,0.3428,0.2806,0.3116,0.5241,0.5294,0.1939,0.1349,0.875,0.9505
SimGCL,67,359812.44775390625,0.81565260887146,0.281,0.2591,0.3429,0.281,0.3118,0.5244,0.5296,0.1943,0.135,0.8765,0.95
SimGCL,68,359311.9814453125,0.8096432685852051,0.2809,0.2591,0.3431,0.2809,0.3119,0.5244,0.5298,0.1942,0.135,0.874,0.95
SimGCL,69,359859.087890625,0.8068892955780029,0.281,0.259,0.3435,0.281,0.3123,0.5252,0.5306,0.1941,0.1353,0.8735,0.9495
SimGCL,70,359643.50634765625,0.8066451549530029,0.2819,0.2603,0.3435,0.2819,0.3124,0.5257,0.531,0.1951,0.1352,0.876,0.9505
SimGCL,71,359154.958984375,0.8335518836975098,0.282,0.2604,0.3439,0.282,0.3128,0.5257,0.5309,0.1951,0.1354,0.8755,0.9495
SimGCL,72,358663.71923828125,0.8184523582458496,0.2827,0.261,0.3441,0.2827,0.3132,0.5278,0.533,0.1955,0.1354,0.876,0.95
SimGCL,73,358815.9169921875,0.809077262878418,0.2828,0.2615,0.3451,0.2828,0.3136,0.5267,0.5319,0.1958,0.1358,0.8765,0.9505
SimGCL,74,357831.02587890625,0.8095929622650146,0.2832,0.2618,0.3456,0.2832,0.314,0.5269,0.5321,0.1961,0.1359,0.876,0.9505
SimGCL,75,358084.4384765625,0.8116152286529541,0.2836,0.2624,0.3463,0.2836,0.3143,0.527,0.5322,0.1968,0.1363,0.8765,0.9505
SimGCL,76,358541.580078125,0.8110067844390869,0.2838,0.2628,0.3464,0.2838,0.3144,0.5267,0.532,0.1968,0.1362,0.8765,0.951
SimGCL,77,358203.20751953125,0.8099541664123535,0.2837,0.2627,0.3466,0.2837,0.3145,0.5264,0.5316,0.1967,0.1363,0.8765,0.95
SimGCL,78,358308.8984375,0.9098894596099854,0.2839,0.2628,0.3464,0.2839,0.3145,0.5266,0.5317,0.1968,0.1362,0.878,0.951
SimGCL,79,358275.33447265625,0.8148741722106934,0.2843,0.263,0.347,0.2843,0.3151,0.528,0.5332,0.1968,0.1365,0.876,0.9515
SimGCL,80,357498.0517578125,0.8066821098327637,0.2844,0.2631,0.347,0.2844,0.3153,0.5277,0.5328,0.1968,0.1364,0.8775,0.9495
SimGCL,81,357639.71240234375,0.8055205345153809,0.2847,0.2635,0.3471,0.2847,0.3153,0.528,0.5332,0.1973,0.1364,0.8765,0.9505
SimGCL,82,357557.23193359375,0.8050754070281982,0.2845,0.2633,0.3477,0.2845,0.3156,0.5274,0.5326,0.1971,0.1367,0.877,0.95
SimGCL,83,356855.12744140625,0.8067715167999268,0.2846,0.2632,0.3475,0.2846,0.3157,0.5285,0.5336,0.1968,0.1366,0.8775,0.9495
SimGCL,84,356829.14892578125,0.8071091175079346,0.2847,0.2632,0.3476,0.2847,0.3158,0.5283,0.5335,0.1971,0.1367,0.8765,0.95
SimGCL,85,357005.07373046875,0.8150930404663086,0.2851,0.2636,0.3484,0.2851,0.3162,0.5282,0.5333,0.1975,0.137,0.8775,0.9505
SimGCL,86,357003.947265625,0.809675931930542,0.2851,0.2634,0.3481,0.2851,0.3163,0.5292,0.5343,0.1973,0.1369,0.878,0.951
SimGCL,87,357316.67236328125,0.8105604648590088,0.2857,0.2637,0.3486,0.2857,0.3169,0.5305,0.5357,0.1976,0.1372,0.8785,0.9525
SimGCL,88,356674.61962890625,0.8096392154693604,0.2856,0.2639,0.3483,0.2856,0.3166,0.5295,0.5345,0.1978,0.1369,0.8795,0.9515
SimGCL,89,357362.5361328125,0.8072788715362549,0.2859,0.2641,0.3492,0.2859,0.3172,0.5302,0.5352,0.198,0.1374,0.88,0.953
SimGCL,90,357173.79052734375,0.8064930438995361,0.2858,0.2641,0.3498,0.2858,0.3175,0.5298,0.5349,0.1977,0.1375,0.8785,0.952
SimGCL,91,356290.201171875,0.8066534996032715,0.286,0.2642,0.3497,0.286,0.3175,0.53,0.535,0.198,0.1376,0.8805,0.9525
SimGCL,92,356085.90673828125,0.8162338733673096,0.2862,0.2643,0.3495,0.2862,0.3176,0.5308,0.5358,0.1979,0.1374,0.8795,0.952
SimGCL,93,356082.6748046875,0.8096656799316406,0.2865,0.2647,0.3496,0.2865,0.3178,0.5309,0.536,0.1983,0.1375,0.8785,0.951
SimGCL,94,356137.12744140625,0.8098413944244385,0.2869,0.265,0.3503,0.2869,0.3184,0.5319,0.537,0.1984,0.1377,0.8795,0.952
SimGCL,95,356380.47900390625,0.8104367256164551,0.2868,0.2652,0.3503,0.2868,0.3182,0.5302,0.5352,0.1987,0.1378,0.8795,0.9525
SimGCL,96,356007.39990234375,0.8092758655548096,0.2871,0.2652,0.3503,0.2871,0.3185,0.5313,0.5363,0.1987,0.1378,0.88,0.9525
SimGCL,97,355705.0439453125,0.8102033138275146,0.2872,0.2654,0.3508,0.2872,0.3186,0.5311,0.5361,0.1988,0.1379,0.88,0.952
SimGCL,98,355907.21044921875,0.8108396530151367,0.2875,0.2659,0.3506,0.2875,0.3186,0.5308,0.5359,0.1991,0.1378,0.88,0.953
SimGCL,99,355502.103515625,0.8128402233123779,0.2876,0.266,0.351,0.2876,0.3189,0.5311,0.5361,0.1993,0.1379,0.8805,0.952
SimGCL,100,356262.3359375,0.8186743259429932,0.2875,0.2657,0.3515,0.2875,0.3192,0.5314,0.5364,0.1989,0.1382,0.881,0.9535
SimGCL,101,355561.734375,0.8177130222320557,0.2876,0.2662,0.3516,0.2876,0.3191,0.5303,0.5352,0.1993,0.1381,0.881,0.952
SimGCL,102,355453.1962890625,0.8178415298461914,0.2882,0.2665,0.3514,0.2882,0.3194,0.5318,0.5368,0.1996,0.1382,0.8805,0.952
SimGCL,103,355154.00830078125,0.8169500827789307,0.2888,0.2671,0.3516,0.2888,0.3198,0.533,0.5379,0.2,0.1382,0.882,0.952
SimGCL,104,355466.35400390625,0.8197872638702393,0.2884,0.2669,0.3521,0.2884,0.3198,0.532,0.537,0.1997,0.1384,0.8815,0.952
SimGCL,105,355441.9892578125,0.8175957202911377,0.289,0.2674,0.3516,0.289,0.3198,0.5328,0.5377,0.2003,0.1382,0.8815,0.9515
SimGCL,106,355444.888671875,0.8106386661529541,0.2891,0.2678,0.3526,0.2891,0.3202,0.5322,0.5372,0.2004,0.1385,0.881,0.9515
SimGCL,107,355436.46533203125,0.8101413249969482,0.2894,0.2682,0.352,0.2894,0.3201,0.5327,0.5375,0.2007,0.1383,0.882,0.9505
SimGCL,108,354837.73388671875,0.9216177463531494,0.2891,0.2675,0.3529,0.2891,0.3206,0.5329,0.5378,0.2002,0.1387,0.881,0.9515
