Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
MHCN,1,8.185692518949509,0.582205057144165,0.1888,0.2233,0.2908,0.1888,0.215,0.2938,0.3035,0.0749,0.0521,0.577,0.718
MHCN,2,6.403590738773346,0.582956075668335,0.2098,0.2455,0.3123,0.2098,0.2358,0.3347,0.3429,0.0854,0.0573,0.638,0.757
MHCN,3,5.952618032693863,0.6780357360839844,0.2116,0.2462,0.3212,0.2116,0.2408,0.3374,0.3466,0.0863,0.0595,0.6405,0.7695
MHCN,4,5.674846202135086,0.5817949771881104,0.2176,0.2517,0.3209,0.2176,0.2441,0.3485,0.3562,0.0897,0.0594,0.659,0.7685
MHCN,5,5.482417821884155,0.5839049816131592,0.2201,0.2533,0.3261,0.2201,0.2481,0.3521,0.36,0.0916,0.0615,0.664,0.776
MHCN,6,5.300363272428513,0.5853095054626465,0.2243,0.2562,0.3288,0.2243,0.2524,0.3619,0.3703,0.0926,0.0622,0.6745,0.795
MHCN,7,5.174950376152992,0.5824291706085205,0.225,0.2559,0.3318,0.225,0.2542,0.3639,0.3725,0.0938,0.063,0.6745,0.796
MHCN,8,5.024535909295082,0.5918776988983154,0.226,0.2569,0.3315,0.226,0.2545,0.3666,0.3745,0.0946,0.0632,0.6835,0.797
MHCN,9,4.9306588768959045,0.583918571472168,0.2302,0.2596,0.3307,0.2302,0.2575,0.3768,0.3847,0.0962,0.0635,0.6855,0.799
MHCN,10,4.829023852944374,0.5866713523864746,0.2245,0.2561,0.3311,0.2245,0.2533,0.366,0.3738,0.0943,0.0632,0.6765,0.7875
MHCN,11,4.758154287934303,0.5929768085479736,0.2292,0.2605,0.3304,0.2292,0.2562,0.3755,0.3828,0.0971,0.0638,0.695,0.8005
MHCN,12,4.616085022687912,0.5759789943695068,0.2275,0.2583,0.3325,0.2275,0.2562,0.3725,0.3807,0.0966,0.0644,0.6855,0.7985
MHCN,13,4.567704439163208,0.5824103355407715,0.2281,0.2582,0.3318,0.2281,0.2564,0.3759,0.3841,0.0965,0.0643,0.686,0.803
MHCN,14,4.522557258605957,0.5770947933197021,0.2288,0.2584,0.3343,0.2288,0.258,0.3769,0.385,0.0967,0.065,0.691,0.8075
MHCN,15,4.427714437246323,0.5762574672698975,0.2316,0.2617,0.3328,0.2316,0.2589,0.3795,0.3873,0.0983,0.0646,0.6875,0.798
MHCN,16,4.425375074148178,0.5846648216247559,0.2247,0.2553,0.3319,0.2247,0.2542,0.367,0.3756,0.096,0.0648,0.686,0.8075
MHCN,17,4.34693406522274,0.5795586109161377,0.229,0.2589,0.3338,0.229,0.2577,0.3763,0.3843,0.0974,0.065,0.6885,0.8015
MHCN,18,4.2064536809921265,0.5776255130767822,0.233,0.2622,0.3371,0.233,0.2618,0.3864,0.3941,0.0994,0.0663,0.6965,0.809
MHCN,19,4.125174403190613,0.5781221389770508,0.2293,0.2603,0.3321,0.2293,0.2573,0.3789,0.387,0.0984,0.0657,0.692,0.807
MHCN,20,4.050543650984764,0.5818710327148438,0.2291,0.2582,0.3349,0.2291,0.2591,0.3798,0.388,0.0975,0.0661,0.689,0.8055
MHCN,21,4.02852700650692,0.5879087448120117,0.23,0.2591,0.3352,0.23,0.2595,0.3812,0.3889,0.0987,0.0665,0.6975,0.8085
MHCN,22,4.011351317167282,0.5830502510070801,0.2255,0.2569,0.3317,0.2255,0.2545,0.3704,0.3788,0.0978,0.0656,0.6885,0.8075
MHCN,23,3.9788955599069595,0.5833127498626709,0.2296,0.2579,0.337,0.2296,0.2599,0.3818,0.3897,0.0992,0.0669,0.6945,0.8055
MHCN,24,3.8893671482801437,0.5819239616394043,0.228,0.2574,0.333,0.228,0.2571,0.3787,0.387,0.0984,0.0659,0.6885,0.8075
MHCN,25,3.899825409054756,0.5861494541168213,0.2273,0.255,0.3293,0.2273,0.256,0.3772,0.3852,0.0974,0.0652,0.69,0.8035
MHCN,26,4.076601564884186,0.5869402885437012,0.2238,0.2527,0.3294,0.2238,0.2534,0.371,0.3795,0.0962,0.0653,0.6815,0.8045
MHCN,27,3.943877086043358,0.5821683406829834,0.2248,0.2535,0.3297,0.2248,0.2541,0.3713,0.3798,0.0973,0.0655,0.683,0.8045
MHCN,28,3.9376061409711838,0.5834944248199463,0.223,0.2511,0.3267,0.223,0.2524,0.3694,0.3777,0.0961,0.0648,0.6785,0.796
MHCN,29,3.858876794576645,0.5818383693695068,0.225,0.2541,0.3304,0.225,0.2544,0.3721,0.3802,0.0979,0.0659,0.69,0.808
