Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
SimGCL,1,208889.931640625,0.32228994369506836,0.1335,0.1635,0.2166,0.1335,0.154,0.2158,0.2251,0.0535,0.0379,0.451,0.5815
SimGCL,2,190063.7607421875,0.3228950500488281,0.1872,0.2205,0.289,0.1872,0.2132,0.2971,0.3062,0.0742,0.0513,0.575,0.705
SimGCL,3,181676.29443359375,0.33005619049072266,0.2147,0.2509,0.3274,0.2147,0.2446,0.3361,0.3454,0.0854,0.0593,0.6345,0.7645
SimGCL,4,176579.59130859375,0.3225550651550293,0.2351,0.2717,0.3529,0.2351,0.2667,0.3647,0.3737,0.0937,0.0644,0.6735,0.8015
SimGCL,5,172719.08349609375,0.31655168533325195,0.251,0.2912,0.3714,0.251,0.2823,0.3852,0.3932,0.1012,0.0681,0.709,0.822
SimGCL,6,170152.19140625,0.32192206382751465,0.2632,0.3041,0.3891,0.2632,0.2964,0.4014,0.4092,0.1061,0.0716,0.7285,0.839
SimGCL,7,168009.10986328125,0.3199284076690674,0.2746,0.3168,0.4009,0.2746,0.3076,0.4151,0.4225,0.1113,0.0741,0.7465,0.852
SimGCL,8,165912.4970703125,0.3231534957885742,0.284,0.3261,0.4124,0.284,0.3178,0.4285,0.4358,0.1149,0.0764,0.76,0.864
SimGCL,9,164737.93310546875,0.32053065299987793,0.2915,0.3339,0.4207,0.2915,0.3257,0.4372,0.4446,0.1182,0.0783,0.7665,0.8705
SimGCL,10,163464.8017578125,0.32217931747436523,0.3003,0.3443,0.4292,0.3003,0.3337,0.4494,0.4562,0.122,0.08,0.782,0.878
SimGCL,11,162531.1640625,0.31986236572265625,0.3078,0.3516,0.4363,0.3078,0.341,0.4604,0.467,0.1253,0.0815,0.791,0.886
SimGCL,12,160900.35009765625,0.32155299186706543,0.3149,0.3602,0.4439,0.3149,0.348,0.4696,0.4759,0.1281,0.0831,0.8025,0.892
SimGCL,13,160646.62158203125,0.3199465274810791,0.3197,0.3649,0.4517,0.3197,0.354,0.4754,0.4817,0.1302,0.0847,0.808,0.897
SimGCL,14,159464.185546875,0.32142019271850586,0.3237,0.3685,0.457,0.3237,0.3587,0.4823,0.4886,0.1314,0.0858,0.813,0.902
SimGCL,15,159266.8798828125,0.3269011974334717,0.3281,0.373,0.4613,0.3281,0.363,0.4872,0.4931,0.1334,0.0868,0.8195,0.9045
SimGCL,16,158329.76025390625,0.32152628898620605,0.3326,0.3767,0.4651,0.3326,0.3674,0.4939,0.5,0.1352,0.0876,0.8225,0.907
SimGCL,17,157866.6982421875,0.31919384002685547,0.3364,0.3817,0.4699,0.3364,0.3711,0.4974,0.503,0.1372,0.0886,0.83,0.911
SimGCL,18,157184.66845703125,0.32198143005371094,0.3396,0.3844,0.4724,0.3396,0.3745,0.5015,0.5072,0.1384,0.0893,0.831,0.9105
SimGCL,19,156851.34814453125,0.3246340751647949,0.343,0.3893,0.476,0.343,0.3774,0.5042,0.51,0.1402,0.09,0.8345,0.917
SimGCL,20,156372.99462890625,0.3214879035949707,0.3458,0.3922,0.4792,0.3458,0.3803,0.5073,0.5128,0.1416,0.0906,0.8395,0.9185
SimGCL,21,155986.00390625,0.3199331760406494,0.3499,0.3957,0.4823,0.3499,0.3842,0.5137,0.5192,0.1428,0.0912,0.8425,0.92
SimGCL,22,156081.30322265625,0.3201487064361572,0.3527,0.3993,0.4858,0.3527,0.3872,0.5164,0.522,0.1441,0.0921,0.845,0.9235
SimGCL,23,155223.34130859375,0.31968092918395996,0.3548,0.4009,0.4881,0.3548,0.3896,0.52,0.5255,0.1449,0.0925,0.848,0.9255
SimGCL,24,154902.439453125,0.3280482292175293,0.3573,0.4037,0.4908,0.3573,0.3922,0.5228,0.5284,0.1459,0.0932,0.8485,0.9275
SimGCL,25,154965.3583984375,0.31659460067749023,0.3591,0.4058,0.4928,0.3591,0.394,0.5248,0.5301,0.1466,0.0936,0.854,0.93
SimGCL,26,154556.4013671875,0.315645694732666,0.3614,0.4082,0.4945,0.3614,0.3961,0.5272,0.5325,0.1476,0.0939,0.8565,0.931
SimGCL,27,153896.73388671875,0.31811022758483887,0.3625,0.4098,0.4957,0.3625,0.3971,0.5273,0.5323,0.1483,0.0942,0.86,0.9315
SimGCL,28,153643.41259765625,0.32172393798828125,0.3646,0.4123,0.4978,0.3646,0.3989,0.5289,0.5337,0.1494,0.0946,0.8635,0.9325
SimGCL,29,153351.73193359375,0.31885409355163574,0.3658,0.4128,0.502,0.3658,0.4015,0.5303,0.5354,0.1495,0.0955,0.8625,0.9345
SimGCL,30,153515.40869140625,0.3198215961456299,0.3671,0.4148,0.5039,0.3671,0.4027,0.5314,0.5365,0.1504,0.0958,0.863,0.9355
SimGCL,31,153426.88134765625,0.412121057510376,0.3691,0.4179,0.5048,0.3691,0.4038,0.5337,0.5384,0.1518,0.0961,0.8675,0.936
SimGCL,32,153051.84765625,0.3195688724517822,0.3701,0.4184,0.5065,0.3701,0.4054,0.5348,0.5397,0.152,0.0965,0.8665,0.9355
SimGCL,33,152865.85986328125,0.32009315490722656,0.3711,0.4193,0.5092,0.3711,0.407,0.5358,0.5408,0.1525,0.097,0.8685,0.9385
SimGCL,34,152585.21044921875,0.3196094036102295,0.3721,0.42,0.5103,0.3721,0.4082,0.5368,0.5417,0.1528,0.0973,0.8685,0.938
SimGCL,35,152194.5791015625,0.3195924758911133,0.3732,0.4217,0.5126,0.3732,0.4095,0.5371,0.5422,0.1533,0.0978,0.869,0.94
SimGCL,36,152409.39990234375,0.31947851181030273,0.3741,0.4222,0.5145,0.3741,0.4111,0.5389,0.544,0.1535,0.0982,0.869,0.9405
SimGCL,37,152221.52734375,0.32120370864868164,0.3751,0.4238,0.5158,0.3751,0.412,0.5392,0.5443,0.154,0.0985,0.869,0.941
SimGCL,38,151828.99853515625,0.32145237922668457,0.3759,0.4249,0.5168,0.3759,0.4128,0.5396,0.5446,0.1543,0.0987,0.871,0.941
SimGCL,39,151674.61083984375,0.3200418949127197,0.377,0.4266,0.5181,0.377,0.4137,0.5403,0.5453,0.1549,0.099,0.8725,0.9415
SimGCL,40,152012.6494140625,0.3193240165710449,0.3778,0.4283,0.5194,0.3778,0.4145,0.5405,0.5453,0.1553,0.0993,0.8735,0.941
SimGCL,41,151535.1201171875,0.3205721378326416,0.3782,0.4282,0.5201,0.3782,0.4153,0.5414,0.5463,0.1554,0.0994,0.8735,0.942
SimGCL,42,151323.09228515625,0.3202815055847168,0.3798,0.4295,0.5215,0.3798,0.4168,0.5439,0.5488,0.1559,0.0997,0.8745,0.941
SimGCL,43,150625.15771484375,0.3262326717376709,0.381,0.4315,0.522,0.381,0.4174,0.5444,0.549,0.1569,0.0998,0.877,0.9415
SimGCL,44,151418.4111328125,0.32439589500427246,0.3816,0.432,0.5236,0.3816,0.4185,0.5455,0.5504,0.1569,0.1001,0.8765,0.9425
SimGCL,45,151480.2841796875,0.31960368156433105,0.382,0.4332,0.5236,0.382,0.4184,0.5444,0.5493,0.1575,0.1001,0.8755,0.9425
SimGCL,46,151032.169921875,0.3193497657775879,0.3835,0.4362,0.5243,0.3835,0.4189,0.5457,0.5502,0.1586,0.1003,0.8795,0.9415
SimGCL,47,150884.15576171875,0.320981502532959,0.3841,0.4372,0.5253,0.3841,0.4196,0.5458,0.5503,0.1589,0.1005,0.8805,0.9425
SimGCL,48,150815.23583984375,0.3206491470336914,0.3847,0.4373,0.5264,0.3847,0.4206,0.5474,0.5519,0.159,0.1008,0.881,0.9445
SimGCL,49,150794.79443359375,0.3206636905670166,0.3851,0.4392,0.527,0.3851,0.4206,0.5466,0.5511,0.1596,0.1009,0.8825,0.9455
SimGCL,50,150291.42822265625,0.32166242599487305,0.3856,0.4399,0.5275,0.3856,0.421,0.547,0.5513,0.1601,0.101,0.884,0.944
SimGCL,51,150540.6943359375,0.3219153881072998,0.3864,0.4408,0.5288,0.3864,0.4219,0.5477,0.5523,0.1604,0.1014,0.881,0.945
SimGCL,52,149931.6005859375,0.31940317153930664,0.3874,0.4419,0.5301,0.3874,0.4229,0.5489,0.5532,0.1608,0.1015,0.884,0.9435
SimGCL,53,150234.4140625,0.3213019371032715,0.3875,0.4428,0.5306,0.3875,0.4229,0.5486,0.5532,0.1609,0.1015,0.882,0.945
SimGCL,54,150082.34228515625,0.3190290927886963,0.3878,0.4431,0.5313,0.3878,0.4233,0.5483,0.5529,0.1612,0.1018,0.8815,0.945
SimGCL,55,149784.52587890625,0.3274264335632324,0.3888,0.4449,0.5316,0.3888,0.4238,0.5488,0.5535,0.1618,0.1018,0.882,0.9465
SimGCL,56,149890.244140625,0.32669806480407715,0.3893,0.4448,0.5335,0.3893,0.425,0.55,0.5547,0.1617,0.1022,0.8815,0.9465
SimGCL,57,149981.8232421875,0.32030534744262695,0.3898,0.4452,0.5345,0.3898,0.4257,0.551,0.5556,0.1619,0.1024,0.8825,0.947
SimGCL,58,150047.68603515625,0.32399702072143555,0.3903,0.4461,0.5349,0.3903,0.4259,0.5507,0.5551,0.1624,0.1024,0.885,0.9465
SimGCL,59,149506.107421875,0.41184353828430176,0.3903,0.4459,0.5345,0.3903,0.4259,0.5512,0.5557,0.1624,0.1023,0.885,0.947
SimGCL,60,149863.9140625,0.3202512264251709,0.3913,0.4464,0.5347,0.3913,0.4268,0.5523,0.5569,0.1626,0.1025,0.8835,0.9475
SimGCL,61,149875.6640625,0.3194904327392578,0.3918,0.4475,0.5358,0.3918,0.4273,0.5527,0.5571,0.163,0.1027,0.886,0.947
SimGCL,62,149184.55322265625,0.3194868564605713,0.3927,0.4478,0.5358,0.3927,0.4282,0.5549,0.5593,0.1631,0.1027,0.886,0.947
SimGCL,63,149529.72705078125,0.319854736328125,0.3935,0.4491,0.5369,0.3935,0.4289,0.5556,0.5601,0.1637,0.103,0.886,0.9485
SimGCL,64,149553.3896484375,0.323880672454834,0.3938,0.4493,0.5373,0.3938,0.4293,0.5552,0.5598,0.1637,0.103,0.885,0.9475
SimGCL,65,149395.2724609375,0.3196117877960205,0.3942,0.4503,0.5384,0.3942,0.4297,0.5552,0.5595,0.1642,0.1033,0.888,0.9475
SimGCL,66,149216.5849609375,0.31966423988342285,0.3946,0.4508,0.5385,0.3946,0.4299,0.5556,0.5602,0.1645,0.1033,0.885,0.948
SimGCL,67,148823.38037109375,0.3194105625152588,0.3947,0.4507,0.5391,0.3947,0.4302,0.5554,0.5597,0.1647,0.1035,0.889,0.9485
SimGCL,68,149008.08984375,0.31993699073791504,0.3953,0.4519,0.5383,0.3953,0.43,0.5555,0.5596,0.1653,0.1032,0.891,0.9485
SimGCL,69,148997.3603515625,0.32805967330932617,0.3953,0.4507,0.5397,0.3953,0.4311,0.5569,0.5611,0.1647,0.1036,0.8895,0.949
SimGCL,70,148709.5380859375,0.3163325786590576,0.3961,0.4517,0.5401,0.3961,0.4316,0.5574,0.5617,0.1651,0.1037,0.89,0.9505
SimGCL,71,148746.37255859375,0.316206693649292,0.3962,0.4513,0.5413,0.3962,0.4323,0.5583,0.5626,0.1649,0.1039,0.889,0.9495
SimGCL,72,148978.529296875,0.33179211616516113,0.3966,0.4514,0.5411,0.3966,0.4326,0.5591,0.5633,0.165,0.1038,0.8905,0.95
SimGCL,73,149426.1181640625,0.3161022663116455,0.3974,0.4526,0.5422,0.3974,0.4335,0.5591,0.5635,0.1654,0.1041,0.8895,0.9505
SimGCL,74,148566.80029296875,0.31989431381225586,0.398,0.4531,0.5422,0.398,0.4338,0.5603,0.5644,0.1657,0.1041,0.892,0.95
SimGCL,75,147954.3505859375,0.31533193588256836,0.3983,0.4531,0.5423,0.3983,0.4341,0.561,0.5651,0.1657,0.1041,0.892,0.9505
SimGCL,76,148781.71484375,0.31682848930358887,0.3989,0.4533,0.5427,0.3989,0.4348,0.5616,0.5659,0.1658,0.1041,0.8905,0.949
SimGCL,77,148715.19677734375,0.31626200675964355,0.3985,0.4533,0.5434,0.3985,0.4348,0.5602,0.5646,0.1658,0.1044,0.891,0.952
