Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
SimGCL,1,183098.04724121094,0.166426420211792,0.5665,0.7145,0.7841,0.5665,0.5887,0.5851,0.5889,0.1104,0.0632,0.8749,0.9275
SimGCL,2,170237.90362548828,0.1662297248840332,0.6182,0.7761,0.8334,0.6182,0.6371,0.6318,0.634,0.1232,0.0689,0.924,0.955
SimGCL,3,163917.84552001953,0.16715574264526367,0.6459,0.805,0.8547,0.6459,0.6627,0.6571,0.6589,0.1296,0.0714,0.941,0.966
SimGCL,4,160546.78063964844,0.16637778282165527,0.6607,0.82,0.8694,0.6607,0.6774,0.6688,0.6705,0.1333,0.0732,0.951,0.9745
SimGCL,5,158199.33660888672,0.16726136207580566,0.6721,0.8297,0.8823,0.6721,0.6896,0.6786,0.6802,0.1357,0.0747,0.958,0.981
SimGCL,6,156626.92791748047,0.1660594940185547,0.6814,0.8385,0.8917,0.6814,0.6991,0.6852,0.6869,0.1378,0.0758,0.961,0.9855
SimGCL,7,155774.97943115234,0.16737151145935059,0.6874,0.8463,0.8975,0.6874,0.7046,0.69,0.6916,0.1396,0.0765,0.965,0.9865
SimGCL,8,154105.54528808594,0.16628408432006836,0.6934,0.8538,0.9032,0.6934,0.7101,0.694,0.6953,0.1413,0.0773,0.9705,0.988
SimGCL,9,153188.3247680664,0.16640639305114746,0.6975,0.8587,0.9076,0.6975,0.7139,0.697,0.6983,0.1427,0.0778,0.972,0.99
SimGCL,10,152121.87713623047,0.1670689582824707,0.7008,0.8638,0.9096,0.7008,0.7162,0.6986,0.6999,0.1439,0.078,0.974,0.991
SimGCL,11,152084.74572753906,0.16637730598449707,0.7031,0.8673,0.9126,0.7031,0.7186,0.6997,0.7007,0.1446,0.0785,0.9775,0.991
SimGCL,12,151326.3643798828,0.166365385055542,0.7068,0.8724,0.9149,0.7068,0.7215,0.7025,0.7033,0.1456,0.0789,0.981,0.9915
SimGCL,13,151174.7728881836,0.1665205955505371,0.7102,0.8758,0.9192,0.7102,0.7251,0.7058,0.7066,0.1465,0.0794,0.9815,0.993
SimGCL,14,150455.82067871094,0.16555476188659668,0.7136,0.8789,0.9212,0.7136,0.7281,0.7089,0.7097,0.1474,0.0797,0.982,0.9935
SimGCL,15,149863.5040283203,0.16582965850830078,0.716,0.8816,0.9247,0.716,0.7307,0.7109,0.7118,0.148,0.08,0.983,0.9955
SimGCL,16,149779.51275634766,0.16717123985290527,0.7181,0.8855,0.927,0.7181,0.7322,0.7113,0.7121,0.1489,0.0803,0.9845,0.996
SimGCL,17,149288.57122802734,0.16679167747497559,0.7192,0.8882,0.928,0.7192,0.7329,0.7115,0.7122,0.1494,0.0805,0.986,0.996
SimGCL,18,148914.81787109375,0.16639947891235352,0.7213,0.8908,0.9295,0.7213,0.7346,0.7132,0.7139,0.1502,0.0806,0.9865,0.9965
SimGCL,19,148193.6986694336,0.16655302047729492,0.7239,0.8929,0.9299,0.7239,0.7367,0.7159,0.7166,0.1507,0.0807,0.987,0.9965
SimGCL,20,147838.2705078125,0.16852641105651855,0.7255,0.8944,0.931,0.7255,0.7381,0.717,0.7177,0.1512,0.0808,0.987,0.997
SimGCL,21,148390.02716064453,0.16682982444763184,0.7263,0.8969,0.9328,0.7263,0.7387,0.7161,0.7168,0.1519,0.0811,0.988,0.997
SimGCL,22,148091.0101928711,0.16623711585998535,0.7285,0.8997,0.9344,0.7285,0.7405,0.7176,0.7181,0.1524,0.0813,0.9895,0.9975
SimGCL,23,147847.9151611328,0.16669178009033203,0.7293,0.9008,0.9355,0.7293,0.7413,0.7179,0.7186,0.1527,0.0814,0.989,0.998
SimGCL,24,147749.45483398438,0.2548336982727051,0.7305,0.9019,0.9371,0.7305,0.7427,0.7185,0.7191,0.1529,0.0816,0.9895,0.998
SimGCL,25,147989.7935180664,0.16655254364013672,0.7317,0.9043,0.9374,0.7317,0.7433,0.7186,0.7192,0.1535,0.0817,0.99,0.998
SimGCL,26,147179.39923095703,0.1665811538696289,0.7327,0.9047,0.9387,0.7327,0.7446,0.7196,0.7202,0.1536,0.0819,0.99,0.9985
SimGCL,27,147721.2030029297,0.1672518253326416,0.7334,0.9068,0.9393,0.7334,0.7449,0.7197,0.7202,0.154,0.082,0.991,0.9985
SimGCL,28,147270.16021728516,0.16826581954956055,0.7346,0.9079,0.9402,0.7346,0.746,0.7207,0.7212,0.1544,0.0822,0.991,0.9985
SimGCL,29,147193.3807373047,0.16589021682739258,0.7359,0.9091,0.9404,0.7359,0.7471,0.7222,0.7227,0.1546,0.0823,0.992,0.9985
SimGCL,30,146662.4510498047,0.16697025299072266,0.7372,0.9091,0.9415,0.7372,0.7489,0.7241,0.7246,0.1546,0.0824,0.992,0.9985
SimGCL,31,146753.84692382812,0.16669082641601562,0.7385,0.9107,0.9428,0.7385,0.7501,0.7249,0.7253,0.155,0.0826,0.9925,0.9985
SimGCL,32,146464.70330810547,0.16709256172180176,0.7394,0.9114,0.9426,0.7394,0.7507,0.7251,0.7255,0.1551,0.0826,0.993,0.999
SimGCL,33,146412.9808959961,0.16683745384216309,0.7403,0.9129,0.9439,0.7403,0.7515,0.7253,0.7257,0.1556,0.0828,0.993,0.999
SimGCL,34,146422.56018066406,0.17209291458129883,0.7415,0.9137,0.9445,0.7415,0.7526,0.7265,0.727,0.1559,0.0829,0.993,0.999
