Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
MHCN,1,16.371563643217087,1.475719928741455,0.1515,0.1381,0.1902,0.1515,0.1711,0.3353,0.3444,0.1012,0.0725,0.6515,0.783
MHCN,2,13.36991685628891,1.4743971824645996,0.1549,0.1408,0.1918,0.1549,0.1742,0.3409,0.35,0.1046,0.0746,0.67,0.7965
MHCN,3,12.680979162454605,1.4762864112854004,0.1552,0.1417,0.1967,0.1552,0.1765,0.3393,0.3493,0.1062,0.0772,0.6785,0.821
MHCN,4,12.16294065117836,1.4707458019256592,0.1594,0.1414,0.1991,0.1594,0.1808,0.3598,0.3695,0.1086,0.0789,0.689,0.825
MHCN,5,11.797095835208893,1.4671616554260254,0.158,0.1412,0.1972,0.158,0.1788,0.351,0.3605,0.1083,0.0787,0.686,0.822
MHCN,6,11.457961231470108,1.4703505039215088,0.1577,0.1395,0.1992,0.1577,0.1803,0.3532,0.3636,0.1083,0.0806,0.69,0.8365
MHCN,7,11.169850379228592,1.4920165538787842,0.1567,0.1373,0.1942,0.1567,0.1782,0.3559,0.366,0.107,0.0792,0.692,0.834
MHCN,8,10.927204966545105,1.4727442264556885,0.162,0.1416,0.1965,0.162,0.1815,0.3661,0.3748,0.112,0.0808,0.7185,0.8425
MHCN,9,10.754183948040009,1.4712574481964111,0.1609,0.1404,0.1982,0.1609,0.1814,0.3665,0.3755,0.1122,0.082,0.713,0.841
MHCN,10,10.547761306166649,1.4783084392547607,0.1576,0.1377,0.1945,0.1576,0.1781,0.3587,0.3685,0.1101,0.0805,0.701,0.84
MHCN,11,10.437197491526604,1.4722206592559814,0.1593,0.1377,0.1971,0.1593,0.181,0.3656,0.376,0.1111,0.0825,0.707,0.851
MHCN,12,10.25108489394188,1.4798705577850342,0.1596,0.138,0.1911,0.1596,0.1777,0.3676,0.376,0.1116,0.0804,0.7155,0.836
MHCN,13,10.093389123678207,1.4868555068969727,0.1559,0.1336,0.192,0.1559,0.1764,0.36,0.3693,0.1088,0.0805,0.7015,0.8335
MHCN,14,10.07399196922779,1.4717304706573486,0.1551,0.1338,0.1894,0.1551,0.1742,0.3563,0.3655,0.1095,0.0801,0.707,0.8365
MHCN,15,9.912373945116997,1.476902961730957,0.1582,0.135,0.1945,0.1582,0.1789,0.3672,0.3763,0.1113,0.0826,0.7145,0.8405
MHCN,16,10.098749488592148,1.4861280918121338,0.1577,0.1337,0.1928,0.1577,0.1783,0.3653,0.3754,0.1106,0.0821,0.7045,0.843
MHCN,17,9.715510994195938,1.4809110164642334,0.1571,0.1331,0.1874,0.1571,0.1752,0.3685,0.3765,0.1104,0.08,0.7215,0.835
MHCN,18,9.701775580644608,1.4626739025115967,0.1541,0.1314,0.1847,0.1541,0.1719,0.3563,0.3645,0.1095,0.0792,0.713,0.8315
MHCN,19,9.55971147119999,1.47574782371521,0.1563,0.1321,0.1905,0.1563,0.1763,0.3649,0.3741,0.1108,0.0819,0.7105,0.841
