Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
BPR,1,15.942640244960785,0.2142016887664795,0.0014,0.0018,0.0036,0.0014,0.0021,0.0028,0.0035,0.0011,0.0011,0.0105,0.0215
BPR,2,15.9417644739151,0.21278071403503418,0.0014,0.0021,0.004,0.0014,0.0021,0.0027,0.0033,0.0012,0.001,0.0115,0.02
BPR,3,15.941867709159851,0.21259641647338867,0.0011,0.0018,0.0037,0.0011,0.0019,0.0017,0.0024,0.0009,0.0009,0.0085,0.0185
BPR,4,15.942052066326141,0.21201276779174805,0.0013,0.002,0.0036,0.0013,0.002,0.002,0.0026,0.001,0.0009,0.0095,0.018
BPR,5,15.942210257053375,0.21244025230407715,0.0015,0.0021,0.0043,0.0015,0.0025,0.0024,0.0032,0.001,0.0011,0.0095,0.021
BPR,6,15.942273259162903,0.21263551712036133,0.0016,0.0024,0.004,0.0016,0.0023,0.0024,0.0031,0.001,0.001,0.01,0.0205
BPR,7,15.94232553243637,0.21306157112121582,0.0018,0.0027,0.0044,0.0018,0.0026,0.0029,0.0035,0.0012,0.0011,0.0115,0.021
BPR,8,15.942350924015045,0.21285557746887207,0.002,0.003,0.0044,0.002,0.0026,0.0032,0.0037,0.0013,0.001,0.013,0.0205
BPR,9,15.942366361618042,0.30706357955932617,0.0019,0.0028,0.0044,0.0019,0.0026,0.0031,0.0036,0.0012,0.001,0.012,0.0205
BPR,10,15.942374408245087,0.21622967720031738,0.002,0.003,0.0047,0.002,0.0028,0.0033,0.0039,0.0013,0.0011,0.013,0.0215
BPR,11,15.942379653453827,0.21756434440612793,0.0021,0.0031,0.0045,0.0021,0.0027,0.0034,0.0039,0.0015,0.0011,0.0145,0.0215
BPR,12,15.942381858825684,0.21059966087341309,0.0017,0.0024,0.0045,0.0017,0.0025,0.0027,0.0034,0.0011,0.0011,0.0105,0.021
BPR,13,15.942383527755737,0.20795845985412598,0.0017,0.0025,0.0044,0.0017,0.0025,0.0028,0.0034,0.0012,0.0011,0.0115,0.021
BPR,14,15.942384362220764,0.20706939697265625,0.0021,0.0029,0.0043,0.0021,0.0026,0.0038,0.0043,0.0014,0.0011,0.014,0.021
BPR,15,15.942385256290436,0.20916056632995605,0.002,0.0028,0.0047,0.002,0.0028,0.0035,0.0041,0.0014,0.0012,0.014,0.0235
BPR,16,15.942385256290436,0.2070159912109375,0.0019,0.0024,0.0042,0.0019,0.0026,0.0033,0.0039,0.001,0.001,0.01,0.019
BPR,17,15.942385256290436,0.20481657981872559,0.0017,0.0024,0.0049,0.0017,0.0027,0.0033,0.0042,0.0012,0.0012,0.012,0.025
BPR,18,15.942385256290436,0.20572924613952637,0.0018,0.0021,0.0041,0.0018,0.0026,0.0038,0.0045,0.0011,0.0011,0.011,0.0215
BPR,19,15.942385256290436,0.20435380935668945,0.0019,0.0023,0.0048,0.0019,0.0029,0.004,0.0048,0.0013,0.0013,0.0125,0.0255
BPR,20,15.942385256290436,0.20446085929870605,0.0017,0.0025,0.0042,0.0017,0.0024,0.0027,0.0033,0.0012,0.0011,0.012,0.021
BPR,21,15.942385256290436,0.20485734939575195,0.0013,0.0017,0.0034,0.0013,0.002,0.0024,0.0029,0.0007,0.0008,0.007,0.0155
BPR,22,15.942385256290436,0.21579623222351074,0.0016,0.0023,0.0039,0.0016,0.0023,0.0028,0.0034,0.0012,0.001,0.0115,0.0205
BPR,23,15.942385256290436,0.21216750144958496,0.0012,0.0018,0.004,0.0012,0.0021,0.0018,0.0026,0.0009,0.0011,0.0085,0.0205
BPR,24,15.942385256290436,0.21182918548583984,0.0015,0.0022,0.0035,0.0015,0.002,0.0024,0.0028,0.0011,0.0009,0.011,0.017
BPR,25,15.942385256290436,0.21174359321594238,0.0009,0.0013,0.0037,0.0009,0.0019,0.0015,0.0024,0.0007,0.001,0.007,0.0195
