Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
SimGCL,1,94971.60498046875,0.9562280178070068,0.04,0.0379,0.0621,0.04,0.0498,0.0993,0.1084,0.0289,0.0235,0.2555,0.3845
SimGCL,2,80262.44274902344,0.9531795978546143,0.0635,0.0604,0.0905,0.0635,0.0761,0.1519,0.1621,0.0426,0.0339,0.3575,0.5055
SimGCL,3,77315.88977050781,0.9527275562286377,0.0812,0.0775,0.1155,0.0812,0.0968,0.1878,0.1983,0.0546,0.0421,0.437,0.589
SimGCL,4,75152.72314453125,0.9531450271606445,0.0952,0.0902,0.1302,0.0952,0.1116,0.2177,0.2283,0.0633,0.0476,0.4845,0.6365
SimGCL,5,73685.31420898438,0.9531311988830566,0.1047,0.0988,0.1423,0.1047,0.1229,0.2387,0.2493,0.0684,0.052,0.515,0.6655
SimGCL,6,72601.16845703125,0.9533908367156982,0.1133,0.1061,0.1527,0.1133,0.1327,0.2567,0.267,0.0738,0.0559,0.5415,0.69
SimGCL,7,71547.98693847656,0.9538974761962891,0.1202,0.1124,0.1603,0.1202,0.1399,0.2694,0.2792,0.0787,0.0587,0.566,0.7075
SimGCL,8,70648.23706054688,0.9533555507659912,0.1257,0.1184,0.1668,0.1257,0.1456,0.2774,0.2877,0.0823,0.0611,0.576,0.726
SimGCL,9,69841.32946777344,0.9528615474700928,0.1307,0.1236,0.1731,0.1307,0.1509,0.2854,0.2954,0.086,0.0633,0.5915,0.7335
SimGCL,10,69167.10327148438,0.9587619304656982,0.1358,0.1278,0.1781,0.1358,0.1564,0.2954,0.3056,0.0889,0.0653,0.6035,0.749
SimGCL,11,68685.29150390625,0.9536755084991455,0.1399,0.1317,0.1822,0.1399,0.1605,0.3043,0.3145,0.0912,0.0667,0.61,0.756
SimGCL,12,68299.27258300781,0.9547810554504395,0.1434,0.1344,0.1868,0.1434,0.165,0.3101,0.3209,0.0931,0.0686,0.6145,0.765
SimGCL,13,67875.28308105469,0.9533538818359375,0.1473,0.1386,0.1902,0.1473,0.1685,0.3155,0.3261,0.0959,0.0699,0.627,0.7765
SimGCL,14,67418.06958007812,0.9543094635009766,0.15,0.1409,0.1952,0.15,0.1722,0.3208,0.3311,0.0977,0.0715,0.638,0.7845
SimGCL,15,66997.97875976562,0.9529392719268799,0.1528,0.1435,0.2,0.1528,0.176,0.3251,0.3357,0.0995,0.0731,0.6425,0.7935
SimGCL,16,66720.05322265625,0.9532496929168701,0.1554,0.1463,0.2027,0.1554,0.1786,0.3284,0.3389,0.1014,0.0741,0.6485,0.798
SimGCL,17,66327.88916015625,0.953834056854248,0.1577,0.1487,0.2068,0.1577,0.1818,0.3321,0.3426,0.1027,0.0757,0.656,0.8055
SimGCL,18,66128.99206542969,1.0589847564697266,0.1605,0.1507,0.2101,0.1605,0.1852,0.3388,0.3493,0.1042,0.0771,0.662,0.8105
SimGCL,19,65826.28674316406,0.9609339237213135,0.1621,0.1526,0.2127,0.1621,0.1873,0.3404,0.3507,0.1054,0.078,0.668,0.8115
SimGCL,20,65525.00915527344,0.9545955657958984,0.1651,0.1558,0.2153,0.1651,0.1897,0.3449,0.3543,0.1081,0.0792,0.6805,0.815
SimGCL,21,65224.904296875,0.953444242477417,0.1671,0.1578,0.2178,0.1671,0.192,0.3483,0.3577,0.1093,0.0802,0.685,0.819
SimGCL,22,65176.305419921875,0.9548919200897217,0.1693,0.1599,0.2203,0.1693,0.1941,0.352,0.3612,0.111,0.0808,0.689,0.8195
SimGCL,23,64903.17834472656,0.9558572769165039,0.1709,0.1619,0.2225,0.1709,0.1959,0.3545,0.3638,0.1121,0.0817,0.6915,0.825
SimGCL,24,64720.80065917969,0.954531192779541,0.1722,0.1634,0.2243,0.1722,0.1973,0.3546,0.3641,0.1133,0.0823,0.691,0.823
SimGCL,25,64693.537353515625,0.9543156623840332,0.1736,0.1647,0.2259,0.1736,0.1988,0.3574,0.3669,0.1145,0.083,0.6945,0.828
SimGCL,26,64458.68273925781,0.9544916152954102,0.1752,0.1667,0.2281,0.1752,0.2005,0.3591,0.3685,0.1158,0.0838,0.698,0.8305
SimGCL,27,64244.7978515625,0.9550912380218506,0.1764,0.1678,0.2294,0.1764,0.2018,0.3605,0.3701,0.1168,0.0844,0.7,0.832
