Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
ASLGCN,1,72.76193737983704,1.573671817779541,0.0085,0.0035,0.007,0.0085,0.0092,0.0246,0.0302,0.0085,0.0088,0.083,0.164
ASLGCN,2,72.40573036670685,1.5348591804504395,0.0082,0.0029,0.0065,0.0082,0.0087,0.0247,0.0298,0.0077,0.0083,0.075,0.152
ASLGCN,3,70.9408620595932,1.695669174194336,0.008,0.0028,0.0063,0.008,0.0084,0.0231,0.0281,0.0077,0.0081,0.071,0.1445
ASLGCN,4,67.49002146720886,1.6230015754699707,0.009,0.0033,0.0068,0.009,0.0094,0.0262,0.0316,0.0086,0.009,0.082,0.1615
ASLGCN,5,62.24046903848648,1.5369677543640137,0.0095,0.0035,0.007,0.0095,0.0096,0.0278,0.0329,0.0092,0.009,0.0885,0.163
ASLGCN,6,56.691600143909454,1.5580646991729736,0.0096,0.0036,0.0076,0.0096,0.0102,0.0285,0.0346,0.0092,0.0096,0.088,0.1785
ASLGCN,7,52.08824959397316,1.6032490730285645,0.0102,0.0038,0.0077,0.0102,0.0103,0.0296,0.0351,0.0102,0.0098,0.099,0.1805
ASLGCN,8,48.70818427205086,1.5806224346160889,0.0099,0.0038,0.0071,0.0099,0.0098,0.0282,0.0332,0.01,0.0093,0.0965,0.1695
ASLGCN,9,46.227238684892654,1.523216962814331,0.0095,0.0038,0.0069,0.0095,0.0094,0.0266,0.0315,0.0097,0.009,0.0945,0.1645
ASLGCN,10,44.5370169878006,1.5812232494354248,0.01,0.0039,0.007,0.01,0.0097,0.0285,0.0334,0.0101,0.0091,0.095,0.167
ASLGCN,11,43.18303835391998,1.610189437866211,0.01,0.0039,0.0069,0.01,0.0096,0.0282,0.0329,0.01,0.0089,0.0935,0.1625
ASLGCN,12,42.06923222541809,1.5327177047729492,0.0097,0.0036,0.007,0.0097,0.0096,0.0279,0.0328,0.0095,0.0089,0.089,0.163
ASLGCN,13,41.24106293916702,1.526864767074585,0.0091,0.0034,0.0066,0.0091,0.0091,0.0265,0.0314,0.0087,0.0085,0.0825,0.154
ASLGCN,14,40.65937855839729,1.6178197860717773,0.0091,0.0035,0.0066,0.0091,0.0092,0.0259,0.0307,0.009,0.0087,0.0845,0.156
ASLGCN,15,40.04310819506645,1.5631532669067383,0.0097,0.0039,0.0066,0.0097,0.0091,0.0261,0.0304,0.01,0.0086,0.0925,0.1565
ASLGCN,16,39.65154257416725,1.53605318069458,0.0094,0.0036,0.0063,0.0094,0.0088,0.0263,0.0304,0.0096,0.0082,0.0905,0.1515
ASLGCN,17,39.314857840538025,1.600250244140625,0.0092,0.0037,0.0062,0.0092,0.0087,0.0247,0.029,0.0095,0.0083,0.0885,0.152
ASLGCN,18,39.035185515880585,1.6141362190246582,0.0088,0.0034,0.0065,0.0088,0.0087,0.024,0.0285,0.0091,0.0084,0.0855,0.1535
