Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
SimGCL,1,424861.93310546875,0.3302273750305176,0.1309,0.156,0.2123,0.1309,0.1527,0.2148,0.2247,0.0539,0.0389,0.449,0.5885
SimGCL,2,385821.49462890625,0.3295564651489258,0.1817,0.2106,0.2872,0.1817,0.2112,0.2933,0.3033,0.0731,0.0525,0.57,0.7155
SimGCL,3,368712.82763671875,0.3287019729614258,0.214,0.2451,0.3216,0.214,0.2438,0.3397,0.3488,0.0853,0.0594,0.6325,0.763
SimGCL,4,358625.009765625,0.32929062843322754,0.2307,0.2609,0.3441,0.2307,0.2634,0.3645,0.3732,0.0915,0.0642,0.6645,0.786
SimGCL,5,350907.6279296875,0.3291492462158203,0.246,0.2789,0.3613,0.246,0.2784,0.3863,0.3942,0.0984,0.0675,0.6955,0.809
SimGCL,6,345599.337890625,0.32858967781066895,0.2582,0.293,0.3761,0.2582,0.2909,0.4039,0.4112,0.1036,0.0704,0.718,0.8205
SimGCL,7,340534.33935546875,0.32912111282348633,0.2672,0.3045,0.39,0.2672,0.3007,0.4136,0.4212,0.1079,0.073,0.7305,0.838
SimGCL,8,337640.2021484375,0.32838916778564453,0.2781,0.3157,0.399,0.2781,0.3109,0.4294,0.4367,0.1124,0.0749,0.7455,0.8515
SimGCL,9,334127.94775390625,0.32932543754577637,0.2848,0.3241,0.4093,0.2848,0.3186,0.4372,0.4447,0.1155,0.0772,0.756,0.8635
SimGCL,10,331931.904296875,0.3337514400482178,0.2915,0.3333,0.4169,0.2915,0.3249,0.4428,0.4508,0.1191,0.0792,0.7615,0.8735
SimGCL,11,329934.87890625,0.32979750633239746,0.2975,0.3406,0.4236,0.2975,0.3305,0.4486,0.4558,0.1224,0.0805,0.7775,0.879
