Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
MHCN,1,8.390845954418182,0.7275440692901611,0.2001,0.2303,0.2991,0.2001,0.2268,0.3115,0.3206,0.0765,0.0528,0.5835,0.7125
MHCN,2,6.502884149551392,0.6257345676422119,0.2215,0.2501,0.321,0.2215,0.2489,0.3521,0.3609,0.086,0.0582,0.631,0.757
MHCN,3,6.024960488080978,0.6296803951263428,0.2236,0.2535,0.3297,0.2236,0.2531,0.3541,0.3626,0.0873,0.0601,0.6425,0.763
MHCN,4,5.727071776986122,0.6501576900482178,0.2286,0.2551,0.3344,0.2286,0.2591,0.3644,0.3731,0.089,0.0613,0.644,0.767
MHCN,5,5.532284379005432,0.651719331741333,0.2328,0.2617,0.34,0.2328,0.2629,0.3693,0.3776,0.0918,0.0628,0.6565,0.7745
MHCN,6,5.3775708973407745,0.6088476181030273,0.2319,0.2602,0.3377,0.2319,0.2619,0.3742,0.3821,0.0915,0.0626,0.6635,0.779
MHCN,7,5.222885876893997,0.6050782203674316,0.2332,0.2608,0.3347,0.2332,0.2623,0.3747,0.383,0.0927,0.0629,0.6595,0.777
MHCN,8,5.146710619330406,0.6004118919372559,0.2314,0.2599,0.3359,0.2314,0.261,0.37,0.3785,0.0922,0.0629,0.6615,0.785
MHCN,9,4.982443019747734,0.595578670501709,0.2325,0.2624,0.3352,0.2325,0.2609,0.3719,0.3795,0.0939,0.0632,0.672,0.782
MHCN,10,4.881479278206825,0.5976982116699219,0.2324,0.2611,0.3375,0.2324,0.2624,0.3743,0.3822,0.0937,0.0641,0.6695,0.7835
MHCN,11,4.800798445940018,0.5994036197662354,0.2349,0.2644,0.3389,0.2349,0.2639,0.3778,0.3854,0.0953,0.0641,0.674,0.786
MHCN,12,4.697598353028297,0.5974056720733643,0.234,0.2605,0.3382,0.234,0.2645,0.3797,0.3879,0.0937,0.0643,0.6675,0.784
MHCN,13,4.618773594498634,0.5979337692260742,0.2344,0.2625,0.3385,0.2344,0.264,0.3789,0.3873,0.0948,0.0644,0.669,0.79
MHCN,14,4.645337074995041,0.5975050926208496,0.232,0.2618,0.3376,0.232,0.2619,0.3717,0.38,0.0942,0.0644,0.67,0.7905
MHCN,15,4.501666650176048,0.6032638549804688,0.2342,0.2641,0.3401,0.2342,0.2644,0.3793,0.3875,0.0954,0.0655,0.673,0.791
MHCN,16,4.38850899040699,0.6003234386444092,0.2315,0.2607,0.3363,0.2315,0.2611,0.373,0.3818,0.0942,0.0643,0.6675,0.794
MHCN,17,4.350113615393639,0.5974018573760986,0.2328,0.263,0.3338,0.2328,0.261,0.3762,0.384,0.0957,0.0645,0.678,0.7895
MHCN,18,4.357851460576057,0.6001646518707275,0.2299,0.259,0.3333,0.2299,0.2593,0.3732,0.3812,0.0939,0.0642,0.677,0.7915
MHCN,19,4.314011126756668,0.59853196144104,0.2298,0.2596,0.3378,0.2298,0.2607,0.3723,0.3805,0.0943,0.0652,0.6735,0.7915
MHCN,20,4.164292171597481,0.6210682392120361,0.2344,0.2643,0.3412,0.2344,0.2646,0.3796,0.3876,0.0968,0.0659,0.684,0.798
MHCN,21,4.089727506041527,0.6221785545349121,0.2331,0.264,0.3402,0.2331,0.2634,0.3756,0.3839,0.0966,0.066,0.6815,0.7985
MHCN,22,4.026281267404556,0.6215028762817383,0.2324,0.2621,0.3421,0.2324,0.2635,0.3751,0.3836,0.0972,0.0665,0.681,0.802
