Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
DiffNet,1,15.23172813653946,0.23456597328186035,0.0026,0.0032,0.0072,0.0026,0.0041,0.0048,0.006,0.0016,0.0017,0.016,0.033
DiffNet,2,14.920990467071533,0.23450922966003418,0.0041,0.0054,0.009,0.0041,0.0056,0.0078,0.009,0.0024,0.0021,0.024,0.041
DiffNet,3,14.228480160236359,0.23421645164489746,0.0044,0.0059,0.0101,0.0044,0.006,0.0083,0.0094,0.0023,0.002,0.023,0.039
DiffNet,4,12.948385000228882,0.24136853218078613,0.0042,0.005,0.0104,0.0042,0.0063,0.0088,0.0104,0.0022,0.0023,0.0225,0.0445
DiffNet,5,11.200270116329193,0.23456525802612305,0.0046,0.0057,0.0099,0.0046,0.0062,0.0093,0.0105,0.0027,0.0023,0.027,0.0455
DiffNet,6,9.382733970880508,0.23494434356689453,0.0047,0.0058,0.0108,0.0047,0.0066,0.0096,0.011,0.0026,0.0024,0.026,0.047
DiffNet,7,7.759706288576126,0.23442864418029785,0.0047,0.006,0.011,0.0047,0.0066,0.0094,0.0109,0.0027,0.0024,0.0265,0.047
DiffNet,8,6.492121070623398,0.2350327968597412,0.0052,0.0069,0.0101,0.0052,0.0065,0.0099,0.0112,0.0028,0.0024,0.028,0.0465
DiffNet,9,5.469559267163277,0.3475778102874756,0.0052,0.0066,0.0102,0.0052,0.0066,0.0105,0.0117,0.0028,0.0023,0.028,0.0455
DiffNet,10,4.742126643657684,0.23621606826782227,0.0047,0.0056,0.0096,0.0047,0.0063,0.0099,0.0111,0.0025,0.0021,0.0245,0.042
DiffNet,11,4.149871841073036,0.23497223854064941,0.0044,0.0051,0.0094,0.0044,0.0061,0.0094,0.0107,0.0024,0.0021,0.023,0.0425
DiffNet,12,3.690504416823387,0.23407959938049316,0.0043,0.0049,0.0092,0.0043,0.006,0.009,0.0105,0.0022,0.0022,0.0215,0.043
DiffNet,13,3.2973323464393616,0.23449301719665527,0.0042,0.0051,0.0097,0.0042,0.0061,0.0087,0.0103,0.0022,0.0023,0.022,0.0445
DiffNet,14,3.03676401078701,0.2350473403930664,0.0043,0.0058,0.0096,0.0043,0.0058,0.0079,0.0092,0.0024,0.0022,0.0245,0.043
DiffNet,15,2.7553353309631348,0.23651456832885742,0.0044,0.0059,0.0099,0.0044,0.0059,0.0085,0.0096,0.0025,0.0022,0.025,0.0425
DiffNet,16,2.5513762086629868,0.2357327938079834,0.0048,0.0063,0.0102,0.0048,0.0063,0.0089,0.0101,0.0026,0.0023,0.0265,0.045
DiffNet,17,2.414154537022114,0.23394250869750977,0.0046,0.006,0.01,0.0046,0.0061,0.0086,0.0099,0.0025,0.0022,0.0255,0.0445
DiffNet,18,2.226645588874817,0.23381972312927246,0.0047,0.006,0.0101,0.0047,0.0063,0.0087,0.01,0.0025,0.0022,0.025,0.0445
DiffNet,19,2.1084780246019363,0.2361764907836914,0.0044,0.0057,0.0104,0.0044,0.0063,0.0082,0.0098,0.0022,0.0023,0.0225,0.045
DiffNet,20,1.9606027230620384,0.23386311531066895,0.0044,0.0055,0.0101,0.0044,0.0062,0.0083,0.0097,0.0022,0.0022,0.0225,0.043
