Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
LightGCN,1,15.245182931423187,0.25011610984802246,0.0207,0.0268,0.043,0.0207,0.0267,0.0371,0.0412,0.0107,0.0086,0.1035,0.1635
LightGCN,2,15.207370400428772,0.25279760360717773,0.0263,0.033,0.0528,0.0263,0.034,0.0482,0.0532,0.0126,0.0106,0.121,0.1945
LightGCN,3,15.108230113983154,0.24733376502990723,0.0277,0.0352,0.056,0.0277,0.0358,0.0487,0.0541,0.0129,0.011,0.123,0.2005
LightGCN,4,14.903591692447662,0.24649906158447266,0.0264,0.0332,0.0523,0.0264,0.0336,0.048,0.0527,0.0129,0.0104,0.124,0.1935
LightGCN,5,14.56918740272522,0.2429811954498291,0.0251,0.0331,0.0515,0.0251,0.0319,0.0442,0.0484,0.0127,0.0101,0.1235,0.1865
LightGCN,6,14.109631299972534,0.24642229080200195,0.0233,0.0302,0.051,0.0233,0.031,0.0415,0.0464,0.0115,0.0099,0.113,0.1845
LightGCN,7,13.536881923675537,0.24509739875793457,0.0227,0.029,0.0494,0.0227,0.0301,0.0413,0.0459,0.0113,0.0096,0.111,0.179
LightGCN,8,12.885431468486786,0.24448013305664062,0.0224,0.0281,0.0498,0.0224,0.0302,0.0413,0.0459,0.0112,0.0096,0.11,0.179
LightGCN,9,12.195496499538422,0.24318981170654297,0.0236,0.0302,0.05,0.0236,0.0308,0.0427,0.0472,0.0117,0.0097,0.114,0.1805
LightGCN,10,11.498769223690033,0.33847999572753906,0.0246,0.0327,0.0517,0.0246,0.0318,0.0438,0.0485,0.0124,0.0101,0.1195,0.188
LightGCN,11,10.824850797653198,0.24543547630310059,0.0262,0.0348,0.0541,0.0262,0.0335,0.0468,0.0517,0.0132,0.0107,0.128,0.1995
LightGCN,12,10.162011802196503,0.24381518363952637,0.0283,0.0372,0.0554,0.0283,0.0351,0.0502,0.0547,0.0144,0.011,0.137,0.203
LightGCN,13,9.564058780670166,0.24503707885742188,0.0297,0.0383,0.0586,0.0297,0.0372,0.054,0.0589,0.0149,0.0115,0.1415,0.214
LightGCN,14,9.034311562776566,0.2461237907409668,0.0305,0.0385,0.0604,0.0305,0.0385,0.056,0.0611,0.0151,0.012,0.1445,0.2215
LightGCN,15,8.522110998630524,0.24580693244934082,0.0318,0.0396,0.0631,0.0318,0.0404,0.0588,0.0641,0.0155,0.0125,0.1485,0.228
LightGCN,16,8.092944979667664,0.24603915214538574,0.0333,0.0422,0.0624,0.0333,0.0406,0.061,0.0652,0.0168,0.0124,0.16,0.223
LightGCN,17,7.690505653619766,0.24453353881835938,0.0332,0.0415,0.0649,0.0332,0.0417,0.0611,0.0658,0.0166,0.0129,0.1585,0.2295
LightGCN,18,7.316572576761246,0.24450063705444336,0.0339,0.0428,0.0654,0.0339,0.042,0.0618,0.0664,0.0171,0.0129,0.1625,0.2315
LightGCN,19,7.039796411991119,0.24390196800231934,0.0338,0.0425,0.0658,0.0338,0.0423,0.0617,0.0665,0.0171,0.0132,0.1635,0.2345
LightGCN,20,6.749130129814148,0.24583148956298828,0.0336,0.0424,0.0664,0.0336,0.0424,0.0609,0.066,0.0171,0.0133,0.1615,0.2365
LightGCN,21,6.5107406079769135,0.24378252029418945,0.0338,0.0427,0.069,0.0338,0.0434,0.0609,0.0662,0.0172,0.0137,0.164,0.2425
LightGCN,22,6.292881160974503,0.2515547275543213,0.0346,0.0425,0.0705,0.0346,0.0447,0.063,0.0683,0.0173,0.0141,0.166,0.2455
LightGCN,23,6.090695947408676,0.24503254890441895,0.0348,0.0426,0.0715,0.0348,0.0453,0.0638,0.0694,0.0172,0.0142,0.164,0.2475
LightGCN,24,5.923840254545212,0.24500536918640137,0.0348,0.0419,0.0713,0.0348,0.0455,0.064,0.0697,0.017,0.0142,0.1625,0.2465
LightGCN,25,5.765812247991562,0.24766135215759277,0.0353,0.0434,0.0711,0.0353,0.0455,0.064,0.0697,0.0175,0.0142,0.166,0.2495
LightGCN,26,5.638051122426987,0.2454698085784912,0.0351,0.0428,0.0712,0.0351,0.0456,0.0637,0.0697,0.0174,0.0143,0.164,0.251
LightGCN,27,5.512116968631744,0.24208950996398926,0.0346,0.0424,0.0709,0.0346,0.0452,0.0629,0.069,0.0171,0.0144,0.162,0.252
LightGCN,28,5.384757295250893,0.2395169734954834,0.035,0.0431,0.0719,0.035,0.0456,0.0632,0.0693,0.0174,0.0144,0.1635,0.253
LightGCN,29,5.308443650603294,0.2407362461090088,0.035,0.0432,0.0723,0.035,0.0458,0.063,0.0694,0.0174,0.0145,0.1635,0.2555
LightGCN,30,5.210758864879608,0.25151848793029785,0.0356,0.0441,0.0729,0.0356,0.0463,0.0637,0.0699,0.0177,0.0146,0.165,0.257
LightGCN,31,5.132582947611809,0.24195432662963867,0.0355,0.0445,0.0726,0.0355,0.046,0.0632,0.0693,0.0176,0.0146,0.164,0.255
LightGCN,32,5.074393734335899,0.3394322395324707,0.0354,0.0442,0.0728,0.0354,0.0461,0.0635,0.0699,0.0174,0.0146,0.162,0.2555
LightGCN,33,5.004819095134735,0.24866342544555664,0.0352,0.0446,0.0742,0.0352,0.0463,0.0623,0.0688,0.0176,0.015,0.1625,0.26
