Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
CSGCN,1,73.45595294237137,1.466651201248169,0.0091,0.0038,0.0077,0.0091,0.01,0.0266,0.0323,0.0089,0.0093,0.0855,0.1695
CSGCN,2,73.14885246753693,1.5011022090911865,0.0089,0.0036,0.0065,0.0089,0.0088,0.0252,0.0297,0.009,0.0084,0.0875,0.156
CSGCN,3,72.12361323833466,1.4665985107421875,0.0108,0.0042,0.0075,0.0108,0.0103,0.0306,0.0352,0.0107,0.0093,0.1015,0.169
CSGCN,4,70.32377034425735,1.4669556617736816,0.0113,0.0045,0.0083,0.0113,0.0112,0.032,0.0376,0.0114,0.0105,0.11,0.1935
CSGCN,5,67.92781561613083,1.5050857067108154,0.0126,0.0048,0.0084,0.0126,0.012,0.037,0.0421,0.0123,0.0107,0.1195,0.1945
CSGCN,6,65.2092267870903,1.4941034317016602,0.0125,0.0049,0.009,0.0125,0.0123,0.0356,0.0414,0.0123,0.0114,0.116,0.206
CSGCN,7,62.40134382247925,1.4881789684295654,0.0126,0.005,0.0091,0.0126,0.0126,0.0352,0.0412,0.0126,0.0117,0.119,0.208
CSGCN,8,59.70955973863602,1.4739012718200684,0.0123,0.0051,0.0093,0.0123,0.0126,0.0341,0.0402,0.0126,0.0118,0.1205,0.212
CSGCN,9,57.26797330379486,1.4622011184692383,0.0128,0.0053,0.0091,0.0128,0.0127,0.035,0.0409,0.0132,0.0119,0.1225,0.209
CSGCN,10,55.04467099905014,1.4789245128631592,0.0127,0.0051,0.009,0.0127,0.0125,0.0352,0.041,0.0129,0.0117,0.121,0.2075
CSGCN,11,53.08471277356148,1.467463731765747,0.0121,0.0049,0.0087,0.0121,0.0122,0.0339,0.04,0.0121,0.0114,0.112,0.199
CSGCN,12,51.40424972772598,1.468308448791504,0.0123,0.0049,0.009,0.0123,0.0125,0.0349,0.041,0.0122,0.0116,0.114,0.2045
CSGCN,13,49.9601169526577,1.4680492877960205,0.012,0.0048,0.0089,0.012,0.0123,0.0345,0.0406,0.0118,0.0116,0.1115,0.203
CSGCN,14,48.567879766225815,1.4665367603302002,0.0118,0.0046,0.0091,0.0118,0.0123,0.0343,0.0407,0.0116,0.0115,0.11,0.205
CSGCN,15,47.49601569771767,1.4660758972167969,0.0121,0.0047,0.0088,0.0121,0.0123,0.0353,0.0416,0.0118,0.0114,0.112,0.2055
CSGCN,16,46.41092178225517,1.469200849533081,0.0117,0.0045,0.0091,0.0117,0.0124,0.0343,0.0411,0.0113,0.0117,0.1065,0.21
CSGCN,17,45.549589693546295,1.4677982330322266,0.0114,0.0044,0.0089,0.0114,0.0121,0.0329,0.0396,0.0113,0.0115,0.1055,0.206
CSGCN,18,44.73250764608383,1.472571611404419,0.0113,0.0044,0.0088,0.0113,0.0119,0.0328,0.0392,0.0111,0.0111,0.105,0.2015
CSGCN,19,44.031368374824524,1.4771311283111572,0.0112,0.0044,0.0086,0.0112,0.0117,0.0325,0.0388,0.0111,0.011,0.105,0.2005
CSGCN,20,43.45570319890976,1.4894275665283203,0.0112,0.0045,0.0084,0.0112,0.0115,0.0314,0.0375,0.0113,0.0109,0.1065,0.1985
