Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
BPR,1,15.249483525753021,0.20408129692077637,0.0012,0.0014,0.0037,0.0012,0.0021,0.0027,0.0032,0.0008,0.0008,0.0075,0.016
BPR,2,15.223349153995514,0.20584750175476074,0.0013,0.0017,0.0033,0.0013,0.002,0.0026,0.0032,0.0008,0.0009,0.008,0.0165
BPR,3,15.202261984348297,0.20468497276306152,0.0011,0.0015,0.0039,0.0011,0.0021,0.0023,0.0031,0.0006,0.0009,0.0065,0.0185
BPR,4,15.179600298404694,0.2028520107269287,0.0014,0.0021,0.004,0.0014,0.0022,0.0027,0.0033,0.0009,0.001,0.009,0.0195
BPR,5,15.150908708572388,0.20473527908325195,0.0016,0.0023,0.0037,0.0016,0.0021,0.0031,0.0036,0.0011,0.0009,0.0105,0.0175
BPR,6,15.115335702896118,0.21557164192199707,0.0017,0.0023,0.0045,0.0017,0.0026,0.0037,0.0043,0.0012,0.0011,0.0115,0.021
BPR,7,15.07038003206253,0.20935893058776855,0.0015,0.0022,0.0052,0.0015,0.0028,0.003,0.0041,0.001,0.0012,0.0095,0.025
BPR,8,15.01473081111908,0.20615482330322266,0.0016,0.0025,0.005,0.0016,0.0026,0.0026,0.0034,0.0012,0.0012,0.0115,0.023
BPR,9,14.945400834083557,0.20597171783447266,0.0017,0.0026,0.0048,0.0017,0.0026,0.0028,0.0035,0.0012,0.0011,0.012,0.022
BPR,10,14.860994040966034,0.2084212303161621,0.0015,0.0019,0.0045,0.0015,0.0025,0.0026,0.0036,0.001,0.0012,0.01,0.0235
BPR,11,14.762374579906464,0.2071084976196289,0.0017,0.0025,0.0044,0.0017,0.0025,0.0026,0.0034,0.0012,0.0012,0.0115,0.0225
BPR,12,14.644125580787659,0.2087724208831787,0.0016,0.0023,0.0046,0.0016,0.0026,0.0025,0.0034,0.0011,0.0012,0.0105,0.024
BPR,13,14.508752942085266,0.20485854148864746,0.0019,0.0024,0.0046,0.0019,0.0029,0.0036,0.0044,0.0012,0.0012,0.012,0.024
BPR,14,14.359721839427948,0.20839166641235352,0.0021,0.0025,0.0048,0.0021,0.0031,0.004,0.0048,0.0013,0.0012,0.012,0.0235
BPR,15,14.189472913742065,0.20740771293640137,0.0023,0.0027,0.005,0.0023,0.0032,0.0041,0.005,0.0012,0.0013,0.0115,0.025
BPR,16,14.005675256252289,0.20885467529296875,0.0023,0.0027,0.0048,0.0023,0.0032,0.0042,0.005,0.0012,0.0012,0.0115,0.024
BPR,17,13.808331549167633,0.20768451690673828,0.0021,0.0025,0.0048,0.0021,0.0031,0.0038,0.0047,0.0011,0.0012,0.0105,0.024
BPR,18,13.59088397026062,0.20541691780090332,0.002,0.0026,0.0046,0.002,0.0028,0.0035,0.0042,0.0012,0.0012,0.011,0.022
BPR,19,13.364254415035248,0.20461773872375488,0.0021,0.0027,0.0047,0.0021,0.0029,0.0036,0.0044,0.0012,0.0012,0.0115,0.022
BPR,20,13.129720509052277,0.20486736297607422,0.0021,0.0028,0.0048,0.0021,0.003,0.0036,0.0044,0.0012,0.0012,0.0115,0.023
BPR,21,12.884741306304932,0.2056741714477539,0.0022,0.0031,0.0047,0.0022,0.0029,0.0036,0.0043,0.0014,0.0011,0.0125,0.0215
BPR,22,12.634721457958221,0.2057638168334961,0.0022,0.003,0.0047,0.0022,0.0029,0.0037,0.0043,0.0013,0.0011,0.0125,0.0205
BPR,23,12.375572085380554,0.20644640922546387,0.0024,0.0034,0.0047,0.0024,0.003,0.004,0.0045,0.0015,0.0011,0.014,0.021
BPR,24,12.12867683172226,0.3027198314666748,0.0025,0.0033,0.0051,0.0025,0.0032,0.0041,0.0047,0.0015,0.0012,0.014,0.022
BPR,25,11.857564985752106,0.20945143699645996,0.0022,0.0032,0.0048,0.0022,0.0029,0.0036,0.0042,0.0014,0.0011,0.013,0.0215
BPR,26,11.60069990158081,0.20543575286865234,0.0024,0.0034,0.0047,0.0024,0.003,0.0039,0.0044,0.0014,0.0012,0.013,0.022
BPR,27,11.345800042152405,0.20491385459899902,0.0022,0.003,0.0048,0.0022,0.003,0.0037,0.0044,0.0012,0.0012,0.0115,0.022
BPR,28,11.070438712835312,0.20626354217529297,0.0023,0.0028,0.0046,0.0023,0.003,0.0039,0.0045,0.0012,0.0011,0.011,0.0205
BPR,29,10.830084681510925,0.20636916160583496,0.0023,0.0027,0.0048,0.0023,0.0031,0.004,0.0047,0.0012,0.0011,0.0105,0.0215
BPR,30,10.577940493822098,0.20586824417114258,0.0022,0.0025,0.0047,0.0022,0.0031,0.004,0.0048,0.0011,0.0011,0.0095,0.021
BPR,31,10.314639419317245,0.20628142356872559,0.0023,0.0025,0.0045,0.0023,0.0032,0.0042,0.0049,0.0011,0.0011,0.0095,0.0205
BPR,32,10.090151727199554,0.20558714866638184,0.0022,0.0025,0.0044,0.0022,0.003,0.004,0.0047,0.0011,0.001,0.01,0.0195
BPR,33,9.848212003707886,0.2058851718902588,0.0022,0.0025,0.0041,0.0022,0.0029,0.0038,0.0044,0.0011,0.001,0.0095,0.019
BPR,34,9.609731793403625,0.20644283294677734,0.0023,0.0025,0.0044,0.0023,0.0031,0.0041,0.0048,0.0011,0.0011,0.01,0.0205
BPR,35,9.394147098064423,0.20532989501953125,0.0023,0.0026,0.0041,0.0023,0.003,0.0041,0.0047,0.0011,0.001,0.01,0.0195
