Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
CSGCN,1,15.93553239107132,0.29259824752807617,0.0226,0.0305,0.049,0.0226,0.0294,0.0401,0.0445,0.011,0.0091,0.1065,0.1715
CSGCN,2,15.885060429573059,0.2870790958404541,0.0252,0.0324,0.0491,0.0252,0.0314,0.0436,0.0473,0.012,0.0093,0.1175,0.1725
CSGCN,3,15.753294348716736,0.2854726314544678,0.0214,0.0278,0.0433,0.0214,0.0271,0.036,0.0398,0.0099,0.0081,0.097,0.155
CSGCN,4,15.49351179599762,0.28604674339294434,0.0192,0.0252,0.0372,0.0192,0.0239,0.0328,0.0362,0.0086,0.007,0.083,0.1335
CSGCN,5,15.080132901668549,0.28650522232055664,0.017,0.0227,0.0353,0.017,0.0217,0.0281,0.0314,0.0078,0.0065,0.076,0.124
CSGCN,6,14.527484953403473,0.28592753410339355,0.0158,0.0216,0.035,0.0158,0.0208,0.0269,0.0305,0.0074,0.0065,0.0725,0.124
CSGCN,7,13.887987315654755,0.2856616973876953,0.0162,0.0223,0.0349,0.0162,0.021,0.0275,0.0309,0.0077,0.0066,0.075,0.1255
CSGCN,8,13.18535029888153,0.28417229652404785,0.0181,0.025,0.0368,0.0181,0.0227,0.0306,0.0339,0.0084,0.0069,0.082,0.1305
CSGCN,9,12.456090927124023,0.28594017028808594,0.0195,0.0257,0.0393,0.0195,0.0247,0.0348,0.0384,0.0089,0.0075,0.0875,0.1425
CSGCN,10,11.707516878843307,0.28781628608703613,0.0219,0.0284,0.0439,0.0219,0.0278,0.0385,0.0425,0.0102,0.0084,0.098,0.1585
CSGCN,11,10.958476781845093,0.29309892654418945,0.0242,0.0307,0.0492,0.0242,0.031,0.0425,0.0468,0.0113,0.0093,0.107,0.1705
CSGCN,12,10.217373490333557,0.28403401374816895,0.0251,0.0318,0.0528,0.0251,0.0328,0.0445,0.0495,0.0118,0.01,0.1115,0.185
CSGCN,13,9.558091342449188,0.28570127487182617,0.0266,0.0349,0.0547,0.0266,0.034,0.0459,0.0511,0.0127,0.0105,0.1195,0.1955
CSGCN,14,8.88432577252388,0.2859225273132324,0.0284,0.0377,0.0564,0.0284,0.0356,0.0488,0.0539,0.0139,0.0111,0.1305,0.206
CSGCN,15,8.27762508392334,0.28746676445007324,0.0289,0.0392,0.0598,0.0289,0.0367,0.0492,0.0548,0.0145,0.0116,0.1355,0.2165
CSGCN,16,7.687837392091751,0.2862410545349121,0.03,0.0406,0.0623,0.03,0.0384,0.0511,0.0572,0.0149,0.0123,0.1395,0.229
CSGCN,17,7.1743564903736115,0.28821897506713867,0.031,0.0416,0.0638,0.031,0.0396,0.0528,0.0589,0.0155,0.0127,0.1445,0.2335
CSGCN,18,6.746999770402908,0.28716516494750977,0.0312,0.0424,0.0668,0.0312,0.0407,0.0528,0.0594,0.0156,0.0133,0.146,0.2425
CSGCN,19,6.316925436258316,0.29168009757995605,0.0319,0.0429,0.0687,0.0319,0.0417,0.054,0.0605,0.0163,0.0136,0.152,0.2465
CSGCN,20,5.916796863079071,0.3789496421813965,0.0329,0.0436,0.0689,0.0329,0.0425,0.056,0.0625,0.0166,0.0137,0.154,0.249
CSGCN,21,5.564038991928101,0.2859342098236084,0.0339,0.0442,0.0696,0.0339,0.0434,0.0583,0.0646,0.0172,0.0139,0.1595,0.2525
CSGCN,22,5.263603314757347,0.2853877544403076,0.0334,0.0435,0.0714,0.0334,0.0438,0.0573,0.0641,0.0171,0.0141,0.1575,0.2565
CSGCN,23,4.982750117778778,0.2848203182220459,0.0349,0.0454,0.0718,0.0349,0.0447,0.0597,0.0661,0.0177,0.0142,0.162,0.2555
CSGCN,24,4.7023476511240005,0.28643012046813965,0.0347,0.046,0.0725,0.0347,0.0446,0.0595,0.066,0.0176,0.0143,0.162,0.257
CSGCN,25,4.492224380373955,0.2859992980957031,0.0353,0.0465,0.0714,0.0353,0.0448,0.0605,0.0669,0.0178,0.0142,0.1645,0.2565
CSGCN,26,4.267417684197426,0.2877795696258545,0.036,0.047,0.0725,0.036,0.0457,0.0616,0.0681,0.018,0.0144,0.1655,0.258
CSGCN,27,4.044888570904732,0.29290294647216797,0.036,0.0467,0.0729,0.036,0.0459,0.0618,0.0683,0.018,0.0144,0.1655,0.2585
CSGCN,28,3.866824761033058,0.28571224212646484,0.036,0.0466,0.0736,0.036,0.0461,0.0621,0.0685,0.018,0.0146,0.165,0.259
CSGCN,29,3.7036181837320328,0.28673267364501953,0.0362,0.0472,0.0741,0.0362,0.046,0.0618,0.068,0.0182,0.0145,0.167,0.2595
CSGCN,30,3.5281544774770737,0.28505516052246094,0.0355,0.0454,0.0739,0.0355,0.046,0.0611,0.0679,0.0175,0.0145,0.1605,0.2595
CSGCN,31,3.4065997302532196,0.284792423248291,0.0354,0.0456,0.0742,0.0354,0.046,0.0606,0.0674,0.0176,0.0145,0.161,0.26
CSGCN,32,3.265194296836853,0.2852745056152344,0.0357,0.0459,0.0748,0.0357,0.0463,0.0614,0.068,0.0177,0.0146,0.1635,0.2605
CSGCN,33,3.1289818957448006,0.285388708114624,0.0356,0.0452,0.0739,0.0356,0.0463,0.0616,0.0684,0.0175,0.0145,0.16,0.258
CSGCN,34,3.0242205038666725,0.2921922206878662,0.0361,0.0451,0.0773,0.0361,0.0477,0.0636,0.0705,0.0176,0.0149,0.1625,0.2645
CSGCN,35,2.8987468257546425,0.28546857833862305,0.0357,0.0447,0.0777,0.0357,0.0475,0.0629,0.0699,0.0175,0.0149,0.1615,0.2635
CSGCN,36,2.79913941770792,0.28600454330444336,0.0363,0.0458,0.0766,0.0363,0.0474,0.0637,0.0705,0.0176,0.0146,0.163,0.2625
CSGCN,37,2.7224392890930176,0.28696775436401367,0.0364,0.0455,0.0759,0.0364,0.0473,0.0644,0.071,0.0176,0.0145,0.1635,0.261
CSGCN,38,2.5877316296100616,0.2895069122314453,0.0363,0.0457,0.0755,0.0363,0.0471,0.0632,0.0699,0.0176,0.0146,0.164,0.2615
CSGCN,39,2.5252265259623528,0.29997992515563965,0.0357,0.045,0.0758,0.0357,0.0471,0.063,0.0701,0.0172,0.0147,0.1615,0.263
CSGCN,40,2.438742332160473,0.2886371612548828,0.0357,0.0451,0.0752,0.0357,0.0468,0.063,0.07,0.0173,0.0146,0.1615,0.2625
CSGCN,41,2.3932671695947647,0.28246307373046875,0.0357,0.0453,0.0756,0.0357,0.0468,0.0625,0.0696,0.0175,0.0147,0.1625,0.2645
CSGCN,42,2.319700501859188,0.28261256217956543,0.0357,0.0453,0.0751,0.0357,0.0468,0.0632,0.0704,0.0174,0.0147,0.1615,0.2645
CSGCN,43,2.239201582968235,0.28414440155029297,0.0361,0.0467,0.0744,0.0361,0.0464,0.0627,0.0692,0.0179,0.0146,0.166,0.261
CSGCN,44,2.1747662350535393,0.28253746032714844,0.0359,0.0464,0.0725,0.0359,0.0459,0.0623,0.0689,0.0178,0.0145,0.1645,0.2575
CSGCN,45,2.1070958003401756,0.28789615631103516,0.0364,0.0471,0.0722,0.0364,0.0459,0.0628,0.0689,0.0182,0.0144,0.169,0.258
CSGCN,46,2.0528885647654533,0.28177857398986816,0.0362,0.0468,0.0731,0.0362,0.046,0.0625,0.0688,0.0181,0.0145,0.168,0.259
CSGCN,47,2.001695580780506,0.2834315299987793,0.0363,0.0467,0.0722,0.0363,0.0458,0.0631,0.0692,0.018,0.0143,0.1685,0.2565
CSGCN,48,1.9550653845071793,0.2831077575683594,0.0364,0.0469,0.0706,0.0364,0.0453,0.0632,0.069,0.0183,0.0141,0.17,0.2535
CSGCN,49,1.9217989668250084,0.283616304397583,0.036,0.0467,0.0706,0.036,0.0451,0.0621,0.068,0.0181,0.0142,0.1685,0.255
CSGCN,50,1.871430329978466,0.2833693027496338,0.0361,0.0463,0.07,0.0361,0.0451,0.0627,0.0686,0.0179,0.014,0.166,0.252
CSGCN,51,1.8224135264754295,0.2813131809234619,0.0358,0.0463,0.07,0.0358,0.0449,0.0621,0.0681,0.0178,0.014,0.166,0.253
CSGCN,52,1.7637807875871658,0.2825906276702881,0.0361,0.0472,0.0689,0.0361,0.0445,0.0627,0.0683,0.0179,0.0138,0.167,0.2495
CSGCN,53,1.761925220489502,0.28290319442749023,0.0361,0.0468,0.0691,0.0361,0.0447,0.063,0.0689,0.0178,0.0139,0.166,0.251
CSGCN,54,1.7113627269864082,0.28757667541503906,0.0359,0.0474,0.0694,0.0359,0.0445,0.0619,0.0677,0.0178,0.0139,0.1665,0.252
CSGCN,55,1.6865854412317276,0.2841358184814453,0.0354,0.0471,0.0696,0.0354,0.044,0.0604,0.0661,0.0178,0.0138,0.1665,0.25
CSGCN,56,1.6316257491707802,0.375232458114624,0.0347,0.0456,0.0688,0.0347,0.0436,0.06,0.0661,0.0174,0.0137,0.162,0.25
CSGCN,57,1.5967947095632553,0.2836940288543701,0.0347,0.0455,0.0686,0.0347,0.0435,0.06,0.0659,0.0174,0.0137,0.161,0.2465
CSGCN,58,1.6017841473221779,0.28204894065856934,0.0344,0.0455,0.0688,0.0344,0.0431,0.0589,0.0646,0.0175,0.0137,0.1615,0.246
CSGCN,59,1.5381802693009377,0.28194546699523926,0.0336,0.0442,0.0689,0.0336,0.0427,0.0581,0.064,0.0173,0.0136,0.16,0.247
