Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
ASLGCN,1,15.937798082828522,0.34362030029296875,0.0188,0.0238,0.0384,0.0188,0.0246,0.0342,0.0384,0.0091,0.0079,0.088,0.1485
ASLGCN,2,15.903408229351044,0.3392515182495117,0.0128,0.0191,0.0296,0.0128,0.0168,0.0218,0.0246,0.0072,0.0059,0.0715,0.1125
ASLGCN,3,15.80354756116867,0.33771538734436035,0.0056,0.0072,0.0151,0.0056,0.0087,0.0112,0.0134,0.0033,0.0034,0.033,0.0675
ASLGCN,4,15.589686810970306,0.34308362007141113,0.0042,0.0066,0.0128,0.0042,0.0066,0.0071,0.0089,0.0029,0.0029,0.029,0.057
ASLGCN,5,15.25655311346054,0.3379521369934082,0.0032,0.0047,0.0115,0.0032,0.0058,0.0056,0.0074,0.0023,0.0026,0.023,0.0505
ASLGCN,6,14.866463303565979,0.33638715744018555,0.0038,0.006,0.0105,0.0038,0.0057,0.0061,0.0077,0.0027,0.0026,0.0275,0.052
ASLGCN,7,14.440005004405975,0.34739255905151367,0.004,0.006,0.0129,0.004,0.0067,0.0066,0.0086,0.0028,0.003,0.028,0.058
ASLGCN,8,13.936195373535156,0.36037588119506836,0.0055,0.0077,0.017,0.0055,0.0089,0.0093,0.0117,0.0036,0.0036,0.0355,0.07
ASLGCN,9,13.36325079202652,0.35812854766845703,0.0082,0.0111,0.0229,0.0082,0.0125,0.0146,0.0177,0.0048,0.0049,0.0485,0.096
ASLGCN,10,12.696887075901031,0.3484928607940674,0.0105,0.0146,0.0287,0.0105,0.0159,0.0186,0.0222,0.0059,0.0059,0.0595,0.113
ASLGCN,11,11.966062724590302,0.35422396659851074,0.0143,0.0195,0.0344,0.0143,0.02,0.024,0.0281,0.0076,0.0071,0.074,0.1345
ASLGCN,12,11.171328514814377,0.3465993404388428,0.0185,0.0249,0.04,0.0185,0.0242,0.0314,0.0356,0.0095,0.008,0.091,0.153
