Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
BPR,1,15.24911344051361,0.3309788703918457,0.0017,0.0027,0.0045,0.0017,0.0024,0.0028,0.0034,0.0011,0.0011,0.011,0.0215
BPR,2,15.248483657836914,0.21252012252807617,0.0016,0.0023,0.0047,0.0016,0.0025,0.0029,0.0036,0.0011,0.0011,0.011,0.022
BPR,3,15.248595356941223,0.21120977401733398,0.0014,0.0019,0.0053,0.0014,0.0027,0.0027,0.0038,0.0009,0.0012,0.0085,0.0235
BPR,4,15.24884420633316,0.21132302284240723,0.001,0.0014,0.0045,0.001,0.0021,0.0022,0.003,0.0008,0.001,0.008,0.02
BPR,5,15.249020099639893,0.21381759643554688,0.0011,0.0014,0.0037,0.0011,0.0019,0.0024,0.003,0.0009,0.0009,0.009,0.0175
BPR,6,15.249111771583557,0.21085309982299805,0.001,0.0014,0.0035,0.001,0.0018,0.0021,0.0026,0.0009,0.0008,0.009,0.0165
BPR,7,15.24916821718216,0.2111811637878418,0.0009,0.0011,0.0029,0.0009,0.0016,0.0019,0.0024,0.0007,0.0008,0.007,0.015
BPR,8,15.249196887016296,0.22806596755981445,0.0009,0.0012,0.0028,0.0009,0.0016,0.002,0.0025,0.0007,0.0008,0.007,0.015
BPR,9,15.24921452999115,0.22721266746520996,0.0009,0.0012,0.0027,0.0009,0.0015,0.002,0.0024,0.0008,0.0007,0.0075,0.0145
BPR,10,15.249225497245789,0.2277240753173828,0.0009,0.001,0.0033,0.0009,0.0017,0.002,0.0025,0.0008,0.0008,0.0075,0.016
BPR,11,15.249230861663818,0.22767114639282227,0.001,0.0012,0.0036,0.001,0.0018,0.002,0.0026,0.0008,0.0009,0.0075,0.017
BPR,12,15.249233961105347,0.22698569297790527,0.0009,0.0011,0.0029,0.0009,0.0016,0.0019,0.0025,0.0007,0.0008,0.007,0.0155
