Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
SimGCL,1,834439.453125,0.3277125358581543,0.1156,0.1427,0.2052,0.1156,0.139,0.1826,0.1932,0.0479,0.0362,0.3995,0.556
SimGCL,2,760537.16015625,0.3341820240020752,0.1691,0.2051,0.2844,0.1691,0.1993,0.2626,0.2734,0.0692,0.0506,0.546,0.701
SimGCL,3,726790.6875,0.3363783359527588,0.2025,0.2413,0.3201,0.2025,0.2329,0.3136,0.3229,0.0822,0.0575,0.6205,0.7525
SimGCL,4,705373.71875,0.341458797454834,0.2228,0.2654,0.3463,0.2228,0.254,0.3412,0.3501,0.0914,0.0627,0.6665,0.795
SimGCL,5,690735.595703125,0.33580446243286133,0.2406,0.2834,0.3653,0.2406,0.2724,0.3694,0.3782,0.0975,0.0661,0.695,0.8185
SimGCL,6,680986.5859375,0.33861351013183594,0.2536,0.2949,0.3841,0.2536,0.2881,0.3906,0.3992,0.1021,0.0698,0.718,0.84
SimGCL,7,671906.84765625,0.3312532901763916,0.265,0.3071,0.3992,0.265,0.3009,0.4075,0.416,0.1064,0.0728,0.7355,0.8555
SimGCL,8,664338.73046875,0.32765841484069824,0.2751,0.3194,0.4109,0.2751,0.3111,0.4198,0.4279,0.1106,0.0753,0.7505,0.864
SimGCL,9,659164.658203125,0.33617615699768066,0.2848,0.3301,0.4189,0.2848,0.3203,0.4329,0.4407,0.1142,0.0772,0.764,0.8745
SimGCL,10,655471.34765625,0.33236122131347656,0.2922,0.3394,0.4283,0.2922,0.3276,0.4415,0.4488,0.118,0.079,0.7795,0.883
SimGCL,11,652368.802734375,0.34297990798950195,0.2977,0.3444,0.4355,0.2977,0.3343,0.4494,0.4566,0.1198,0.0807,0.785,0.8855
SimGCL,12,647318.99609375,0.3424975872039795,0.3044,0.3516,0.4441,0.3044,0.3413,0.4569,0.4641,0.1227,0.0823,0.793,0.8935
SimGCL,13,643378.798828125,0.34093165397644043,0.3106,0.3562,0.4503,0.3106,0.3484,0.4674,0.4747,0.1246,0.0838,0.797,0.8965
SimGCL,14,639316.591796875,0.3438453674316406,0.3154,0.3618,0.4566,0.3154,0.3535,0.4726,0.4796,0.1269,0.0852,0.805,0.903
SimGCL,15,635749.494140625,0.33336591720581055,0.3207,0.3671,0.4631,0.3207,0.3591,0.4793,0.4859,0.1293,0.0864,0.8135,0.906
SimGCL,16,634564.36328125,0.3419156074523926,0.3255,0.3718,0.4676,0.3255,0.3637,0.4859,0.4922,0.1314,0.0875,0.8195,0.9075
SimGCL,17,631432.1015625,0.3386189937591553,0.3299,0.3765,0.4717,0.3299,0.368,0.4926,0.4989,0.1333,0.0884,0.823,0.91
SimGCL,18,629931.830078125,0.32575440406799316,0.333,0.3805,0.4749,0.333,0.3709,0.4946,0.5011,0.1349,0.0892,0.824,0.913
SimGCL,19,627106.56640625,0.3276407718658447,0.3359,0.3839,0.4777,0.3359,0.3736,0.4963,0.5025,0.1364,0.0898,0.829,0.9135
SimGCL,20,627103.556640625,0.3332493305206299,0.3394,0.3877,0.4811,0.3394,0.3769,0.5011,0.507,0.138,0.0906,0.8345,0.916
