Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
DiffNet,1,6.911185085773468,0.12816381454467773,0.0099,0.0204,0.0356,0.0099,0.0142,0.0073,0.0089,0.0027,0.0025,0.0265,0.0495
DiffNet,2,6.7986220717430115,0.12725114822387695,0.0134,0.0261,0.0402,0.0134,0.0173,0.0112,0.0125,0.0035,0.0028,0.0355,0.056
DiffNet,3,6.649736166000366,0.12786650657653809,0.0128,0.0246,0.0414,0.0128,0.0175,0.0106,0.0123,0.0033,0.0029,0.033,0.058
DiffNet,4,6.421280682086945,0.12735748291015625,0.014,0.0283,0.0414,0.014,0.0176,0.0116,0.0129,0.0038,0.0029,0.0385,0.0585
DiffNet,5,6.1052311062812805,0.1274867057800293,0.015,0.0295,0.046,0.015,0.0196,0.0128,0.0145,0.004,0.0033,0.04,0.065
DiffNet,6,5.6986753940582275,0.12741422653198242,0.0152,0.0293,0.0462,0.0152,0.02,0.0133,0.015,0.0039,0.0033,0.039,0.0655
DiffNet,7,5.230310380458832,0.12799572944641113,0.0142,0.0267,0.0437,0.0142,0.0189,0.0133,0.0149,0.0036,0.0032,0.0365,0.0625
DiffNet,8,4.724867254495621,0.12714290618896484,0.0126,0.0242,0.0418,0.0126,0.0175,0.0123,0.0141,0.0034,0.003,0.034,0.0605
DiffNet,9,4.207888633012772,0.12723684310913086,0.0126,0.0228,0.0436,0.0126,0.0181,0.0126,0.0144,0.0034,0.0031,0.0335,0.0615
DiffNet,10,3.7390210926532745,0.12663555145263672,0.0124,0.0219,0.0441,0.0124,0.0183,0.0126,0.0145,0.0033,0.0032,0.0335,0.0625
DiffNet,11,3.314015716314316,0.12614893913269043,0.012,0.0223,0.0444,0.012,0.018,0.0118,0.0139,0.0034,0.0033,0.0335,0.0645
DiffNet,12,2.9321989119052887,0.12627887725830078,0.0126,0.0246,0.0459,0.0126,0.0184,0.0117,0.0137,0.0037,0.0034,0.0365,0.0665
DiffNet,13,2.599127545952797,0.12659239768981934,0.0124,0.0235,0.047,0.0124,0.0188,0.0118,0.0139,0.0036,0.0035,0.036,0.069
DiffNet,14,2.3339293152093887,0.12677502632141113,0.0126,0.0224,0.0469,0.0126,0.0193,0.0123,0.0146,0.0035,0.0035,0.035,0.069
DiffNet,15,2.073592707514763,0.12710356712341309,0.0133,0.0235,0.0459,0.0133,0.0196,0.0132,0.0155,0.0035,0.0035,0.035,0.069
DiffNet,16,1.8883760571479797,0.12607693672180176,0.0138,0.0272,0.046,0.0138,0.0192,0.0127,0.0147,0.004,0.0035,0.0395,0.069
DiffNet,17,1.7133770883083344,0.12633538246154785,0.0142,0.0278,0.0442,0.0142,0.0188,0.0129,0.0146,0.0041,0.0033,0.041,0.0655
