Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
SimGCL,1,832072.255859375,0.4095337390899658,0.1321,0.1595,0.2205,0.1321,0.1554,0.2095,0.2198,0.0517,0.0383,0.4375,0.5845
SimGCL,2,758292.373046875,0.3233375549316406,0.1892,0.2191,0.2876,0.1892,0.2155,0.2988,0.3079,0.0731,0.0508,0.5725,0.7025
SimGCL,3,726814.5625,0.32894372940063477,0.2203,0.2532,0.3236,0.2203,0.2475,0.3459,0.3536,0.0854,0.0576,0.638,0.748
SimGCL,4,703986.173828125,0.32427215576171875,0.2394,0.2758,0.3462,0.2394,0.2668,0.3691,0.3767,0.094,0.0622,0.6715,0.782
SimGCL,5,690450.384765625,0.31755805015563965,0.2544,0.2925,0.367,0.2544,0.2833,0.3898,0.3973,0.1,0.0661,0.6965,0.805
SimGCL,6,678721.5625,0.3175966739654541,0.2665,0.3056,0.3846,0.2665,0.2972,0.4064,0.4139,0.1052,0.0698,0.716,0.8245
SimGCL,7,670464.95703125,0.32132720947265625,0.2764,0.3165,0.3997,0.2764,0.309,0.4191,0.4269,0.1088,0.0726,0.7295,0.8405
SimGCL,8,664022.1484375,0.3178408145904541,0.2853,0.3254,0.4096,0.2853,0.3184,0.4305,0.4379,0.1125,0.0746,0.7455,0.8515
SimGCL,9,657084.6328125,0.31659913063049316,0.2937,0.3359,0.4202,0.2937,0.3268,0.4399,0.4474,0.1163,0.0769,0.7565,0.865
SimGCL,10,653761.896484375,0.3177163600921631,0.2994,0.3418,0.4283,0.2994,0.3335,0.4461,0.4534,0.1184,0.0786,0.7645,0.8695
SimGCL,11,647630.619140625,0.316173791885376,0.3061,0.3507,0.4367,0.3061,0.3401,0.454,0.4609,0.1216,0.0802,0.7785,0.876
SimGCL,12,643653.609375,0.32230186462402344,0.3119,0.3568,0.4414,0.3119,0.3456,0.4604,0.4671,0.1241,0.0813,0.784,0.8785
SimGCL,13,639786.05859375,0.3217601776123047,0.316,0.3624,0.4495,0.316,0.3506,0.4645,0.4709,0.1262,0.0828,0.792,0.883
SimGCL,14,638997.51171875,0.32222843170166016,0.3207,0.367,0.4563,0.3207,0.3561,0.4705,0.4766,0.1283,0.0844,0.7995,0.8875
SimGCL,15,635736.3984375,0.3245720863342285,0.3251,0.3726,0.4617,0.3251,0.3604,0.4751,0.4807,0.1304,0.0853,0.809,0.89
SimGCL,16,635417.822265625,0.3218235969543457,0.3288,0.3755,0.468,0.3288,0.3653,0.4806,0.4864,0.1319,0.0866,0.812,0.897
SimGCL,17,630833.67578125,0.3222513198852539,0.3335,0.3814,0.4732,0.3335,0.3699,0.4851,0.4912,0.134,0.0878,0.8145,0.902
SimGCL,18,628806.36328125,0.3208622932434082,0.3364,0.3839,0.4791,0.3364,0.3741,0.4893,0.4952,0.1353,0.0891,0.82,0.906
SimGCL,19,627503.2265625,0.3201467990875244,0.3402,0.3886,0.4825,0.3402,0.3775,0.4932,0.4989,0.137,0.0899,0.824,0.906
SimGCL,20,628026.00390625,0.3219001293182373,0.3431,0.3918,0.4857,0.3431,0.3805,0.497,0.5027,0.1383,0.0906,0.827,0.909
SimGCL,21,626109.48046875,0.3222646713256836,0.345,0.3941,0.4894,0.345,0.3831,0.4991,0.5047,0.1391,0.0914,0.8315,0.9105
SimGCL,22,620527.1640625,0.3212931156158447,0.3479,0.3989,0.4918,0.3479,0.3852,0.5,0.5056,0.1407,0.0918,0.8325,0.912
SimGCL,23,622015.998046875,0.3208038806915283,0.3507,0.4015,0.4949,0.3507,0.3883,0.5041,0.5099,0.1415,0.0925,0.8345,0.9145
SimGCL,24,620274.7109375,0.3267068862915039,0.3534,0.404,0.4963,0.3534,0.3906,0.5078,0.5133,0.1427,0.0929,0.84,0.917
SimGCL,25,619413.138671875,0.32280445098876953,0.3547,0.4056,0.4987,0.3547,0.3924,0.5086,0.5139,0.1432,0.0935,0.842,0.917
SimGCL,26,618625.54296875,0.3255126476287842,0.3574,0.408,0.5015,0.3574,0.3952,0.513,0.5184,0.1444,0.0941,0.8435,0.92
SimGCL,27,616456.63671875,0.32460522651672363,0.3599,0.4111,0.5041,0.3599,0.3976,0.5166,0.5218,0.1454,0.0947,0.848,0.922
SimGCL,28,616806.857421875,0.3223285675048828,0.3611,0.4128,0.5059,0.3611,0.399,0.5176,0.5228,0.1461,0.0951,0.8495,0.9235
SimGCL,29,615353.732421875,0.3213808536529541,0.3625,0.4143,0.5085,0.3625,0.4009,0.5197,0.5251,0.1466,0.0956,0.8495,0.9255
SimGCL,30,614065.998046875,0.3215775489807129,0.3647,0.4162,0.5093,0.3647,0.4026,0.5229,0.5282,0.1477,0.0959,0.853,0.928
