Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
MHCN,1,67.89035022258759,2.085400342941284,0.0598,0.0583,0.0905,0.0598,0.0724,0.1402,0.1503,0.0418,0.0335,0.3565,0.5045
MHCN,2,64.37313723564148,2.0785272121429443,0.0803,0.0763,0.1158,0.0803,0.096,0.1858,0.1974,0.0554,0.0442,0.4455,0.613
MHCN,3,62.699891328811646,2.0736284255981445,0.0858,0.0791,0.1181,0.0858,0.1009,0.2004,0.2112,0.0581,0.0453,0.46,0.62
MHCN,4,62.03823757171631,2.075136184692383,0.0941,0.0872,0.1271,0.0941,0.1094,0.2169,0.2282,0.0645,0.0493,0.4965,0.6595
MHCN,5,61.56327176094055,2.0741829872131348,0.0998,0.0898,0.1341,0.0998,0.1168,0.2356,0.2473,0.0672,0.0522,0.5185,0.688
MHCN,6,60.98289680480957,2.0773561000823975,0.1023,0.0941,0.1384,0.1023,0.1194,0.2373,0.2489,0.0695,0.0534,0.529,0.693
MHCN,7,60.70658206939697,2.074350595474243,0.1062,0.0977,0.1429,0.1062,0.1236,0.2421,0.2535,0.0726,0.0558,0.5425,0.707
MHCN,8,60.46124589443207,2.0738630294799805,0.1087,0.0985,0.1431,0.1087,0.1249,0.2511,0.2616,0.0746,0.0554,0.5625,0.7135
MHCN,9,60.1751469373703,2.0750629901885986,0.107,0.0979,0.1422,0.107,0.1241,0.2477,0.259,0.0729,0.0556,0.554,0.7135
MHCN,10,59.93610632419586,2.1786303520202637,0.1115,0.1023,0.1502,0.1115,0.1299,0.2549,0.2662,0.0768,0.0586,0.5715,0.73
MHCN,11,59.57171809673309,2.074768543243408,0.1118,0.1022,0.15,0.1118,0.1298,0.2564,0.2673,0.0767,0.0583,0.572,0.726
MHCN,12,59.32179522514343,2.077134847640991,0.1112,0.1017,0.1488,0.1112,0.1294,0.2549,0.2661,0.076,0.0583,0.564,0.724
MHCN,13,59.196839570999146,2.0750420093536377,0.1143,0.1048,0.1495,0.1143,0.1308,0.2629,0.2734,0.079,0.0589,0.5905,0.7405
MHCN,14,59.09235894680023,2.079948902130127,0.1127,0.1025,0.1502,0.1127,0.131,0.2592,0.2709,0.077,0.0591,0.5685,0.734
MHCN,15,58.84557890892029,2.0756947994232178,0.1125,0.1019,0.1495,0.1125,0.1306,0.2599,0.2714,0.0765,0.0586,0.566,0.729
MHCN,16,58.644832372665405,2.079932928085327,0.1106,0.1016,0.1489,0.1106,0.1286,0.2541,0.2662,0.076,0.0583,0.558,0.7285
MHCN,17,58.472423672676086,2.0838465690612793,0.1132,0.1019,0.1488,0.1132,0.1306,0.2624,0.274,0.0772,0.0583,0.57,0.732
MHCN,18,58.2935391664505,2.0749130249023438,0.1139,0.1027,0.1492,0.1139,0.1314,0.2652,0.2756,0.0776,0.0591,0.5745,0.7265
MHCN,19,58.15653574466705,2.0741188526153564,0.1142,0.103,0.1507,0.1142,0.1323,0.2667,0.2778,0.0774,0.0594,0.581,0.741
MHCN,20,58.062992334365845,2.0741097927093506,0.114,0.1039,0.1471,0.114,0.1304,0.2621,0.2729,0.0779,0.0582,0.575,0.7275
MHCN,21,57.88208889961243,2.074211597442627,0.1122,0.1018,0.1492,0.1122,0.1308,0.2584,0.2692,0.0762,0.0589,0.5685,0.719
MHCN,22,57.84968292713165,2.082706928253174,0.1144,0.1032,0.1486,0.1144,0.1315,0.2648,0.2757,0.0775,0.0586,0.5775,0.733
MHCN,23,57.605836272239685,2.0810046195983887,0.1146,0.1047,0.1501,0.1146,0.1318,0.2663,0.2775,0.0781,0.0593,0.5805,0.7435
MHCN,24,57.514148354530334,2.078356981277466,0.1146,0.1034,0.1505,0.1146,0.1326,0.2674,0.2787,0.0775,0.0594,0.58,0.7395
MHCN,25,57.50955152511597,2.076047658920288,0.1162,0.1055,0.1538,0.1162,0.1344,0.2732,0.2844,0.079,0.0602,0.5865,0.7495
MHCN,26,57.27454745769501,2.075244903564453,0.1167,0.1063,0.1532,0.1167,0.1344,0.2675,0.2787,0.0798,0.0605,0.585,0.742
MHCN,27,57.1852970123291,2.0755908489227295,0.1165,0.1036,0.1525,0.1165,0.1348,0.2728,0.2847,0.0788,0.0603,0.576,0.7475
MHCN,28,57.16001617908478,2.074420213699341,0.1138,0.1043,0.1495,0.1138,0.1309,0.2631,0.2738,0.0785,0.0589,0.5825,0.737
MHCN,29,57.052621245384216,2.0744125843048096,0.1144,0.1032,0.1488,0.1144,0.1314,0.2667,0.2782,0.0776,0.0587,0.575,0.7385
MHCN,30,56.96219456195831,2.081749439239502,0.1127,0.103,0.1489,0.1127,0.1299,0.2621,0.273,0.078,0.0588,0.581,0.7385
MHCN,31,56.735724568367004,2.07331919670105,0.1142,0.1013,0.149,0.1142,0.1322,0.2689,0.2812,0.077,0.059,0.571,0.7455
MHCN,32,56.70538306236267,2.074315309524536,0.1127,0.1019,0.1512,0.1127,0.1317,0.2632,0.2742,0.0769,0.0599,0.58,0.741
MHCN,33,56.524770617485046,2.079763889312744,0.113,0.1032,0.151,0.113,0.1309,0.2604,0.2718,0.0783,0.0595,0.5825,0.747
MHCN,34,56.54731583595276,2.0742788314819336,0.1148,0.1044,0.1496,0.1148,0.1318,0.264,0.2755,0.0787,0.059,0.5725,0.735
MHCN,35,56.367746472358704,2.0765206813812256,0.1161,0.1058,0.154,0.1161,0.1345,0.2672,0.2788,0.0796,0.0609,0.5845,0.75
MHCN,36,56.43982911109924,2.075319766998291,0.1156,0.1045,0.1507,0.1156,0.1326,0.2692,0.2801,0.0796,0.0598,0.5865,0.742
MHCN,37,56.35443329811096,2.0770885944366455,0.1131,0.1041,0.1493,0.1131,0.13,0.2616,0.2725,0.078,0.0589,0.5805,0.7385
