Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
HAGN,1,4.152171730995178,0.07547760009765625,0.157,0.1816,0.2588,0.157,0.1862,0.2675,0.2779,0.0686,0.0504,0.54,0.692
HAGN,2,4.133165657520294,0.07445454597473145,0.1522,0.1768,0.2455,0.1522,0.1786,0.2539,0.2628,0.0668,0.0487,0.512,0.644
HAGN,3,4.100574254989624,0.0748283863067627,0.1358,0.158,0.2154,0.1358,0.1579,0.2186,0.2277,0.0594,0.0422,0.452,0.584
HAGN,4,4.049230933189392,0.07573723793029785,0.1216,0.1402,0.1924,0.1216,0.1419,0.1987,0.2075,0.0518,0.0373,0.404,0.53
HAGN,5,3.972352147102356,0.07550883293151855,0.1084,0.1274,0.1731,0.1084,0.1255,0.1779,0.1847,0.0478,0.0334,0.384,0.486
HAGN,6,3.865906298160553,0.07308363914489746,0.0985,0.116,0.1576,0.0985,0.1147,0.1655,0.1722,0.0426,0.0307,0.36,0.458
HAGN,7,3.7293840646743774,0.0725250244140625,0.0846,0.0991,0.1439,0.0846,0.1026,0.1453,0.1536,0.0352,0.0278,0.31,0.424
HAGN,8,3.5616867542266846,0.07408666610717773,0.0777,0.091,0.1319,0.0777,0.0936,0.134,0.1417,0.0322,0.0252,0.284,0.396
HAGN,9,3.3668987154960632,0.07282376289367676,0.0719,0.0841,0.1223,0.0719,0.0863,0.1267,0.1329,0.0304,0.0229,0.278,0.368
HAGN,10,3.144776999950409,0.07245969772338867,0.067,0.0792,0.1134,0.067,0.0799,0.1171,0.1234,0.0288,0.0213,0.26,0.348
HAGN,11,2.925524264574051,0.07154583930969238,0.0647,0.0764,0.1064,0.0647,0.0761,0.1142,0.1201,0.028,0.0202,0.254,0.338
HAGN,12,2.688974052667618,0.07129597663879395,0.0651,0.0772,0.1069,0.0651,0.0766,0.1158,0.1216,0.0278,0.0204,0.256,0.342
