Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
MHCN,1,16.240013659000397,1.4926719665527344,0.1571,0.1403,0.1905,0.1571,0.1754,0.3444,0.3531,0.1021,0.0728,0.658,0.7825
MHCN,2,13.824095487594604,1.4930071830749512,0.1622,0.1425,0.1952,0.1622,0.1812,0.3591,0.3689,0.1061,0.0764,0.6715,0.8085
MHCN,3,13.209910839796066,1.4902369976043701,0.161,0.1411,0.1954,0.161,0.1806,0.3575,0.3675,0.1058,0.077,0.6755,0.8165
MHCN,4,12.608385384082794,1.491633415222168,0.1633,0.1431,0.1971,0.1633,0.1823,0.3626,0.3724,0.1093,0.0786,0.692,0.8325
MHCN,5,12.260141640901566,1.4951770305633545,0.1602,0.1406,0.1914,0.1602,0.1777,0.3585,0.3675,0.1074,0.0765,0.684,0.811
MHCN,6,11.820168942213058,1.4877591133117676,0.1664,0.1438,0.1962,0.1664,0.184,0.3736,0.3824,0.1114,0.0793,0.7045,0.8305
MHCN,7,11.48038013279438,1.4855501651763916,0.163,0.1393,0.1933,0.163,0.1814,0.3704,0.3796,0.1085,0.0784,0.7015,0.833
MHCN,8,11.357941672205925,1.4932539463043213,0.1692,0.1439,0.1961,0.1692,0.1861,0.3838,0.3927,0.1138,0.0808,0.712,0.8375
MHCN,9,11.221543863415718,1.4986951351165771,0.168,0.1427,0.1939,0.168,0.184,0.3812,0.3898,0.1139,0.0804,0.7245,0.8465
MHCN,10,10.890588268637657,1.4833886623382568,0.1623,0.1379,0.1928,0.1623,0.1806,0.3713,0.3807,0.1095,0.08,0.7045,0.8365
MHCN,11,10.915138393640518,1.4829065799713135,0.1658,0.1411,0.1965,0.1658,0.1842,0.3764,0.3864,0.1126,0.0816,0.7115,0.8505
MHCN,12,10.939064517617226,1.5037117004394531,0.1619,0.1376,0.1902,0.1619,0.1792,0.3689,0.3783,0.11,0.0794,0.703,0.838
MHCN,13,10.65836663544178,1.4945478439331055,0.1606,0.1374,0.1913,0.1606,0.1788,0.3682,0.3779,0.1089,0.0798,0.7025,0.8405
MHCN,14,10.443218022584915,1.4909205436706543,0.1635,0.139,0.1928,0.1635,0.181,0.372,0.3815,0.1122,0.0814,0.712,0.8455
MHCN,15,10.212394908070564,1.4892840385437012,0.1605,0.1364,0.1906,0.1605,0.1783,0.3699,0.3793,0.1098,0.0801,0.706,0.841
MHCN,16,10.159521505236626,1.4923899173736572,0.1642,0.1368,0.1913,0.1642,0.1814,0.3826,0.3912,0.1119,0.0816,0.7225,0.846
MHCN,17,10.028702571988106,1.496091604232788,0.1589,0.1357,0.1871,0.1589,0.175,0.3665,0.3754,0.1102,0.0791,0.714,0.8395
MHCN,18,9.988617181777954,1.4983129501342773,0.1573,0.1315,0.1874,0.1573,0.1759,0.3689,0.3792,0.1072,0.0795,0.691,0.8355
MHCN,19,9.866091415286064,1.4957385063171387,0.1571,0.1338,0.1831,0.1571,0.1725,0.3628,0.3722,0.1086,0.078,0.7065,0.8405
