Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
SimGCL,1,186809.02685546875,0.16871285438537598,0.5699,0.7285,0.7941,0.5699,0.5908,0.5822,0.5858,0.1156,0.0653,0.8865,0.9385
SimGCL,2,173377.42065429688,0.16741609573364258,0.6218,0.7841,0.8397,0.6218,0.6399,0.6319,0.6343,0.1273,0.0704,0.9315,0.9665
SimGCL,3,167112.947265625,0.16775822639465332,0.646,0.8112,0.8668,0.646,0.6644,0.6523,0.6545,0.1333,0.0737,0.9495,0.979
SimGCL,4,163884.02490234375,0.16707110404968262,0.6604,0.8268,0.8826,0.6604,0.6788,0.6642,0.6658,0.1371,0.0755,0.961,0.984
SimGCL,5,161482.873046875,0.1688551902770996,0.6704,0.8416,0.8902,0.6704,0.6868,0.6706,0.672,0.1401,0.0765,0.9675,0.987
SimGCL,6,159612.77099609375,0.1674060821533203,0.679,0.8498,0.8976,0.679,0.6955,0.6778,0.6791,0.1419,0.0775,0.9705,0.988
SimGCL,7,157962.55688476562,0.16777515411376953,0.6843,0.8583,0.9053,0.6843,0.7004,0.6803,0.6814,0.1439,0.0785,0.9745,0.9905
SimGCL,8,157484.28662109375,0.16758489608764648,0.691,0.8645,0.9077,0.691,0.7061,0.6859,0.6869,0.1454,0.079,0.9765,0.991
SimGCL,9,155842.6796875,0.1677858829498291,0.6946,0.8694,0.9107,0.6946,0.7091,0.6879,0.6889,0.1465,0.0795,0.978,0.9915
SimGCL,10,155246.1884765625,0.1693437099456787,0.6974,0.8718,0.9149,0.6974,0.7124,0.6902,0.6911,0.1474,0.0801,0.9795,0.9915
SimGCL,11,155671.81274414062,0.17157530784606934,0.7014,0.8757,0.9185,0.7014,0.7162,0.6929,0.6938,0.1487,0.0806,0.9805,0.9925
SimGCL,12,154175.62670898438,0.16730952262878418,0.704,0.8791,0.92,0.704,0.7183,0.6947,0.6954,0.1496,0.0809,0.983,0.9925
SimGCL,13,154299.61865234375,0.16798138618469238,0.7066,0.8807,0.9218,0.7066,0.7211,0.6968,0.6975,0.15,0.0811,0.983,0.9925
SimGCL,14,153265.23828125,0.16869831085205078,0.7084,0.8833,0.9229,0.7084,0.7225,0.6975,0.6982,0.1508,0.0814,0.984,0.9925
SimGCL,15,152569.43408203125,0.16765093803405762,0.7102,0.8852,0.9234,0.7102,0.7239,0.6989,0.6995,0.1511,0.0815,0.985,0.9925
SimGCL,16,152739.9814453125,0.16689753532409668,0.7111,0.8872,0.9259,0.7111,0.7251,0.6991,0.6997,0.1515,0.0818,0.9855,0.993
SimGCL,17,152188.94067382812,0.1679069995880127,0.7129,0.8894,0.9264,0.7129,0.7263,0.6995,0.7001,0.1522,0.0819,0.9855,0.993
SimGCL,18,151816.830078125,0.16820478439331055,0.7151,0.892,0.9266,0.7151,0.7277,0.7014,0.7019,0.1528,0.082,0.9865,0.9925
SimGCL,19,151583.546875,0.16835403442382812,0.7175,0.896,0.9279,0.7175,0.7292,0.702,0.7024,0.154,0.0822,0.987,0.9925
SimGCL,20,151389.78857421875,0.16785478591918945,0.7184,0.8961,0.9292,0.7184,0.7305,0.7029,0.7033,0.1542,0.0824,0.9875,0.9925
SimGCL,21,151219.1669921875,0.17427539825439453,0.7207,0.8988,0.9299,0.7207,0.7322,0.7043,0.7047,0.1549,0.0825,0.9875,0.9925
SimGCL,22,150981.25170898438,0.16811394691467285,0.7215,0.8993,0.9315,0.7215,0.7333,0.7049,0.7055,0.155,0.0827,0.9865,0.993
SimGCL,23,150453.48388671875,0.1677534580230713,0.7218,0.901,0.9321,0.7218,0.7333,0.7047,0.705,0.1553,0.0828,0.9885,0.9925
SimGCL,24,150603.42163085938,0.16798973083496094,0.7229,0.9031,0.9329,0.7229,0.7338,0.7045,0.7048,0.1561,0.083,0.989,0.9925
SimGCL,25,150117.3310546875,0.16771388053894043,0.7251,0.9049,0.9339,0.7251,0.7357,0.7066,0.7069,0.1567,0.0831,0.989,0.9925
SimGCL,26,149334.67260742188,0.16770291328430176,0.7262,0.9056,0.9353,0.7262,0.737,0.7074,0.7077,0.1569,0.0833,0.989,0.9935
SimGCL,27,150312.1689453125,0.2527461051940918,0.728,0.9061,0.937,0.728,0.7391,0.7089,0.7092,0.1571,0.0835,0.9895,0.994
SimGCL,28,150042.27001953125,0.16831231117248535,0.729,0.9071,0.9382,0.729,0.7402,0.7094,0.7098,0.1574,0.0837,0.9895,0.9945
SimGCL,29,150003.32250976562,0.16803860664367676,0.7296,0.9076,0.9388,0.7296,0.7409,0.7097,0.7101,0.1576,0.0838,0.9895,0.9945
SimGCL,30,149366.27758789062,0.16778087615966797,0.7308,0.909,0.94,0.7308,0.742,0.7101,0.7105,0.158,0.084,0.9895,0.9945
SimGCL,31,149496.87670898438,0.16804814338684082,0.7311,0.9103,0.9409,0.7311,0.7422,0.7096,0.71,0.1584,0.0842,0.9895,0.9945
SimGCL,32,149209.40747070312,0.1688368320465088,0.7315,0.9118,0.9407,0.7315,0.742,0.7087,0.709,0.1589,0.0841,0.9895,0.9945
SimGCL,33,149406.296875,0.1678752899169922,0.7324,0.9128,0.9412,0.7324,0.7427,0.7095,0.7098,0.1592,0.0842,0.99,0.9945
SimGCL,34,149002.97436523438,0.16807818412780762,0.733,0.9132,0.942,0.733,0.7434,0.7099,0.7103,0.1593,0.0844,0.99,0.9945
SimGCL,35,148864.57153320312,0.1681816577911377,0.7339,0.9141,0.9427,0.7339,0.7442,0.7102,0.7106,0.1597,0.0845,0.99,0.995
SimGCL,36,149137.66186523438,0.1675431728363037,0.7348,0.9144,0.9433,0.7348,0.7453,0.7114,0.7118,0.1598,0.0846,0.99,0.995
SimGCL,37,148328.63525390625,0.16751933097839355,0.7354,0.9155,0.944,0.7354,0.7457,0.7116,0.712,0.1601,0.0847,0.99,0.995
SimGCL,38,148572.1650390625,0.16724038124084473,0.7356,0.9163,0.9449,0.7356,0.746,0.7115,0.7118,0.1603,0.0849,0.99,0.995
SimGCL,39,148191.96362304688,0.17237019538879395,0.7359,0.9173,0.9455,0.7359,0.7462,0.7107,0.7111,0.1606,0.0849,0.9905,0.995
SimGCL,40,148393.62451171875,0.16849684715270996,0.7363,0.9171,0.9464,0.7363,0.7469,0.7113,0.7116,0.1606,0.0851,0.9905,0.995
SimGCL,41,148048.29223632812,0.16769075393676758,0.7372,0.9181,0.9467,0.7372,0.7476,0.7119,0.7123,0.1609,0.0851,0.9905,0.995
SimGCL,42,148189.47094726562,0.16856694221496582,0.7376,0.9182,0.9466,0.7376,0.7479,0.7118,0.7122,0.1609,0.0851,0.9905,0.995
SimGCL,43,148220.0986328125,0.17010831832885742,0.7383,0.919,0.9479,0.7383,0.7488,0.7125,0.7128,0.1611,0.0853,0.9915,0.9955
SimGCL,44,147983.07397460938,0.1678769588470459,0.7383,0.9196,0.9488,0.7383,0.7489,0.712,0.7123,0.1613,0.0854,0.9915,0.9955
SimGCL,45,147673.99047851562,0.17176222801208496,0.7396,0.9206,0.9497,0.7396,0.7502,0.7134,0.7137,0.1617,0.0856,0.9915,0.9955
SimGCL,46,148091.56469726562,0.1677412986755371,0.7402,0.9211,0.9499,0.7402,0.7506,0.7137,0.714,0.1618,0.0856,0.9915,0.9955
SimGCL,47,148051.81616210938,0.16804146766662598,0.7404,0.9213,0.9507,0.7404,0.751,0.7137,0.714,0.1619,0.0858,0.9915,0.9955
SimGCL,48,147795.2490234375,0.168137788772583,0.7407,0.9219,0.9512,0.7407,0.7513,0.7138,0.7141,0.1621,0.0858,0.9915,0.9955
SimGCL,49,146899.99145507812,0.16799020767211914,0.741,0.9222,0.9514,0.741,0.7516,0.7136,0.714,0.1622,0.0859,0.9915,0.9955
SimGCL,50,148304.26879882812,0.16800475120544434,0.7413,0.9228,0.9516,0.7413,0.7518,0.7139,0.7142,0.1625,0.0859,0.9915,0.9955
