Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
BPR,1,15.941836893558502,0.21524572372436523,0.0014,0.0018,0.0039,0.0014,0.0022,0.0027,0.0035,0.0011,0.0011,0.0105,0.022
BPR,2,15.914683878421783,0.2143850326538086,0.0011,0.0017,0.0033,0.0011,0.0018,0.0022,0.0028,0.0009,0.0009,0.009,0.0185
BPR,3,15.892997860908508,0.21359968185424805,0.0008,0.0008,0.003,0.0008,0.0018,0.0019,0.0027,0.0005,0.0009,0.0055,0.018
BPR,4,15.868734419345856,0.3085179328918457,0.0013,0.0015,0.0037,0.0013,0.0022,0.0028,0.0036,0.0009,0.001,0.0085,0.0205
BPR,5,15.840203762054443,0.21558690071105957,0.0014,0.0017,0.0032,0.0014,0.002,0.0034,0.0039,0.0009,0.0009,0.009,0.0175
BPR,6,15.804180562496185,0.21472692489624023,0.0016,0.0022,0.0037,0.0016,0.0023,0.0035,0.0041,0.0012,0.001,0.0115,0.0205
BPR,7,15.759137272834778,0.21409296989440918,0.0016,0.0021,0.0037,0.0016,0.0022,0.0035,0.0041,0.0011,0.001,0.011,0.0195
BPR,8,15.703836560249329,0.21474313735961914,0.0017,0.0018,0.0045,0.0017,0.0027,0.0043,0.0051,0.0011,0.0011,0.0105,0.0215
BPR,9,15.635411024093628,0.21530890464782715,0.002,0.0023,0.004,0.002,0.0027,0.0047,0.0052,0.0012,0.001,0.012,0.02
BPR,10,15.551740884780884,0.22323274612426758,0.0019,0.0021,0.0042,0.0019,0.0027,0.0044,0.0051,0.0012,0.0011,0.012,0.022
BPR,11,15.453986406326294,0.21824145317077637,0.0019,0.0022,0.0047,0.0019,0.0029,0.0045,0.0053,0.0012,0.0012,0.012,0.0245
BPR,12,15.337930977344513,0.22473931312561035,0.002,0.0023,0.005,0.002,0.0031,0.0046,0.0054,0.0012,0.0013,0.012,0.0245
BPR,13,15.209578692913055,0.21469736099243164,0.0018,0.0019,0.0048,0.0018,0.003,0.0045,0.0054,0.0011,0.0012,0.011,0.024
BPR,14,15.059488475322723,0.21291327476501465,0.0019,0.0019,0.0041,0.0019,0.0028,0.0048,0.0055,0.0012,0.0011,0.012,0.022
BPR,15,14.893409013748169,0.21302533149719238,0.0019,0.002,0.004,0.0019,0.0027,0.0045,0.0051,0.0012,0.0012,0.012,0.0225
BPR,16,14.714741170406342,0.21218609809875488,0.0018,0.0018,0.004,0.0018,0.0027,0.0044,0.0051,0.0011,0.0011,0.011,0.022
BPR,17,14.52396023273468,0.2124934196472168,0.0018,0.0018,0.0039,0.0018,0.0026,0.0043,0.005,0.0011,0.0011,0.011,0.0215
BPR,18,14.316212058067322,0.2129199504852295,0.0018,0.002,0.0037,0.0018,0.0025,0.0042,0.0048,0.0012,0.001,0.012,0.0205
BPR,19,14.087685883045197,0.2128307819366455,0.0018,0.0019,0.0037,0.0018,0.0025,0.0042,0.0048,0.0011,0.001,0.011,0.02
BPR,20,13.867370665073395,0.21266865730285645,0.0016,0.0019,0.0035,0.0016,0.0022,0.0036,0.0042,0.0011,0.001,0.011,0.0195
BPR,21,13.624528110027313,0.21290802955627441,0.0018,0.0023,0.0041,0.0018,0.0025,0.0039,0.0046,0.0012,0.0011,0.012,0.0215
BPR,22,13.376259565353394,0.2125835418701172,0.0018,0.0022,0.004,0.0018,0.0025,0.0039,0.0045,0.0012,0.0011,0.0115,0.021
BPR,23,13.129712343215942,0.2134561538696289,0.0018,0.0021,0.0043,0.0018,0.0026,0.0041,0.0048,0.0011,0.0011,0.011,0.0225
