Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
CSGCN,1,15.93543016910553,0.28319787979125977,0.0179,0.0255,0.0425,0.0179,0.0241,0.0289,0.0329,0.0092,0.0079,0.089,0.148
CSGCN,2,15.885195791721344,0.2816734313964844,0.0223,0.0298,0.0486,0.0223,0.0293,0.0371,0.0418,0.0114,0.0096,0.109,0.1775
CSGCN,3,15.754938662052155,0.282909631729126,0.024,0.034,0.054,0.024,0.0315,0.0394,0.0445,0.0126,0.0105,0.1215,0.197
CSGCN,4,15.493013381958008,0.28222084045410156,0.0211,0.0278,0.0513,0.0211,0.0297,0.0373,0.0429,0.0109,0.01,0.1065,0.1905
CSGCN,5,15.078683197498322,0.28252625465393066,0.0205,0.0263,0.0475,0.0205,0.0285,0.0364,0.0418,0.0102,0.0095,0.097,0.1785
CSGCN,6,14.50973528623581,0.28252124786376953,0.0213,0.0277,0.0463,0.0213,0.0281,0.0365,0.0409,0.0106,0.009,0.102,0.167
CSGCN,7,13.812869250774384,0.2812683582305908,0.0202,0.0275,0.0461,0.0202,0.0272,0.0336,0.0383,0.0101,0.009,0.0965,0.1655
CSGCN,8,13.03148466348648,0.2822868824005127,0.0206,0.0276,0.0472,0.0206,0.0278,0.0355,0.0403,0.0104,0.0091,0.0985,0.169
CSGCN,9,12.21438729763031,0.2821481227874756,0.0202,0.0279,0.0492,0.0202,0.0281,0.034,0.0393,0.0104,0.0096,0.0985,0.177
CSGCN,10,11.378314137458801,0.2830629348754883,0.0221,0.0324,0.0512,0.0221,0.0292,0.0359,0.0408,0.0117,0.0098,0.1105,0.1805
CSGCN,11,10.59057629108429,0.2820553779602051,0.0233,0.0345,0.0553,0.0233,0.031,0.0372,0.0425,0.0126,0.0106,0.12,0.197
CSGCN,12,9.838347673416138,0.287825345993042,0.0244,0.0352,0.0591,0.0244,0.0331,0.0394,0.0452,0.0132,0.0112,0.1255,0.208
CSGCN,13,9.089296102523804,0.28362607955932617,0.0255,0.0362,0.0596,0.0255,0.0342,0.0415,0.0474,0.0135,0.0115,0.128,0.2155
CSGCN,14,8.445778787136078,0.2833583354949951,0.0268,0.0378,0.0633,0.0268,0.0361,0.0439,0.0498,0.0141,0.0121,0.1345,0.2235
CSGCN,15,7.868267387151718,0.28365540504455566,0.0279,0.0388,0.0638,0.0279,0.0372,0.0458,0.0518,0.0142,0.0123,0.1365,0.2275
CSGCN,16,7.312822878360748,0.2888970375061035,0.0288,0.0395,0.0626,0.0288,0.0376,0.0472,0.053,0.0143,0.0121,0.1375,0.2225
CSGCN,17,6.836475908756256,0.2830619812011719,0.0296,0.0411,0.0626,0.0296,0.0378,0.0481,0.0537,0.0147,0.0121,0.1395,0.223
CSGCN,18,6.39984604716301,0.2832307815551758,0.029,0.0392,0.0624,0.029,0.0379,0.048,0.0542,0.0141,0.0123,0.135,0.2265
CSGCN,19,6.029791563749313,0.28508448600769043,0.029,0.0387,0.0616,0.029,0.0377,0.0487,0.0546,0.0141,0.012,0.134,0.2215
CSGCN,20,5.66938491165638,0.2828516960144043,0.0285,0.0382,0.0609,0.0285,0.0371,0.0483,0.054,0.0139,0.0119,0.134,0.2185
CSGCN,21,5.329485833644867,0.28243422508239746,0.0289,0.0381,0.0602,0.0289,0.0372,0.0492,0.0549,0.0141,0.0118,0.135,0.2185
CSGCN,22,5.09407651424408,0.2825629711151123,0.0281,0.0381,0.0608,0.0281,0.0368,0.0467,0.0527,0.0137,0.012,0.1315,0.22
CSGCN,23,4.830390319228172,0.28260064125061035,0.0282,0.0385,0.0607,0.0282,0.0366,0.0465,0.0523,0.014,0.0118,0.1345,0.22
CSGCN,24,4.579510793089867,0.2830212116241455,0.0279,0.0374,0.0591,0.0279,0.036,0.0464,0.0521,0.0138,0.0115,0.133,0.215
CSGCN,25,4.412478819489479,0.2829773426055908,0.028,0.0382,0.0581,0.028,0.0356,0.0464,0.0516,0.014,0.0115,0.1345,0.2135
CSGCN,26,4.23827101290226,0.28275275230407715,0.0279,0.0378,0.0574,0.0279,0.0353,0.0459,0.0509,0.0138,0.0112,0.132,0.208
CSGCN,27,4.043853163719177,0.2826371192932129,0.0263,0.0348,0.0557,0.0263,0.0342,0.0436,0.0491,0.0128,0.0109,0.1235,0.203
CSGCN,28,3.9147866666316986,0.37432432174682617,0.0256,0.035,0.0558,0.0256,0.0336,0.0419,0.0475,0.0125,0.0109,0.1205,0.203
