Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
DiffNet,1,15.926595509052277,0.3412668704986572,0.002,0.0027,0.0056,0.002,0.0032,0.0036,0.0046,0.0013,0.0013,0.013,0.027
DiffNet,2,15.503657102584839,0.24606847763061523,0.002,0.0023,0.0043,0.002,0.0028,0.0042,0.0048,0.0013,0.0011,0.0125,0.022
DiffNet,3,14.569503724575043,0.24595403671264648,0.002,0.002,0.0043,0.002,0.0029,0.0047,0.0055,0.0013,0.0012,0.0125,0.023
DiffNet,4,12.911337494850159,0.2458946704864502,0.0018,0.0022,0.0047,0.0018,0.0029,0.0038,0.0047,0.0013,0.0013,0.0125,0.0255
DiffNet,5,10.915829360485077,0.24602651596069336,0.0018,0.0024,0.0053,0.0018,0.0031,0.0037,0.0047,0.0013,0.0015,0.013,0.029
DiffNet,6,9.03734490275383,0.24736857414245605,0.002,0.0025,0.0051,0.002,0.003,0.0042,0.0052,0.0015,0.0014,0.0145,0.0285
DiffNet,7,7.590426385402679,0.24742341041564941,0.0018,0.0023,0.0047,0.0018,0.0028,0.0041,0.0049,0.0014,0.0013,0.014,0.026
DiffNet,8,6.457626193761826,0.24512910842895508,0.0019,0.0024,0.0044,0.0019,0.0027,0.0042,0.0048,0.0015,0.0012,0.015,0.0245
DiffNet,9,5.570133075118065,0.24646782875061035,0.0017,0.0024,0.0054,0.0017,0.0028,0.0032,0.0041,0.0014,0.0014,0.014,0.0285
DiffNet,10,4.921210795640945,0.25459933280944824,0.0013,0.0015,0.0062,0.0013,0.003,0.0027,0.0041,0.0011,0.0015,0.0105,0.031
DiffNet,11,4.395218789577484,0.24542021751403809,0.0018,0.0022,0.0049,0.0018,0.0029,0.004,0.005,0.0014,0.0014,0.0135,0.027
DiffNet,12,4.007114946842194,0.24554204940795898,0.0017,0.0021,0.0053,0.0017,0.0029,0.0037,0.0046,0.0013,0.0014,0.0125,0.027
DiffNet,13,3.6627368927001953,0.24546337127685547,0.0016,0.002,0.005,0.0016,0.0028,0.0035,0.0045,0.0012,0.0014,0.012,0.026
DiffNet,14,3.342359721660614,0.24767494201660156,0.0018,0.0023,0.0046,0.0018,0.0027,0.0037,0.0045,0.0014,0.0013,0.013,0.0245
DiffNet,15,3.146969199180603,0.252596378326416,0.0019,0.0025,0.0041,0.0019,0.0026,0.0041,0.0047,0.0014,0.0012,0.014,0.023
DiffNet,16,2.9748302549123764,0.24861812591552734,0.0019,0.0026,0.0047,0.0019,0.0028,0.0038,0.0045,0.0015,0.0013,0.0145,0.0255
DiffNet,17,2.7913877367973328,0.24638676643371582,0.002,0.0027,0.0044,0.002,0.0027,0.0038,0.0046,0.0016,0.0013,0.015,0.026
DiffNet,18,2.635348729789257,0.24609613418579102,0.0019,0.0025,0.0054,0.0019,0.003,0.0035,0.0045,0.0015,0.0015,0.014,0.0285
DiffNet,19,2.5268283635377884,0.2457585334777832,0.0021,0.0027,0.0048,0.0021,0.003,0.0042,0.0049,0.0016,0.0014,0.015,0.0265
DiffNet,20,2.403744727373123,0.24674057960510254,0.0019,0.0024,0.005,0.0019,0.003,0.0041,0.005,0.0014,0.0014,0.0135,0.027
DiffNet,21,2.2888787165284157,0.24597454071044922,0.0018,0.0022,0.0045,0.0018,0.0027,0.0039,0.0046,0.0013,0.0013,0.013,0.0245
DiffNet,22,2.2237761318683624,0.2453901767730713,0.0019,0.0027,0.0043,0.0019,0.0026,0.0036,0.0042,0.0014,0.0012,0.014,0.0235
DiffNet,23,2.142930246889591,0.24700498580932617,0.0016,0.0023,0.0046,0.0016,0.0026,0.0029,0.0038,0.0014,0.0013,0.0135,0.0255
DiffNet,24,2.071863740682602,0.24634909629821777,0.0015,0.0021,0.0044,0.0015,0.0025,0.0029,0.0037,0.0013,0.0013,0.013,0.025
DiffNet,25,2.0104884207248688,0.24658918380737305,0.0015,0.0022,0.0048,0.0015,0.0026,0.0028,0.0037,0.0013,0.0014,0.0125,0.027
DiffNet,26,1.938682235777378,0.2451949119567871,0.0018,0.0026,0.0054,0.0018,0.0029,0.003,0.0039,0.0015,0.0014,0.0135,0.028
DiffNet,27,1.9153558015823364,0.35502123832702637,0.0016,0.0022,0.0046,0.0016,0.0026,0.003,0.0039,0.0012,0.0013,0.0115,0.025
DiffNet,28,1.8676844462752342,0.2455425262451172,0.0015,0.0018,0.0043,0.0015,0.0025,0.003,0.0039,0.0011,0.0012,0.0105,0.0235
DiffNet,29,1.842661663889885,0.24989676475524902,0.0013,0.0015,0.0037,0.0013,0.0023,0.0032,0.004,0.0009,0.0011,0.009,0.021
DiffNet,30,1.7802870497107506,0.24533891677856445,0.0015,0.0016,0.0041,0.0015,0.0025,0.0034,0.0043,0.001,0.0012,0.01,0.0225
