Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
ASLGCN,1,15.937659621238708,0.3379988670349121,0.0206,0.0265,0.0462,0.0206,0.0279,0.0341,0.0386,0.0095,0.0086,0.0905,0.158
ASLGCN,2,15.903534293174744,0.34973978996276855,0.0187,0.0246,0.0416,0.0187,0.0249,0.0305,0.0344,0.0085,0.0074,0.083,0.14
ASLGCN,3,15.810519218444824,0.33531665802001953,0.0144,0.0181,0.0295,0.0144,0.0188,0.0248,0.0277,0.0061,0.0054,0.0605,0.1035
ASLGCN,4,15.621769607067108,0.33322715759277344,0.011,0.0151,0.0224,0.011,0.0138,0.0167,0.0187,0.0049,0.004,0.049,0.0785
ASLGCN,5,15.318443655967712,0.33351755142211914,0.0091,0.0111,0.0189,0.0091,0.012,0.0162,0.0182,0.0042,0.0036,0.042,0.0725
ASLGCN,6,14.928618788719177,0.33518552780151367,0.0096,0.0115,0.0207,0.0096,0.0129,0.017,0.0193,0.0043,0.004,0.043,0.0795
ASLGCN,7,14.44898271560669,0.3336305618286133,0.0102,0.0125,0.0209,0.0102,0.0134,0.0179,0.0203,0.0045,0.0042,0.045,0.0805
ASLGCN,8,13.928657352924347,0.3340413570404053,0.012,0.0164,0.0244,0.012,0.0151,0.0192,0.0217,0.0058,0.0049,0.0575,0.0935
ASLGCN,9,13.328509032726288,0.3329334259033203,0.0138,0.0182,0.0278,0.0138,0.0177,0.0228,0.0257,0.0066,0.0056,0.065,0.107
ASLGCN,10,12.649793982505798,0.35570836067199707,0.0165,0.0212,0.0337,0.0165,0.0212,0.0276,0.0307,0.0078,0.0064,0.0765,0.12
ASLGCN,11,11.918764442205429,0.33588480949401855,0.0192,0.0247,0.0405,0.0192,0.025,0.0329,0.0363,0.0088,0.0074,0.0875,0.137
ASLGCN,12,11.127246081829071,0.3356614112854004,0.023,0.0289,0.046,0.023,0.0293,0.0395,0.0433,0.0104,0.0085,0.1,0.158
ASLGCN,13,10.311532467603683,0.33687925338745117,0.0256,0.0322,0.0515,0.0256,0.0331,0.0446,0.0495,0.011,0.0096,0.1065,0.1775
ASLGCN,14,9.496031820774078,0.33542299270629883,0.028,0.0356,0.0547,0.028,0.0353,0.0482,0.0528,0.0127,0.0103,0.122,0.189
ASLGCN,15,8.711538195610046,0.3429408073425293,0.0297,0.0378,0.0587,0.0297,0.0376,0.051,0.0559,0.0137,0.0112,0.1315,0.2035
ASLGCN,16,7.938370853662491,0.335965633392334,0.0313,0.04,0.061,0.0313,0.0392,0.0536,0.0583,0.0149,0.0117,0.1425,0.212
ASLGCN,17,7.251857668161392,0.3424656391143799,0.032,0.0414,0.0643,0.032,0.0406,0.0544,0.0597,0.0155,0.0123,0.1465,0.224
ASLGCN,18,6.609287321567535,0.33437180519104004,0.0333,0.0432,0.0673,0.0333,0.0423,0.0568,0.0625,0.0161,0.0129,0.152,0.235
