Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
HAGN,1,15.936119437217712,0.3090324401855469,0.0029,0.0042,0.0095,0.0029,0.0048,0.0052,0.0065,0.0019,0.002,0.019,0.0395
HAGN,2,15.847612917423248,0.30583786964416504,0.0031,0.0041,0.0065,0.0031,0.0041,0.0054,0.0064,0.0018,0.0016,0.018,0.032
HAGN,3,15.576467454433441,0.3064250946044922,0.0029,0.0038,0.0071,0.0029,0.0042,0.0051,0.0062,0.0017,0.0017,0.017,0.0335
HAGN,4,15.391331195831299,0.3076744079589844,0.0026,0.0031,0.0068,0.0026,0.004,0.0052,0.0062,0.0015,0.0015,0.015,0.0295
HAGN,5,15.28079104423523,0.3039729595184326,0.0025,0.0033,0.0066,0.0025,0.0037,0.0044,0.0054,0.0015,0.0015,0.015,0.029
HAGN,6,15.131342113018036,0.3046548366546631,0.0021,0.0029,0.0067,0.0021,0.0036,0.0039,0.0051,0.0014,0.0016,0.013,0.0315
HAGN,7,14.976903140544891,0.30416250228881836,0.0021,0.0028,0.0069,0.0021,0.0037,0.004,0.0052,0.0015,0.0016,0.0145,0.032
HAGN,8,14.746952891349792,0.29892516136169434,0.0028,0.0037,0.008,0.0028,0.0045,0.0056,0.0067,0.0018,0.0018,0.018,0.0355
HAGN,9,14.47251582145691,0.2989015579223633,0.0032,0.0042,0.0075,0.0032,0.0046,0.0059,0.0072,0.002,0.0019,0.0195,0.0385
HAGN,10,14.161909282207489,0.3093736171722412,0.0037,0.0049,0.0096,0.0037,0.0056,0.0066,0.0081,0.0023,0.0023,0.022,0.0465
HAGN,11,13.82053029537201,0.31223344802856445,0.0039,0.005,0.0118,0.0039,0.0065,0.0072,0.0092,0.0024,0.0027,0.0245,0.0525
HAGN,12,13.40889036655426,0.306072473526001,0.0047,0.0069,0.0146,0.0047,0.0078,0.0078,0.0101,0.0029,0.0033,0.0295,0.064
HAGN,13,12.993358790874481,0.3058898448944092,0.0058,0.0077,0.0167,0.0058,0.0094,0.0105,0.0132,0.0034,0.0039,0.0335,0.074
HAGN,14,12.521943747997284,0.30461549758911133,0.0073,0.0095,0.0199,0.0073,0.0113,0.0138,0.0166,0.0044,0.0045,0.0435,0.0855
HAGN,15,12.037269353866577,0.4006805419921875,0.008,0.0105,0.0223,0.008,0.0126,0.0148,0.0182,0.0047,0.005,0.0465,0.095
HAGN,16,11.539219826459885,0.30738139152526855,0.0101,0.0133,0.0267,0.0101,0.0153,0.0184,0.022,0.0058,0.0058,0.057,0.1095
HAGN,17,11.046404778957367,0.3087916374206543,0.012,0.0157,0.0297,0.012,0.0173,0.0222,0.0259,0.007,0.0065,0.0685,0.1215
HAGN,18,10.539675623178482,0.30146336555480957,0.0139,0.0181,0.0339,0.0139,0.0197,0.0253,0.0292,0.0082,0.0072,0.078,0.1335
HAGN,19,10.045926481485367,0.3043975830078125,0.0155,0.0201,0.0366,0.0155,0.0215,0.0285,0.0324,0.009,0.0077,0.0855,0.142
HAGN,20,9.585515141487122,0.3086521625518799,0.0176,0.0239,0.0397,0.0176,0.0233,0.0308,0.0345,0.0105,0.0083,0.099,0.154
HAGN,21,9.124672055244446,0.30539464950561523,0.0193,0.0258,0.0409,0.0193,0.0249,0.0338,0.0375,0.0111,0.0087,0.1045,0.1615
HAGN,22,8.667852580547333,0.3040649890899658,0.0201,0.0259,0.0423,0.0201,0.0261,0.036,0.04,0.011,0.0088,0.103,0.1635
HAGN,23,8.263335824012756,0.30991196632385254,0.0215,0.0275,0.0439,0.0215,0.0279,0.0388,0.0434,0.0114,0.0094,0.1055,0.1725
HAGN,24,7.820484846830368,0.3078615665435791,0.0223,0.0287,0.0456,0.0223,0.0289,0.0402,0.0449,0.0118,0.0098,0.1095,0.1795
HAGN,25,7.527111828327179,0.30785369873046875,0.0231,0.0302,0.0484,0.0231,0.0301,0.0416,0.0465,0.0122,0.0102,0.1125,0.186
